
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"20.728"	"20.95"	"21.129"	"24.451"	"26.138"	"26.821"	"25.35"	"24.582"	"24.44"	"23.607"	"21.649"	"19.938"
"1902"	"19.309"	"18.978"	"21.604"	"24.79"	"26.704"	"26.653"	"25.591"	"24.707"	"23.953"	"22.73"	"21.736"	"20.712"
"1903"	"20.009"	"20.59"	"21.586"	"24.477"	"24.881"	"25.609"	"24.966"	"24.31"	"23.469"	"23.183"	"21.289"	"20.066"
"1904"	"19.353"	"19.012"	"21.221"	"24.943"	"25.212"	"26.347"	"25.015"	"24.995"	"24.827"	"23.428"	"21.874"	"20.122"
"1905"	"18.488"	"20.147"	"22.341"	"24.184"	"25.52"	"27.172"	"26.739"	"24.96"	"25.176"	"23.216"	"22.02"	"20.047"
"1906"	"19.927"	"21.2"	"21.001"	"25.315"	"26.919"	"25.926"	"25.706"	"23.917"	"24.129"	"23.379"	"21.79"	"20.406"
"1907"	"19.171"	"19.416"	"21.735"	"24.055"	"26.743"	"26.525"	"25.306"	"25.323"	"24.815"	"23.28"	"21.592"	"20.339"
"1908"	"19.51"	"19.329"	"20.985"	"25.405"	"26.497"	"27.061"	"25.388"	"24.828"	"23.45"	"23.28"	"20.855"	"19.9"
"1909"	"19.35"	"19.795"	"21.776"	"24.266"	"25.515"	"25.894"	"24.741"	"23.818"	"23.293"	"23.974"	"22.568"	"20.991"
"1910"	"19.665"	"19.768"	"21.039"	"24.942"	"26.555"	"25.833"	"24.857"	"23.85"	"23.735"	"23.351"	"21.063"	"19.871"
"1911"	"19.661"	"18.699"	"21.516"	"24.696"	"25.987"	"26.324"	"25.89"	"25.38"	"24.633"	"23.364"	"21.988"	"20.491"
"1912"	"18.626"	"20.414"	"22.415"	"24.616"	"26.818"	"27.033"	"25.616"	"25.005"	"24.623"	"23.451"	"21.74"	"20.027"
"1913"	"19.249"	"20.302"	"22.209"	"25.202"	"26.131"	"26.88"	"25.285"	"25.678"	"24.786"	"22.929"	"21.395"	"20.492"
"1914"	"19.193"	"19.524"	"21.982"	"24.461"	"26.5"	"27.119"	"25.569"	"24.361"	"23.717"	"22.88"	"21.746"	"20.804"
"1915"	"19.869"	"20.252"	"21.911"	"24.557"	"26.89"	"26.406"	"24.97"	"25.5"	"24.251"	"24.124"	"22.238"	"20.437"
"1916"	"19.116"	"20.058"	"21.161"	"25.071"	"25.674"	"25.992"	"24.528"	"24.578"	"24.228"	"23.368"	"21.942"	"20.09"
"1917"	"19.173"	"19.379"	"20.949"	"24.495"	"25.275"	"24.648"	"25.212"	"24.122"	"23.253"	"23.057"	"21.889"	"19.989"
"1918"	"19.128"	"18.618"	"20.665"	"24.246"	"25.102"	"25.389"	"25.998"	"25.513"	"24.392"	"23.865"	"21.913"	"20.536"
"1919"	"20.806"	"20.745"	"21.031"	"25.024"	"26.312"	"25.987"	"24.863"	"25.319"	"23.845"	"23.419"	"22.134"	"20.736"
"1920"	"19.63"	"20.502"	"21.881"	"24.556"	"26.353"	"26.475"	"26.49"	"25.133"	"24.922"	"23.706"	"21.889"	"20.174"
"1921"	"20.225"	"19.156"	"21.675"	"24.536"	"27.634"	"26.882"	"24.705"	"24.583"	"24.076"	"22.783"	"21.145"	"20.233"
"1922"	"19.285"	"19.246"	"21.683"	"25.186"	"26.053"	"26.566"	"25.494"	"25.144"	"24.639"	"22.923"	"21.696"	"19.604"
"1923"	"18.689"	"19.503"	"21.199"	"24.752"	"26.053"	"27.169"	"25.951"	"25.69"	"24.237"	"23.34"	"21.949"	"20.491"
"1924"	"19.362"	"19.784"	"21.535"	"25.251"	"26.468"	"26.824"	"25.181"	"25.072"	"23.464"	"23.623"	"21.53"	"19.899"
"1925"	"18.834"	"19.167"	"20.942"	"24.812"	"25.38"	"26.282"	"25.302"	"24.456"	"24.485"	"23.061"	"21.441"	"20.022"
"1926"	"19.733"	"19.667"	"22.259"	"25.199"	"26.271"	"26.824"	"25.508"	"24.961"	"24.184"	"23.372"	"21.149"	"20.3"
"1927"	"19.735"	"20.336"	"22.354"	"25.092"	"26.302"	"26.134"	"25.616"	"25.201"	"24.184"	"23.906"	"21.461"	"20.495"
"1928"	"20.122"	"20.2"	"21.118"	"24.951"	"27.052"	"26.928"	"25.552"	"24.577"	"24.394"	"23.372"	"21.944"	"20.578"
"1929"	"19.611"	"19.52"	"21.09"	"24.175"	"26.27"	"26.273"	"25.996"	"24.613"	"24.234"	"23.468"	"21.587"	"20.492"
"1930"	"19.28"	"19.701"	"21.618"	"24.375"	"25.015"	"25.344"	"26.016"	"25.012"	"24.145"	"22.563"	"21.2"	"20.484"
"1931"	"19.609"	"19.667"	"21.591"	"24.811"	"26.27"	"26.776"	"25.227"	"25.06"	"24.092"	"23.917"	"21.693"	"20.334"
"1932"	"19.064"	"19.705"	"21.613"	"24.359"	"25.009"	"26.483"	"25.595"	"24.418"	"24.316"	"23.082"	"21.844"	"20.238"
"1933"	"19.609"	"19.416"	"21.253"	"24.353"	"25.07"	"26.27"	"25.689"	"24.649"	"24.572"	"22.867"	"21.698"	"20.104"
"1934"	"19.482"	"18.613"	"20.932"	"24.584"	"26.221"	"26.02"	"25.41"	"24.582"	"24.699"	"23.285"	"21.445"	"19.844"
"1935"	"19.295"	"19.429"	"21.482"	"25.055"	"26.99"	"26.653"	"25.69"	"24.411"	"24.036"	"23.329"	"21.486"	"20.372"
"1936"	"19.856"	"20.617"	"21.254"	"25.196"	"25.831"	"25.62"	"25.353"	"24.764"	"24.432"	"23.568"	"21.836"	"20.855"
"1937"	"19.531"	"20.441"	"21.738"	"24.394"	"26.458"	"26.917"	"25.076"	"24.867"	"24.581"	"22.929"	"21.347"	"19.804"
"1938"	"19.659"	"20.377"	"22.221"	"24.554"	"27.094"	"25.4"	"25.404"	"24.525"	"23.893"	"23.835"	"21.543"	"20.289"
"1939"	"19.111"	"18.832"	"21.118"	"24.001"	"26.491"	"26.671"	"25.543"	"25.617"	"24.486"	"23.474"	"21.344"	"20.449"
"1940"	"18.57"	"19.167"	"22.678"	"24.307"	"26.143"	"26.186"	"25.587"	"25.143"	"24.746"	"23.587"	"21.642"	"20.527"
"1941"	"20.01"	"20.301"	"21.832"	"25.289"	"26.816"	"26.42"	"26.49"	"25.936"	"24.131"	"23.467"	"21.811"	"20.483"
"1942"	"19.576"	"20.107"	"21.176"	"24.551"	"26.516"	"26.681"	"25.957"	"24.848"	"24.733"	"23.478"	"21.789"	"20.491"
