
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"23.759"	"23.033"	"24.781"	"29.082"	"30.614"	"28.177"	"27.503"	"28.225"	"28.86"	"28.26"	"25.729"	"23.746"
"1902"	"22.422"	"21.847"	"25.2"	"29.082"	"30.616"	"28.321"	"27.503"	"28.338"	"28.86"	"28.217"	"25.294"	"23.844"
"1903"	"22.444"	"23.033"	"25.179"	"29.082"	"29.814"	"28.172"	"27.503"	"28.225"	"28.86"	"28.249"	"24.827"	"23.844"
"1904"	"22.165"	"21.751"	"24.112"	"29.082"	"28.868"	"28.191"	"27.503"	"28.225"	"28.86"	"28.217"	"25.366"	"23.843"
"1905"	"22.422"	"22.438"	"24.939"	"27.568"	"30.038"	"28.711"	"28.303"	"28.225"	"29.913"	"28.217"	"25.729"	"23.844"
"1906"	"22.395"	"23.033"	"24.056"	"29.082"	"30.616"	"28.233"	"27.503"	"28.215"	"28.86"	"28.233"	"25.729"	"23.844"
"1907"	"22.444"	"23.033"	"25.2"	"27.512"	"30.616"	"28.133"	"27.503"	"28.225"	"28.86"	"28.276"	"25.729"	"23.844"
"1908"	"22.444"	"21.829"	"24.086"	"29.082"	"30.616"	"28.891"	"27.503"	"28.225"	"28.86"	"28.217"	"24.979"	"23.844"
"1909"	"21.972"	"23.033"	"25.2"	"28.172"	"30.01"	"28.18"	"27.503"	"28.225"	"28.839"	"28.276"	"25.559"	"23.844"
"1910"	"22.444"	"22.454"	"23.801"	"29.082"	"30.616"	"28.334"	"27.503"	"28.225"	"28.86"	"28.26"	"24.798"	"23.073"
"1911"	"22.444"	"21.732"	"25.2"	"29.082"	"30.616"	"28.177"	"27.503"	"28.225"	"28.86"	"28.222"	"25.729"	"23.844"
"1912"	"22.081"	"23.033"	"25.2"	"28.904"	"30.616"	"28.788"	"27.503"	"28.225"	"28.86"	"28.26"	"25.471"	"23.698"
"1913"	"21.835"	"23.033"	"25.2"	"29.082"	"30.616"	"28.177"	"27.503"	"28.836"	"28.86"	"28.217"	"25.729"	"23.844"
"1914"	"22.444"	"23.033"	"25.2"	"28.644"	"30.616"	"28.052"	"27.503"	"28.225"	"28.797"	"28.217"	"25.729"	"23.844"
"1915"	"22.444"	"22.685"	"25.2"	"29.082"	"30.616"	"28.133"	"27.503"	"28.225"	"28.81"	"28.276"	"26.078"	"23.844"
"1916"	"22.146"	"23.033"	"23.866"	"29.082"	"30.616"	"27.977"	"27.492"	"28.186"	"28.86"	"28.276"	"25.729"	"23.069"
"1917"	"21.918"	"21.807"	"23.828"	"28.196"	"29.792"	"26.617"	"27.503"	"28.225"	"27.896"	"28.26"	"25.164"	"23.844"
"1918"	"22.417"	"21.829"	"23.79"	"28.266"	"28.917"	"27.996"	"28.444"	"28.27"	"28.541"	"28.276"	"25.974"	"23.844"
"1919"	"23.611"	"23.033"	"23.866"	"29.082"	"30.616"	"28.101"	"27.503"	"28.62"	"28.86"	"28.26"	"25.729"	"23.844"
"1920"	"22.356"	"23.066"	"25.541"	"29.082"	"30.616"	"28.166"	"28.676"	"28.225"	"29.384"	"28.26"	"25.729"	"23.844"
"1921"	"22.444"	"21.901"	"25.2"	"29.082"	"30.932"	"28.334"	"27.497"	"28.225"	"28.86"	"28.217"	"24.975"	"23.784"
"1922"	"22.444"	"21.845"	"25.2"	"29.082"	"30.616"	"28.233"	"27.503"	"28.225"	"28.86"	"28.041"	"25.729"	"22.623"
"1923"	"21.715"	"22.064"	"23.828"	"29.082"	"30.616"	"28.81"	"27.503"	"29.013"	"28.86"	"28.217"	"25.729"	"23.844"
"1924"	"21.746"	"23.033"	"24.911"	"29.082"	"30.616"	"28.161"	"27.503"	"28.225"	"28.65"	"28.26"	"25.192"	"23.646"
"1925"	"21.924"	"21.745"	"23.967"	"29.082"	"29.117"	"28.172"	"27.492"	"28.225"	"28.86"	"28.217"	"25.729"	"23.828"
"1926"	"22.438"	"23.033"	"25.2"	"29.059"	"30.616"	"28.233"	"27.503"	"28.187"	"28.86"	"28.276"	"25.531"	"23.844"
"1927"	"22.422"	"23.033"	"25.2"	"29.082"	"30.616"	"28.312"	"27.503"	"28.225"	"28.86"	"28.26"	"25.559"	"23.844"
"1928"	"22.422"	"23.033"	"23.805"	"29.082"	"30.616"	"28.138"	"27.503"	"28.225"	"28.86"	"28.217"	"25.267"	"23.844"
"1929"	"22.444"	"22.309"	"23.967"	"26.576"	"30.616"	"28.133"	"27.503"	"28.225"	"28.368"	"28.26"	"25.366"	"23.844"
"1930"	"22.186"	"22.342"	"25.2"	"29.082"	"28.817"	"28.035"	"27.503"	"28.225"	"28.86"	"27.713"	"25.088"	"23.844"
