
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"33.493"	"29.761"	"31.058"	"43.903"	"54.588"	"73.898"	"79.082"	"72.386"	"65.256"	"64.642"	"56.338"	"43.558"
"1902"	"33.493"	"29.761"	"31.058"	"43.903"	"54.588"	"73.898"	"79.082"	"72.386"	"65.256"	"64.642"	"56.338"	"43.558"
"1903"	"33.493"	"29.761"	"31.058"	"43.903"	"54.588"	"73.898"	"79.082"	"72.386"	"65.256"	"64.642"	"56.338"	"43.558"
"1904"	"33.493"	"29.761"	"31.058"	"43.903"	"54.588"	"73.898"	"79.082"	"72.386"	"65.256"	"64.642"	"56.338"	"43.558"
"1905"	"33.493"	"29.761"	"31.058"	"43.903"	"54.588"	"73.898"	"79.082"	"72.386"	"65.256"	"64.642"	"56.338"	"43.558"
"1906"	"33.493"	"29.761"	"31.058"	"43.903"	"54.588"	"73.898"	"79.082"	"72.386"	"65.256"	"64.642"	"56.338"	"43.558"
"1907"	"33.493"	"29.761"	"31.058"	"43.903"	"54.588"	"73.898"	"79.082"	"72.386"	"65.256"	"64.642"	"56.338"	"43.558"
"1908"	"33.493"	"29.761"	"31.058"	"43.903"	"54.588"	"73.898"	"79.082"	"72.386"	"65.256"	"64.642"	"56.338"	"43.558"
"1909"	"33.493"	"29.761"	"31.058"	"43.903"	"54.588"	"73.898"	"79.082"	"72.386"	"65.256"	"64.642"	"56.338"	"43.558"
"1910"	"33.493"	"29.761"	"31.058"	"43.903"	"54.588"	"73.898"	"79.082"	"72.386"	"65.256"	"64.642"	"56.338"	"43.558"
"1911"	"33.493"	"29.761"	"31.058"	"43.903"	"54.588"	"73.898"	"79.082"	"72.386"	"65.256"	"64.642"	"56.338"	"43.558"
"1912"	"33.493"	"29.761"	"31.058"	"43.903"	"54.588"	"73.898"	"79.082"	"72.386"	"65.256"	"64.642"	"56.338"	"43.558"
"1913"	"33.493"	"29.761"	"31.058"	"43.903"	"54.588"	"73.898"	"79.082"	"72.386"	"65.256"	"64.642"	"56.338"	"43.558"
"1914"	"33.493"	"29.761"	"31.058"	"43.903"	"54.588"	"73.898"	"79.082"	"72.386"	"65.256"	"64.642"	"56.338"	"43.558"
"1915"	"33.493"	"29.761"	"31.058"	"43.903"	"54.588"	"73.898"	"79.082"	"72.386"	"65.256"	"64.642"	"56.338"	"43.558"
"1916"	"33.493"	"29.761"	"31.058"	"43.903"	"54.588"	"73.898"	"79.082"	"72.386"	"65.256"	"64.642"	"56.338"	"43.558"
