
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.76"	"4.32"	"4.82"	"5.04"	"4.84"	"4.4"	"4.28"	"4.31"	"4.33"	"3.89"	"3.45"	"3.25"
"1902"	"3.65"	"4.17"	"4.85"	"5.06"	"4.9"	"4.46"	"4.28"	"4.35"	"4.27"	"3.85"	"3.43"	"3.31"
"1903"	"3.72"	"4.31"	"4.88"	"5.08"	"4.88"	"4.44"	"4.27"	"4.28"	"4.26"	"3.88"	"3.39"	"3.21"
"1904"	"3.6"	"4.15"	"4.78"	"5.04"	"4.81"	"4.31"	"4.21"	"4.26"	"4.31"	"3.9"	"3.41"	"3.24"
"1905"	"3.64"	"4.28"	"4.9"	"5"	"4.87"	"4.42"	"4.34"	"4.32"	"4.34"	"3.89"	"3.46"	"3.28"
"1906"	"3.73"	"4.34"	"4.84"	"5.18"	"4.94"	"4.41"	"4.28"	"4.26"	"4.26"	"3.88"	"3.43"	"3.28"
"1907"	"3.63"	"4.24"	"4.85"	"4.98"	"4.87"	"4.39"	"4.27"	"4.22"	"4.31"	"3.89"	"3.45"	"3.28"
"1908"	"3.66"	"4.2"	"4.79"	"5.12"	"4.89"	"4.4"	"4.19"	"4.26"	"4.25"	"3.89"	"3.41"	"3.24"
"1909"	"3.66"	"4.24"	"4.86"	"5.03"	"4.81"	"4.38"	"4.21"	"4.24"	"4.23"	"3.89"	"3.46"	"3.31"
"1910"	"3.66"	"4.21"	"4.83"	"5.02"	"4.92"	"4.39"	"4.26"	"4.24"	"4.22"	"3.86"	"3.39"	"3.23"
"1911"	"3.67"	"4.14"	"4.83"	"5.02"	"4.84"	"4.33"	"4.21"	"4.26"	"4.33"	"3.86"	"3.45"	"3.28"
"1912"	"3.6"	"4.31"	"4.91"	"5.08"	"4.93"	"4.38"	"4.25"	"4.29"	"4.28"	"3.86"	"3.45"	"3.23"
"1913"	"3.58"	"4.26"	"4.87"	"5.1"	"4.93"	"4.42"	"4.23"	"4.27"	"4.33"	"3.86"	"3.41"	"3.31"
"1914"	"3.61"	"4.27"	"4.88"	"5.06"	"4.91"	"4.46"	"4.24"	"4.26"	"4.33"	"3.87"	"3.45"	"3.31"
"1915"	"3.68"	"4.27"	"4.81"	"5.05"	"4.89"	"4.43"	"4.28"	"4.35"	"4.32"	"3.92"	"3.47"	"3.28"
"1916"	"3.61"	"4.25"	"4.88"	"5.1"	"4.88"	"4.3"	"4.27"	"4.26"	"4.23"	"3.86"	"3.42"	"3.21"
"1917"	"3.58"	"4.17"	"4.74"	"5.02"	"4.81"	"4.31"	"4.3"	"4.29"	"4.24"	"3.83"	"3.45"	"3.24"
"1918"	"3.58"	"4.09"	"4.71"	"5.02"	"4.75"	"4.33"	"4.28"	"4.29"	"4.24"	"3.91"	"3.48"	"3.28"
"1919"	"3.73"	"4.32"	"4.83"	"5.1"	"4.88"	"4.37"	"4.25"	"4.26"	"4.28"	"3.89"	"3.43"	"3.3"
"1920"	"3.66"	"4.28"	"4.9"	"5.03"	"4.92"	"4.41"	"4.28"	"4.3"	"4.31"	"3.89"	"3.44"	"3.23"
"1921"	"3.68"	"4.23"	"4.88"	"5.02"	"4.94"	"4.45"	"4.27"	"4.29"	"4.25"	"3.88"	"3.4"	"3.25"
"1922"	"3.66"	"4.2"	"4.85"	"5.05"	"4.85"	"4.39"	"4.25"	"4.29"	"4.25"	"3.86"	"3.44"	"3.22"
"1923"	"3.58"	"4.19"	"4.78"	"5.06"	"4.89"	"4.42"	"4.22"	"4.25"	"4.26"	"3.88"	"3.47"	"3.29"
"1924"	"3.63"	"4.27"	"4.85"	"5.1"	"4.97"	"4.4"	"4.27"	"4.3"	"4.29"	"3.89"	"3.44"	"3.23"
"1925"	"3.63"	"4.22"	"4.8"	"5.1"	"4.81"	"4.41"	"4.26"	"4.28"	"4.33"	"3.89"	"3.4"	"3.23"
"1926"	"3.67"	"4.23"	"4.88"	"5.06"	"4.92"	"4.46"	"4.32"	"4.33"	"4.3"	"3.89"	"3.42"	"3.3"
"1927"	"3.68"	"4.28"	"4.92"	"5.07"	"4.86"	"4.38"	"4.24"	"4.31"	"4.28"	"3.87"	"3.42"	"3.31"
"1928"	"3.7"	"4.29"	"4.8"	"5.06"	"4.93"	"4.43"	"4.28"	"4.29"	"4.34"	"3.88"	"3.41"	"3.27"
"1929"	"3.69"	"4.25"	"4.83"	"4.95"	"4.84"	"4.36"	"4.28"	"4.31"	"4.33"	"3.88"	"3.44"	"3.28"
"1930"	"3.67"	"4.26"	"4.85"	"5.05"	"4.79"	"4.4"	"4.31"	"4.29"	"4.31"	"3.85"	"3.45"	"3.31"
"1931"	"3.68"	"4.27"	"4.88"	"5.08"	"4.98"	"4.45"	"4.3"	"4.32"	"4.29"	"3.91"	"3.45"	"3.27"
"1932"	"3.61"	"4.21"	"4.79"	"5.06"	"4.81"	"4.37"	"4.24"	"4.31"	"4.28"	"3.86"	"3.45"	"3.27"
"1933"	"3.66"	"4.25"	"4.82"	"5.02"	"4.78"	"4.33"	"4.25"	"4.26"	"4.25"	"3.83"	"3.46"	"3.28"
"1934"	"3.66"	"4.16"	"4.78"	"5.02"	"4.9"	"4.41"	"4.28"	"4.3"	"4.34"	"3.91"	"3.4"	"3.24"
"1935"	"3.67"	"4.24"	"4.83"	"5.06"	"4.94"	"4.43"	"4.24"	"4.25"	"4.25"	"3.89"	"3.39"	"3.29"
"1936"	"3.72"	"4.29"	"4.84"	"5.06"	"4.9"	"4.32"	"4.27"	"4.3"	"4.32"	"3.89"	"3.45"	"3.33"
"1937"	"3.68"	"4.31"	"4.85"	"5"	"4.91"	"4.39"	"4.22"	"4.32"	"4.33"	"3.86"	"3.44"	"3.27"
"1938"	"3.71"	"4.29"	"4.88"	"5.02"	"4.91"	"4.37"	"4.22"	"4.25"	"4.25"	"3.83"	"3.42"	"3.29"
"1939"	"3.61"	"4.19"	"4.79"	"4.98"	"4.83"	"4.38"	"4.21"	"4.25"	"4.25"	"3.89"	"3.39"	"3.27"
"1940"	"3.61"	"4.2"	"4.84"	"5.01"	"4.88"	"4.4"	"4.25"	"4.27"	"4.37"	"3.94"	"3.44"	"3.29"
"1941"	"3.71"	"4.27"	"4.88"	"5.08"	"4.93"	"4.39"	"4.3"	"4.32"	"4.29"	"3.9"	"3.47"	"3.31"
"1942"	"3.68"	"4.27"	"4.87"	"5.06"	"4.92"	"4.42"	"4.27"	"4.29"	"4.31"	"3.91"	"3.46"	"3.31"
"1943"	"3.68"	"4.2"	"4.85"	"4.97"	"4.77"	"4.32"	"4.22"	"4.29"	"4.23"	"3.79"	"3.44"	"3.27"
"1944"	"3.68"	"4.26"	"4.78"	"4.99"	"4.9"	"4.41"	"4.28"	"4.33"	"4.33"	"3.95"	"3.46"	"3.27"
"1945"	"3.67"	"4.3"	"4.85"	"4.99"	"4.89"	"4.43"	"4.29"	"4.29"	"4.29"	"3.91"	"3.4"	"3.27"
"1946"	"3.6"	"4.2"	"4.83"	"5.01"	"4.89"	"4.4"	"4.27"	"4.26"	"4.29"	"3.89"	"3.46"	"3.29"
"1947"	"3.72"	"4.23"	"4.83"	"4.98"	"4.94"	"4.42"	"4.28"	"4.32"	"4.25"	"3.85"	"3.44"	"3.29"
"1948"	"3.68"	"4.27"	"4.83"	"5.05"	"4.89"	"4.38"	"4.26"	"4.29"	"4.29"	"3.92"	"3.48"	"3.27"
"1949"	"3.61"	"4.22"	"4.88"	"5.06"	"4.86"	"4.39"	"4.25"	"4.31"	"4.25"	"3.9"	"3.4"	"3.24"
