
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"28.769"	"29.838"	"30.655"	"31.748"	"31.155"	"29.549"	"28.776"	"28.834"	"29.24"	"28.58"	"27.295"	"26.409"
"1902"	"27.665"	"28.301"	"30.937"	"31.999"	"31.598"	"30.048"	"28.663"	"29.358"	"28.792"	"27.999"	"27.246"	"27.151"
"1903"	"28.28"	"29.605"	"31.276"	"32.257"	"31.436"	"29.939"	"28.633"	"28.629"	"28.701"	"28.398"	"26.842"	"26.066"
"1904"	"27.026"	"28.109"	"30.251"	"31.857"	"30.897"	"28.714"	"28.03"	"28.378"	"29.107"	"28.574"	"27.155"	"26.261"
"1905"	"27.493"	"29.329"	"31.309"	"31.314"	"31.33"	"29.754"	"29.386"	"29.006"	"29.297"	"28.469"	"27.508"	"26.674"
"1906"	"28.375"	"29.87"	"30.833"	"32.819"	"32.065"	"29.634"	"28.76"	"28.43"	"28.682"	"28.293"	"27.102"	"26.875"
"1907"	"27.464"	"29.045"	"30.938"	"31.152"	"31.335"	"29.443"	"28.623"	"28.005"	"29.174"	"28.469"	"27.318"	"26.875"
"1908"	"27.759"	"28.637"	"30.36"	"32.438"	"31.202"	"29.563"	"27.939"	"28.435"	"28.675"	"28.469"	"26.99"	"26.305"
"1909"	"27.545"	"28.955"	"31.076"	"31.746"	"30.865"	"29.358"	"27.963"	"28.272"	"28.356"	"28.398"	"27.603"	"27.288"
"1910"	"27.764"	"28.742"	"30.619"	"31.729"	"31.726"	"29.433"	"28.552"	"28.134"	"28.222"	"28.07"	"26.765"	"26.356"
"1911"	"27.564"	"28.103"	"30.67"	"31.7"	"31.045"	"28.897"	"28.072"	"28.468"	"29.274"	"28.098"	"27.351"	"26.841"
"1912"	"27.065"	"29.718"	"31.443"	"32.29"	"31.994"	"29.367"	"28.519"	"28.611"	"28.86"	"28.098"	"27.279"	"26.299"
"1913"	"26.983"	"29.214"	"31.153"	"32.39"	"31.869"	"29.825"	"28.243"	"28.568"	"29.175"	"28.197"	"26.952"	"27.066"
"1914"	"27.249"	"29.346"	"31.171"	"32.013"	"31.669"	"30.072"	"28.486"	"28.468"	"29.16"	"28.162"	"27.336"	"27.151"
"1915"	"27.926"	"29.351"	"30.59"	"31.819"	"31.544"	"29.811"	"28.697"	"29.311"	"29.131"	"28.808"	"27.66"	"26.698"
