
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"18.853"	"19.23"	"19.954"	"21.779"	"21.982"	"21.54"	"21.04"	"21.063"	"21.04"	"20.607"	"19.373"	"17.883"
"1902"	"17.753"	"17.694"	"20.26"	"22.059"	"22.425"	"22.04"	"20.924"	"21.587"	"20.592"	"20.026"	"19.32"	"18.654"
"1903"	"18.369"	"18.997"	"20.597"	"22.317"	"22.263"	"21.954"	"20.896"	"20.858"	"20.502"	"20.425"	"18.911"	"17.569"
"1904"	"17.059"	"17.502"	"19.545"	"21.916"	"21.725"	"20.73"	"20.286"	"20.607"	"20.9"	"20.601"	"19.235"	"17.685"
"1905"	"17.578"	"18.721"	"20.601"	"21.345"	"22.158"	"21.772"	"21.648"	"21.235"	"21.097"	"20.497"	"19.589"	"18.125"
"1906"	"18.464"	"19.263"	"20.158"	"22.849"	"22.892"	"21.625"	"21.023"	"20.659"	"20.478"	"20.321"	"19.177"	"18.379"
"1907"	"17.554"	"18.441"	"20.254"	"21.212"	"22.162"	"21.464"	"20.887"	"20.236"	"20.972"	"20.498"	"19.397"	"18.379"
"1908"	"17.845"	"18.032"	"19.688"	"22.496"	"21.945"	"21.555"	"20.2"	"20.663"	"20.474"	"20.498"	"19.059"	"17.807"
"1909"	"17.578"	"18.351"	"20.397"	"21.806"	"21.692"	"21.377"	"20.219"	"20.503"	"20.155"	"20.426"	"19.674"	"18.787"
"1910"	"17.85"	"18.136"	"19.907"	"21.789"	"22.468"	"21.454"	"20.815"	"20.364"	"20.02"	"20.097"	"18.839"	"17.864"
"1911"	"17.597"	"17.497"	"19.964"	"21.76"	"21.873"	"20.916"	"20.334"	"20.696"	"21.064"	"20.126"	"19.425"	"18.322"
"1912"	"17.098"	"19.11"	"20.763"	"22.35"	"22.82"	"21.387"	"20.776"	"20.839"	"20.654"	"20.126"	"19.355"	"17.808"
"1913"	"17.068"	"18.607"	"20.468"	"22.42"	"22.697"	"21.844"	"20.506"	"20.796"	"20.974"	"20.226"	"19.03"	"18.517"
"1914"	"17.341"	"18.739"	"20.469"	"22.074"	"22.496"	"22.064"	"20.749"	"20.696"	"20.955"	"20.188"	"19.411"	"18.654"
"1915"	"18.017"	"18.745"	"19.916"	"21.85"	"22.373"	"21.831"	"20.958"	"21.54"	"20.925"	"20.835"	"19.735"	"18.149"
"1916"	"17.126"	"18.517"	"20.478"	"22.42"	"22.291"	"20.706"	"20.843"	"20.626"	"20.159"	"20.197"	"19.24"	"17.474"
"1917"	"16.936"	"17.684"	"19.386"	"21.669"	"21.654"	"20.763"	"21.244"	"20.96"	"20.33"	"19.788"	"19.373"	"17.693"
