
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"20.708"	"35.723"	"20.254"	"98.324"	"124.433"	"101.229"	"84.097"	"67.305"	"208.201"	"136.435"	"157.095"	"39.373"
"1902"	"41.322"	"21.49"	"46.05"	"53.582"	"131.595"	"119.314"	"90.737"	"120"	"75.097"	"299.638"	"125.605"	"143.665"
"1903"	"4.605"	"5.452"	"0.228"	"30.334"	"285.867"	"102.795"	"86.288"	"140.705"	"272.936"	"110.717"	"213.511"	"146.467"
"1904"	"18.953"	"0.057"	"0.228"	"22.006"	"172.128"	"56.545"	"93.606"	"55.707"	"80.073"	"115.268"	"24.648"	"20.913"
"1905"	"1.096"	"18.425"	"8.037"	"121.643"	"77.248"	"75.082"	"44.003"	"87.526"	"86.552"	"182.943"	"97.171"	"0.744"
"1906"	"25.332"	"33.14"	"33.728"	"7.707"	"89.45"	"85.976"	"59.742"	"214.505"	"28.779"	"239.585"	"133.336"	"61.99"
"1907"	"3.764"	"10.419"	"19.072"	"165.614"	"111.644"	"64.749"	"151.167"	"76.252"	"121.783"	"154.865"	"218.311"	"32.467"
"1908"	"3.746"	"122.01"	"46.707"	"80.426"	"72.558"	"113.955"	"113.472"	"44.443"	"141.628"	"254.255"	"15.996"	"4.676"
"1909"	"42.135"	"54.724"	"0.23"	"93.402"	"240.585"	"37.804"	"37.374"	"167.449"	"102.475"	"175.586"	"62.86"	"6.733"
"1910"	"10.989"	"113.316"	"0.228"	"36.512"	"74.931"	"29.406"	"250.365"	"224.248"	"39.781"	"209.963"	"133.603"	"0.729"
"1911"	"0.847"	"28.009"	"17.983"	"81.132"	"92.367"	"149.461"	"115.061"	"18.154"	"131.76"	"129.626"	"145.065"	"89.575"
"1912"	"1.293"	"1.199"	"8.693"	"22.314"	"92.282"	"184.454"	"49.191"	"58.001"	"134.222"	"224.975"	"160.175"	"13.68"
"1913"	"0.004"	"0.06"	"0.487"	"51.997"	"67.492"	"35.883"	"100.624"	"48.983"	"83.584"	"268.684"	"129.843"	"65.263"
"1914"	"1.771"	"0.071"	"1.459"	"62.254"	"42.508"	"51.957"	"62.694"	"138.296"	"130.042"	"193.256"	"73.748"	"87.342"
