
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.3839"	"3.4227"	"2.0102"	"2.8248"	"4.3208"	"5.2428"	"5.2312"	"4.6078"	"8.3146"	"7.1106"	"8.4909"	"4.0073"
"1902"	"3.0356"	"2.8296"	"2.4846"	"2.9122"	"4.4342"	"8.1267"	"7.0759"	"5.4362"	"6.3833"	"12.608"	"6.2808"	"5.427"
"1903"	"1.2427"	"1.9543"	"0.2286"	"1.6327"	"7.5234"	"5.1616"	"5.3907"	"8.5118"	"9.7866"	"10.0037"	"8.7561"	"4.838"
"1904"	"2.0531"	"0.0575"	"0.2286"	"2.9396"	"5.7788"	"5.9849"	"8.0649"	"5.5522"	"4.2978"	"8.3902"	"1.7901"	"3.0669"
"1905"	"1.0493"	"1.2649"	"1.9866"	"5.2317"	"6.2956"	"5.1154"	"4.9042"	"6.6303"	"5.5496"	"11.3151"	"5.9766"	"0.7285"
"1906"	"3.1162"	"1.3511"	"2.3717"	"1.9728"	"4.1133"	"5.7945"	"6.2066"	"8.0375"	"5.5565"	"9.4294"	"7.4443"	"5.8746"
"1907"	"1.2853"	"1.3239"	"2.4577"	"6.0542"	"4.3414"	"7.6854"	"5.8968"	"6.6687"	"8.4063"	"10.4975"	"6.7861"	"3.8648"
"1908"	"1.9216"	"2.7036"	"2.1269"	"2.9464"	"5.247"	"2.0527"	"5.965"	"5.7469"	"8.3475"	"11.4947"	"3.4337"	"2.0717"
"1909"	"2.8189"	"2.0968"	"0.2299"	"5.5108"	"8.2773"	"5.9334"	"3.9479"	"12.2603"	"6.1946"	"9.531"	"4.2165"	"1.9856"
"1910"	"1.3857"	"2.6794"	"0.2286"	"3.7117"	"3.8036"	"5.5587"	"7.5972"	"10.752"	"6.8868"	"12.1916"	"6.653"	"0.7284"
"1911"	"0.7717"	"1.3239"	"2.4525"	"2.2288"	"3.9999"	"8.0481"	"6.8176"	"3.2971"	"6.5215"	"9.1314"	"7.3004"	"4.8868"
"1912"	"1.2643"	"0.8994"	"2.1708"	"2.2957"	"3.5429"	"6.9361"	"3.9837"	"6.8677"	"7.1367"	"10.7784"	"7.4119"	"1.6941"
"1913"	"0.0017"	"0.0587"	"0.4872"	"1.3632"	"3.8572"	"4.4055"	"10.5842"	"4.7769"	"5.485"	"9.0486"	"7.1789"	"5.3085"
"1914"	"1.2192"	"0.0711"	"0.5149"	"5.9617"	"4.5052"	"3.9151"	"3.8846"	"3.9345"	"9.1873"	"13.1127"	"5.541"	"5.7434"
"1915"	"2.1512"	"2.8713"	"2.9784"	"3.4462"	"5.5446"	"5.628"	"6.2693"	"5.3977"	"7.576"	"5.5762"	"7.9116"	"2.5111"
"1916"	"0"	"0.8672"	"0.2302"	"3.1165"	"5.512"	"4.803"	"8.7004"	"6.4051"	"5.288"	"10.0578"	"7.2085"	"2.3548"
"1917"	"1.2754"	"2.0822"	"2.9513"	"2.0865"	"4.7676"	"6.5677"	"7.975"	"7.6673"	"10.3575"	"8.1541"	"7.5934"	"2.9668"
"1918"	"3.596"	"2.1889"	"1.7927"	"2.595"	"5.8502"	"3.0384"	"3.6992"	"2.7049"	"4.8775"	"8.0497"	"10.4085"	"4.605"
