
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"25.186"	"26.138"	"26.569"	"27.426"	"27.333"	"26.247"	"25.84"	"25.797"	"25.822"	"25.541"	"24.46"	"24.028"
"1902"	"24.436"	"24.687"	"26.653"	"27.967"	"27.81"	"26.58"	"25.423"	"26.147"	"25.614"	"25.067"	"24.653"	"24.612"
"1903"	"25.047"	"25.843"	"26.885"	"27.925"	"27.415"	"26.579"	"25.472"	"25.588"	"25.44"	"25.416"	"24.443"	"23.561"
"1904"	"23.721"	"24.344"	"25.762"	"27.473"	"27.131"	"25.465"	"25.038"	"25.299"	"25.889"	"25.591"	"24.676"	"23.787"
"1905"	"24.071"	"25.311"	"27.001"	"27.099"	"27.249"	"26.304"	"26.362"	"25.847"	"26.182"	"25.441"	"24.885"	"24.111"
"1906"	"24.787"	"25.709"	"26.67"	"28.364"	"27.716"	"26.061"	"25.571"	"25.298"	"25.773"	"25.316"	"24.344"	"24.26"
"1907"	"24.119"	"25.128"	"26.602"	"27.041"	"27.439"	"26.171"	"25.516"	"24.847"	"25.865"	"25.325"	"24.633"	"24.193"
"1908"	"24.328"	"24.845"	"26.103"	"27.956"	"27.173"	"25.838"	"24.72"	"25.298"	"25.367"	"25.325"	"24.21"	"23.646"
"1909"	"23.911"	"24.976"	"26.593"	"27.423"	"27.017"	"25.812"	"24.755"	"24.981"	"25.233"	"25.292"	"24.618"	"24.375"
"1910"	"24.327"	"24.777"	"26.043"	"27.098"	"27.531"	"25.811"	"25.254"	"24.998"	"25.257"	"24.999"	"24.444"	"23.837"
"1911"	"24.104"	"24.509"	"26.302"	"27.382"	"27.024"	"25.289"	"24.922"	"25.349"	"25.968"	"25.092"	"24.728"	"24.188"
"1912"	"23.553"	"25.661"	"27.059"	"27.958"	"27.683"	"25.838"	"25.447"	"25.447"	"25.598"	"25.115"	"24.82"	"23.828"
"1913"	"23.788"	"25.352"	"26.684"	"28.057"	"27.893"	"26.454"	"25.189"	"25.472"	"25.731"	"25.284"	"24.405"	"24.395"
"1914"	"24.063"	"25.328"	"26.643"	"27.806"	"27.55"	"26.37"	"25.397"	"25.298"	"25.849"	"25.286"	"24.736"	"24.379"
"1915"	"24.453"	"25.304"	"26.136"	"27.407"	"27.449"	"26.405"	"25.43"	"25.956"	"25.797"	"25.742"	"24.952"	"24.277"
"1916"	"23.887"	"25.154"	"26.759"	"27.958"	"27.567"	"25.322"	"25.474"	"25.415"	"25.165"	"25.041"	"24.626"	"23.487"
"1917"	"23.739"	"24.712"	"25.753"	"27.375"	"26.967"	"25.423"	"25.873"	"25.648"	"25.29"	"24.808"	"24.46"	"23.578"
"1918"	"23.715"	"23.702"	"25.397"	"27.418"	"26.389"	"25.457"	"25.499"	"25.473"	"25.325"	"25.583"	"24.944"	"24.145"
"1919"	"24.928"	"25.803"	"26.234"	"27.916"	"27.497"	"25.805"	"25.155"	"25.105"	"25.54"	"25.3"	"24.292"	"24.288"
"1920"	"24.295"	"25.428"	"27.078"	"27.524"	"27.699"	"26.037"	"25.671"	"25.506"	"25.648"	"25.54"	"24.46"	"23.596"
"1921"	"24.411"	"25.077"	"26.936"	"27.373"	"27.898"	"26.478"	"25.371"	"25.404"	"25.507"	"25.384"	"24.544"	"23.762"
"1922"	"24.153"	"24.801"	"26.268"	"27.407"	"26.998"	"25.954"	"25.221"	"25.348"	"25.348"	"25.159"	"24.509"	"23.528"
"1923"	"23.739"	"24.767"	"26.119"	"27.859"	"27.415"	"26.087"	"25.071"	"25.122"	"25.607"	"25.292"	"24.977"	"24.17"
"1924"	"24.005"	"25.452"	"26.727"	"27.958"	"28.346"	"26.103"	"25.32"	"25.557"	"25.691"	"25.441"	"24.793"	"23.812"
"1925"	"23.854"	"25.046"	"26.25"	"27.955"	"27.248"	"26.053"	"25.321"	"25.298"	"25.841"	"25.584"	"24.478"	"23.713"
"1926"	"24.371"	"25.202"	"26.935"	"27.791"	"27.699"	"26.337"	"25.905"	"26.048"	"25.765"	"25.442"	"24.528"	"24.411"
"1927"	"24.504"	"25.478"	"26.935"	"27.492"	"26.782"	"25.639"	"25.12"	"25.655"	"25.59"	"25.308"	"24.744"	"24.512"
"1928"	"24.77"	"25.694"	"26.202"	"27.633"	"27.9"	"26.28"	"25.53"	"25.447"	"26.039"	"25.366"	"24.602"	"24.28"
"1929"	"24.453"	"25.32"	"26.47"	"26.674"	"27.309"	"25.613"	"25.523"	"25.564"	"25.674"	"25.316"	"24.729"	"24.295"
"1930"	"24.347"	"25.511"	"26.677"	"27.431"	"26.667"	"25.939"	"26.038"	"25.505"	"25.79"	"25.043"	"24.945"	"24.561"
"1931"	"24.72"	"25.544"	"26.743"	"27.709"	"27.983"	"26.438"	"25.748"	"25.629"	"25.64"	"25.424"	"24.828"	"24.237"
"1932"	"24.03"	"24.944"	"26.269"	"27.29"	"26.798"	"26.007"	"25.389"	"25.607"	"25.757"	"24.975"	"24.752"	"24.087"
"1933"	"24.489"	"25.303"	"26.352"	"27.207"	"26.666"	"25.79"	"25.613"	"25.298"	"25.34"	"24.842"	"24.71"	"24.279"
"1934"	"24.413"	"24.227"	"25.902"	"27.257"	"27.456"	"26.06"	"25.621"	"25.722"	"25.973"	"25.473"	"24.594"	"24.022"
"1935"	"24.421"	"25.129"	"26.335"	"27.55"	"27.991"	"26.361"	"25.314"	"25.29"	"25.607"	"25.342"	"24.544"	"24.369"
"1936"	"24.853"	"25.503"	"26.527"	"27.791"	"27.499"	"25.646"	"25.688"	"25.764"	"25.89"	"25.459"	"24.901"	"24.912"
"1937"	"24.687"	"25.777"	"26.487"	"27.075"	"27.691"	"25.954"	"25.02"	"25.846"	"25.991"	"25.216"	"24.894"	"24.16"
"1938"	"24.82"	"25.361"	"26.793"	"27.164"	"27.506"	"25.822"	"25.095"	"25.365"	"25.506"	"24.909"	"24.426"	"24.145"
"1939"	"23.972"	"24.82"	"26.036"	"26.856"	"26.782"	"25.631"	"25.155"	"25.197"	"25.513"	"25.392"	"24.277"	"24.279"
"1940"	"23.772"	"24.894"	"26.366"	"27.298"	"27.449"	"26.271"	"25.54"	"25.348"	"26.554"	"26.015"	"24.894"	"24.461"
"1941"	"24.871"	"25.495"	"26.776"	"27.909"	"28.067"	"26.171"	"25.872"	"25.898"	"25.806"	"25.685"	"25.079"	"24.461"
"1942"	"24.594"	"25.495"	"26.853"	"27.341"	"27.683"	"26.253"	"25.421"	"25.596"	"25.764"	"25.59"	"24.943"	"24.345"
"1943"	"24.352"	"24.927"	"26.368"	"26.657"	"26.499"	"25.446"	"25.188"	"25.554"	"25.356"	"24.515"	"24.509"	"24.28"
"1944"	"24.571"	"25.511"	"26.087"	"27.024"	"27.407"	"26.154"	"25.863"	"26.138"	"26.212"	"26.156"	"24.926"	"24.037"
"1945"	"24.303"	"25.46"	"26.554"	"26.807"	"27.25"	"26.404"	"25.671"	"25.648"	"25.806"	"25.49"	"24.454"	"23.921"
"1946"	"23.603"	"24.894"	"26.126"	"26.889"	"27.2"	"26.054"	"25.688"	"25.296"	"25.64"	"25.392"	"24.828"	"24.428"
"1947"	"24.871"	"25.218"	"26.235"	"26.873"	"27.882"	"26.253"	"25.739"	"25.797"	"25.34"	"24.892"	"24.844"	"24.463"
"1948"	"24.696"	"25.212"	"26.429"	"27.507"	"27.366"	"25.781"	"25.464"	"25.589"	"25.832"	"25.742"	"25.111"	"24.155"
"1949"	"24.113"	"24.995"	"26.886"	"27.649"	"27.091"	"26.104"	"25.54"	"25.914"	"25.674"	"25.466"	"24.645"	"23.979"
"1950"	"24.071"	"25.178"	"26.536"	"27.233"	"27.893"	"25.971"	"24.994"	"25.205"	"25.357"	"25.008"	"24.744"	"24.134"
"1951"	"24.422"	"24.629"	"26.735"	"26.965"	"27.666"	"25.721"	"25.246"	"25.855"	"26.047"	"25.893"	"25.155"	"24.328"
"1952"	"24.645"	"25.728"	"26.635"	"27.59"	"27.624"	"26.204"	"25.596"	"25.596"	"25.59"	"25.283"	"25.076"	"24.711"
"1953"	"25.069"	"25.461"	"27.708"	"27.571"	"28.074"	"27.005"	"25.564"	"25.864"	"25.806"	"25.516"	"24.945"	"24.287"
"1954"	"24.778"	"25.526"	"26.335"	"27.366"	"27.767"	"26.422"	"25.189"	"25.165"	"25.657"	"24.716"	"24.412"	"24.53"
"1955"	"25.064"	"25.428"	"26.187"	"27.009"	"26.514"	"25.362"	"25.073"	"25.283"	"25.741"	"25.241"	"24.326"	"23.773"
"1956"	"24.165"	"25.147"	"26.544"	"27.116"	"26.181"	"25.338"	"24.689"	"25.465"	"25.241"	"24.592"	"24.671"	"24.18"
"1957"	"24.216"	"25.297"	"25.955"	"27.009"	"27.182"	"26.173"	"25.34"	"25.299"	"25.742"	"25.176"	"24.318"	"24.563"
