
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.76"	"4.28"	"4.63"	"4.71"	"4.48"	"4.1"	"4.05"	"4.07"	"4.08"	"3.83"	"3.42"	"3.34"
"1902"	"3.7"	"4.14"	"4.64"	"4.77"	"4.53"	"4.13"	"4.02"	"4.1"	"4.06"	"3.78"	"3.44"	"3.38"
"1903"	"3.77"	"4.24"	"4.68"	"4.76"	"4.5"	"4.13"	"4.02"	"4.04"	"4.03"	"3.81"	"3.42"	"3.29"
"1904"	"3.63"	"4.1"	"4.55"	"4.73"	"4.46"	"4"	"3.97"	"4.01"	"4.08"	"3.84"	"3.44"	"3.31"
"1905"	"3.66"	"4.21"	"4.68"	"4.68"	"4.48"	"4.11"	"4.11"	"4.07"	"4.12"	"3.82"	"3.46"	"3.34"
"1906"	"3.75"	"4.24"	"4.64"	"4.82"	"4.53"	"4.07"	"4.02"	"4.01"	"4.07"	"3.8"	"3.42"	"3.35"
"1907"	"3.66"	"4.18"	"4.63"	"4.67"	"4.5"	"4.08"	"4.02"	"3.97"	"4.08"	"3.8"	"3.44"	"3.34"
"1908"	"3.69"	"4.15"	"4.59"	"4.77"	"4.46"	"4.06"	"3.94"	"4.01"	"4.03"	"3.8"	"3.39"	"3.3"
"1909"	"3.64"	"4.16"	"4.63"	"4.72"	"4.46"	"4.05"	"3.94"	"3.99"	"4.02"	"3.8"	"3.45"	"3.36"
"1910"	"3.69"	"4.15"	"4.59"	"4.69"	"4.51"	"4.05"	"3.98"	"3.99"	"4.03"	"3.78"	"3.43"	"3.31"
"1911"	"3.66"	"4.12"	"4.6"	"4.71"	"4.46"	"4.01"	"3.96"	"4.01"	"4.1"	"3.78"	"3.45"	"3.35"
"1912"	"3.62"	"4.22"	"4.68"	"4.77"	"4.53"	"4.06"	"4.02"	"4.02"	"4.05"	"3.79"	"3.46"	"3.31"
"1913"	"3.64"	"4.2"	"4.63"	"4.79"	"4.53"	"4.12"	"3.98"	"4.03"	"4.08"	"3.8"	"3.43"	"3.36"
"1914"	"3.66"	"4.2"	"4.63"	"4.76"	"4.52"	"4.11"	"4"	"4.01"	"4.09"	"3.81"	"3.45"	"3.36"
"1915"	"3.7"	"4.19"	"4.59"	"4.72"	"4.5"	"4.11"	"4.02"	"4.08"	"4.08"	"3.84"	"3.46"	"3.35"
"1916"	"3.66"	"4.18"	"4.65"	"4.77"	"4.51"	"4"	"4.02"	"4.02"	"4.01"	"3.78"	"3.44"	"3.29"
"1917"	"3.64"	"4.14"	"4.56"	"4.71"	"4.44"	"4.01"	"4.05"	"4.06"	"4.03"	"3.75"	"3.42"	"3.29"
"1918"	"3.62"	"4.04"	"4.51"	"4.71"	"4.4"	"4.02"	"4.02"	"4.03"	"4.02"	"3.81"	"3.47"	"3.34"
"1919"	"3.75"	"4.25"	"4.6"	"4.77"	"4.5"	"4.05"	"3.98"	"4"	"4.04"	"3.8"	"3.4"	"3.35"
"1920"	"3.68"	"4.22"	"4.68"	"4.73"	"4.53"	"4.07"	"4.03"	"4.03"	"4.06"	"3.83"	"3.42"	"3.3"
"1921"	"3.71"	"4.18"	"4.68"	"4.72"	"4.54"	"4.12"	"4.02"	"4.02"	"4.04"	"3.82"	"3.43"	"3.3"
"1922"	"3.66"	"4.15"	"4.6"	"4.72"	"4.46"	"4.07"	"3.98"	"4.02"	"4.03"	"3.79"	"3.43"	"3.29"
"1923"	"3.62"	"4.16"	"4.59"	"4.76"	"4.5"	"4.07"	"3.97"	"4"	"4.06"	"3.8"	"3.46"	"3.35"
"1924"	"3.65"	"4.22"	"4.65"	"4.77"	"4.59"	"4.07"	"4.01"	"4.05"	"4.07"	"3.82"	"3.45"	"3.31"
