
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"29.753"	"30.887"	"31.176"	"31.681"	"31.182"	"29.646"	"29.23"	"29.189"	"29.387"	"29.157"	"28.12"	"28.014"
"1902"	"29.003"	"29.438"	"31.259"	"32.223"	"31.658"	"29.979"	"28.812"	"29.538"	"29.178"	"28.681"	"28.313"	"28.597"
"1903"	"29.613"	"30.594"	"31.491"	"32.18"	"31.265"	"29.977"	"28.862"	"28.953"	"29.004"	"28.988"	"28.104"	"27.545"
"1904"	"28.287"	"29.094"	"30.367"	"31.703"	"30.98"	"28.855"	"28.428"	"28.688"	"29.453"	"29.207"	"28.336"	"27.772"
"1905"	"28.638"	"30.059"	"31.607"	"31.328"	"31.095"	"29.696"	"29.755"	"29.237"	"29.747"	"29.057"	"28.544"	"28.096"
"1906"	"29.354"	"30.457"	"31.276"	"32.62"	"31.562"	"29.46"	"28.961"	"28.688"	"29.337"	"28.889"	"28.003"	"28.245"
"1907"	"28.686"	"29.878"	"31.208"	"31.27"	"31.289"	"29.569"	"28.904"	"28.237"	"29.429"	"28.898"	"28.294"	"28.179"
"1908"	"28.894"	"29.594"	"30.709"	"32.211"	"31.021"	"29.236"	"28.087"	"28.687"	"28.931"	"28.898"	"27.87"	"27.63"
"1909"	"28.478"	"29.726"	"31.197"	"31.679"	"30.864"	"29.21"	"28.121"	"28.347"	"28.797"	"28.865"	"28.277"	"28.361"
"1910"	"28.894"	"29.528"	"30.65"	"31.352"	"31.38"	"29.201"	"28.62"	"28.362"	"28.821"	"28.614"	"28.103"	"27.822"
"1911"	"28.671"	"29.26"	"30.908"	"31.637"	"30.872"	"28.686"	"28.311"	"28.737"	"29.531"	"28.707"	"28.387"	"28.172"
"1912"	"28.121"	"30.411"	"31.666"	"32.187"	"31.53"	"29.236"	"28.836"	"28.811"	"29.163"	"28.731"	"28.477"	"27.813"
"1913"	"28.356"	"30.1"	"31.29"	"32.313"	"31.74"	"29.853"	"28.579"	"28.862"	"29.295"	"28.858"	"28.063"	"28.38"
"1914"	"28.631"	"30.076"	"31.249"	"32.061"	"31.398"	"29.769"	"28.762"	"28.688"	"29.413"	"28.902"	"28.395"	"28.363"
"1915"	"29.021"	"30.052"	"30.743"	"31.663"	"31.298"	"29.805"	"28.82"	"29.345"	"29.361"	"29.357"	"28.61"	"28.263"
"1916"	"28.455"	"29.902"	"31.366"	"32.187"	"31.414"	"28.714"	"28.862"	"28.804"	"28.729"	"28.656"	"28.286"	"27.471"
"1917"	"28.307"	"29.462"	"30.359"	"31.63"	"30.814"	"28.82"	"29.238"	"29.037"	"28.854"	"28.38"	"28.12"	"27.562"
"1918"	"28.281"	"28.452"	"30.002"	"31.673"	"30.238"	"28.854"	"28.89"	"28.838"	"28.889"	"29.199"	"28.604"	"28.13"
"1919"	"29.496"	"30.552"	"30.841"	"32.171"	"31.346"	"29.195"	"28.545"	"28.495"	"29.104"	"28.872"	"27.952"	"28.274"
"1920"	"28.861"	"30.178"	"31.684"	"31.754"	"31.548"	"29.434"	"29.062"	"28.895"	"29.212"	"29.157"	"28.12"	"27.58"
"1921"	"28.977"	"29.826"	"31.541"	"31.629"	"31.746"	"29.877"	"28.762"	"28.768"	"29.071"	"29"	"28.204"	"27.746"
"1922"	"28.72"	"29.552"	"30.873"	"31.663"	"30.845"	"29.352"	"28.585"	"28.737"	"28.912"	"28.774"	"28.168"	"27.512"
"1923"	"28.305"	"29.517"	"30.724"	"32.114"	"31.265"	"29.486"	"28.461"	"28.512"	"29.171"	"28.864"	"28.637"	"28.155"
