
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"20.712"	"21.457"	"21.97"	"23.227"	"23.551"	"22.858"	"22.524"	"22.483"	"22.324"	"21.933"	"20.843"	"20.067"
"1902"	"19.893"	"20.008"	"22.055"	"23.741"	"24.027"	"23.19"	"22.081"	"22.807"	"22.115"	"21.502"	"21.063"	"20.677"
"1903"	"20.546"	"21.163"	"22.288"	"23.699"	"23.634"	"23.19"	"22.129"	"22.248"	"21.94"	"21.806"	"20.853"	"19.626"
"1904"	"19.202"	"19.663"	"21.163"	"23.225"	"23.351"	"22.065"	"21.697"	"21.957"	"22.391"	"21.982"	"21.087"	"19.852"
"1905"	"19.595"	"20.629"	"22.396"	"22.874"	"23.466"	"22.907"	"23.022"	"22.531"	"22.685"	"21.833"	"21.27"	"20.175"
"1906"	"20.244"	"21.029"	"22.071"	"24.14"	"23.932"	"22.671"	"22.254"	"21.983"	"22.275"	"21.708"	"20.711"	"20.327"
"1907"	"19.645"	"20.447"	"22.003"	"22.816"	"23.657"	"22.78"	"22.172"	"21.532"	"22.367"	"21.717"	"21.045"	"20.26"
"1908"	"19.852"	"20.164"	"21.505"	"23.732"	"23.391"	"22.439"	"21.38"	"21.983"	"21.867"	"21.717"	"20.62"	"19.71"
"1909"	"19.435"	"20.297"	"21.995"	"23.199"	"23.234"	"22.414"	"21.414"	"21.642"	"21.735"	"21.684"	"20.959"	"20.443"
"1910"	"19.852"	"20.097"	"21.445"	"22.843"	"23.748"	"22.413"	"21.913"	"21.656"	"21.758"	"21.39"	"20.785"	"19.903"
"1911"	"19.629"	"19.83"	"21.703"	"23.184"	"23.242"	"21.891"	"21.581"	"22.033"	"22.467"	"21.527"	"21.095"	"20.254"
"1912"	"19.08"	"20.98"	"22.461"	"23.733"	"23.899"	"22.439"	"22.105"	"22.106"	"22.098"	"21.55"	"21.161"	"19.894"
"1913"	"19.272"	"20.671"	"22.086"	"23.833"	"24.11"	"23.056"	"21.873"	"22.157"	"22.232"	"21.677"	"20.745"	"20.461"
"1914"	"19.588"	"20.646"	"22.045"	"23.582"	"23.768"	"22.974"	"22.055"	"21.983"	"22.349"	"21.677"	"21.102"	"20.418"
"1915"	"19.954"	"20.623"	"21.537"	"23.183"	"23.667"	"23.008"	"22.089"	"22.615"	"22.299"	"22.176"	"21.336"	"20.344"
"1916"	"19.369"	"20.471"	"22.161"	"23.733"	"23.783"	"21.923"	"22.132"	"22.101"	"21.667"	"21.433"	"21.037"	"19.552"
"1917"	"19.222"	"20.032"	"21.156"	"23.176"	"23.184"	"22.025"	"22.531"	"22.306"	"21.79"	"21.199"	"20.843"	"19.643"
"1918"	"19.24"	"19.022"	"20.79"	"23.22"	"22.583"	"22.067"	"22.158"	"22.133"	"21.826"	"22.017"	"21.311"	"20.211"
"1919"	"20.412"	"21.121"	"21.636"	"23.691"	"23.714"	"22.406"	"21.84"	"21.764"	"22.042"	"21.692"	"20.703"	"20.353"
"1920"	"19.82"	"20.746"	"22.48"	"23.276"	"23.917"	"22.639"	"22.356"	"22.164"	"22.148"	"21.933"	"20.843"	"19.661"
"1921"	"19.867"	"20.396"	"22.338"	"23.142"	"24.116"	"23.08"	"22.03"	"22.063"	"22.009"	"21.775"	"20.955"	"19.827"
"1922"	"19.679"	"20.121"	"21.663"	"23.183"	"23.216"	"22.555"	"21.879"	"22.031"	"21.848"	"21.594"	"20.918"	"19.567"
"1923"	"19.264"	"20.087"	"21.52"	"23.634"	"23.634"	"22.697"	"21.756"	"21.781"	"22.108"	"21.683"	"21.345"	"20.236"
"1924"	"19.528"	"20.77"	"22.129"	"23.733"	"24.566"	"22.706"	"21.979"	"22.214"	"22.191"	"21.833"	"21.161"	"19.878"
"1925"	"19.338"	"20.364"	"21.653"	"23.732"	"23.466"	"22.657"	"21.98"	"21.983"	"22.342"	"22.017"	"20.844"	"19.776"
"1926"	"19.852"	"20.522"	"22.337"	"23.567"	"23.917"	"22.94"	"22.564"	"22.707"	"22.267"	"21.833"	"20.939"	"20.478"
"1927"	"20.03"	"20.797"	"22.337"	"23.268"	"22.976"	"22.247"	"21.804"	"22.314"	"22.091"	"21.7"	"21.111"	"20.553"
"1928"	"20.297"	"21.013"	"21.604"	"23.434"	"24.118"	"22.883"	"22.188"	"22.105"	"22.54"	"21.756"	"21.012"	"20.344"
"1929"	"19.936"	"20.639"	"21.864"	"22.476"	"23.527"	"22.222"	"22.18"	"22.223"	"22.175"	"21.708"	"21.095"	"20.362"
"1930"	"19.828"	"20.83"	"22.079"	"23.207"	"22.884"	"22.54"	"22.698"	"22.164"	"22.292"	"21.478"	"21.286"	"20.628"
"1931"	"20.246"	"20.863"	"22.137"	"23.484"	"24.199"	"23.04"	"22.406"	"22.314"	"22.141"	"21.816"	"21.238"	"20.303"
"1932"	"19.53"	"20.263"	"21.67"	"23.066"	"23.017"	"22.615"	"22.048"	"22.266"	"22.258"	"21.366"	"21.136"	"20.154"
"1933"	"20.014"	"20.621"	"21.746"	"22.976"	"22.86"	"22.399"	"22.272"	"21.982"	"21.84"	"21.234"	"21.12"	"20.344"
"1934"	"19.939"	"19.547"	"21.298"	"23.051"	"23.674"	"22.671"	"22.306"	"22.381"	"22.474"	"21.866"	"20.978"	"20.087"
"1935"	"19.947"	"20.447"	"21.729"	"23.327"	"24.21"	"22.964"	"21.973"	"21.975"	"22.108"	"21.732"	"20.955"	"20.435"
"1936"	"20.354"	"20.822"	"21.928"	"23.567"	"23.716"	"22.255"	"22.372"	"22.448"	"22.392"	"21.85"	"21.286"	"20.978"
"1937"	"20.214"	"21.096"	"21.887"	"22.826"	"23.909"	"22.555"	"21.705"	"22.531"	"22.491"	"21.65"	"21.279"	"20.226"
"1938"	"20.346"	"20.679"	"22.187"	"22.933"	"23.723"	"22.43"	"21.78"	"22.049"	"22.008"	"21.301"	"20.836"	"20.211"
"1939"	"19.47"	"20.138"	"21.438"	"22.633"	"23.002"	"22.239"	"21.814"	"21.856"	"22.016"	"21.782"	"20.644"	"20.344"
"1940"	"19.296"	"20.214"	"21.761"	"23.067"	"23.667"	"22.882"	"22.196"	"22.031"	"23.058"	"22.406"	"21.279"	"20.502"
"1941"	"20.354"	"20.813"	"22.178"	"23.684"	"24.284"	"22.78"	"22.531"	"22.582"	"22.307"	"22.118"	"21.488"	"20.502"
"1942"	"20.12"	"20.813"	"22.248"	"23.117"	"23.899"	"22.863"	"22.079"	"22.255"	"22.264"	"21.982"	"21.353"	"20.411"
"1943"	"19.852"	"20.247"	"21.769"	"22.432"	"22.719"	"22.047"	"21.872"	"22.212"	"21.857"	"20.907"	"20.918"	"20.344"
"1944"	"20.096"	"20.83"	"21.489"	"22.775"	"23.624"	"22.763"	"22.521"	"22.799"	"22.715"	"22.548"	"21.336"	"20.103"
"1945"	"19.828"	"20.78"	"21.954"	"22.609"	"23.468"	"23.007"	"22.328"	"22.305"	"22.307"	"21.882"	"20.82"	"19.96"
"1946"	"19.128"	"20.214"	"21.527"	"22.665"	"23.417"	"22.657"	"22.372"	"21.98"	"22.141"	"21.783"	"21.168"	"20.494"
"1947"	"20.354"	"20.538"	"21.637"	"22.642"	"24.1"	"22.863"	"22.423"	"22.481"	"21.84"	"21.284"	"21.254"	"20.529"
"1948"	"20.222"	"20.531"	"21.831"	"23.284"	"23.585"	"22.382"	"22.122"	"22.248"	"22.333"	"22.176"	"21.519"	"20.222"
"1949"	"19.596"	"20.313"	"22.289"	"23.425"	"23.311"	"22.713"	"22.196"	"22.598"	"22.175"	"21.859"	"21.029"	"20.044"
"1950"	"19.595"	"20.495"	"21.937"	"23.027"	"24.109"	"22.574"	"21.653"	"21.863"	"21.857"	"21.401"	"21.111"	"20.202"
"1951"	"19.947"	"19.948"	"22.137"	"22.74"	"23.884"	"22.329"	"21.93"	"22.538"	"22.548"	"22.283"	"21.563"	"20.394"
"1952"	"20.128"	"21.046"	"22.037"	"23.342"	"23.841"	"22.814"	"22.255"	"22.255"	"22.091"	"21.717"	"21.443"	"20.776"
"1953"	"20.594"	"20.779"	"23.11"	"23.372"	"24.293"	"23.607"	"22.247"	"22.549"	"22.307"	"21.907"	"21.286"	"20.351"
"1954"	"20.304"	"20.847"	"21.729"	"23.142"	"23.985"	"23.024"	"21.873"	"21.824"	"22.158"	"21.15"	"20.778"	"20.595"
"1955"	"20.547"	"20.749"	"21.588"	"22.784"	"22.711"	"21.963"	"21.731"	"21.941"	"22.243"	"21.676"	"20.668"	"19.838"
"1956"	"19.689"	"20.466"	"21.945"	"22.885"	"22.4"	"21.939"	"21.374"	"22.15"	"21.743"	"21.027"	"21.013"	"20.22"
"1957"	"19.698"	"20.616"	"21.357"	"22.785"	"23.4"	"22.783"	"22.024"	"21.957"	"22.243"	"21.611"	"20.659"	"20.603"
"1958"	"20.33"	"20.83"	"22.113"	"23.035"	"22.918"	"22.742"	"22.106"	"21.74"	"21.959"	"21.267"	"21.352"	"21.045"
"1959"	"20.653"	"21.248"	"22.405"	"23.386"	"23.974"	"22.673"	"22.048"	"22.526"	"22.316"	"21.766"	"21.247"	"20.529"
"1960"	"20.653"	"20.865"	"21.921"	"22.843"	"22.901"	"22.907"	"22.332"	"22.409"	"21.941"	"21.56"	"20.645"	"20.811"
"1961"	"20.247"	"20.787"	"22.553"	"23.632"	"23.36"	"22.264"	"22.048"	"22.305"	"22.24"	"21.926"	"21.205"	"20.578"
"1962"	"20.052"	"20.765"	"21.793"	"23.067"	"23.117"	"23.098"	"22.256"	"22.154"	"22.24"	"21.384"	"21.094"	"20.677"
"1963"	"20.139"	"20.43"	"21.772"	"22.977"	"24.034"	"23.156"	"22.464"	"22.655"	"22.933"	"21.982"	"21.438"	"20.677"
"1964"	"19.936"	"21.313"	"22.586"	"23.982"	"24.199"	"23.156"	"22.114"	"22.149"	"22.056"	"21.757"	"20.86"	"20.226"
"1965"	"19.861"	"20.297"	"21.619"	"22.836"	"23.499"	"22.747"	"22.43"	"22.255"	"22.59"	"22.224"	"21.41"	"20.293"
"1966"	"20.629"	"21.447"	"22.303"	"23.334"	"23.518"	"22.39"	"22.062"	"22.59"	"21.993"	"21.527"	"21.36"	"20.635"
"1967"	"19.653"	"20.121"	"21.487"	"23.533"	"23.2"	"22.441"	"21.922"	"21.829"	"22.108"	"21.494"	"20.744"	"20.361"
"1968"	"19.24"	"20.038"	"21.679"	"22.878"	"23.283"	"22.439"	"21.223"	"21.967"	"22.074"	"21.907"	"20.97"	"20.311"
"1969"	"19.803"	"20.382"	"22.47"	"23.268"	"23.616"	"22.822"	"21.913"	"22.04"	"22.157"	"21.676"	"21.262"	"20.429"
"1970"	"20.072"	"20.646"	"22.143"	"23.048"	"23.417"	"22.812"	"22.086"	"22.055"	"22.141"	"21.782"	"21.119"	"19.685"
"1971"	"19.744"	"20.403"	"21.571"	"23.123"	"22.71"	"22.039"	"21.387"	"21.498"	"21.866"	"21.45"	"20.719"	"19.409"
