
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.41"	"5.93"	"6.27"	"6.05"	"5.67"	"5.01"	"4.9"	"5.04"	"5.16"	"4.95"	"4.68"	"4.8"
"1902"	"5.38"	"5.85"	"6.23"	"6.07"	"5.69"	"5.04"	"4.89"	"5.06"	"5.19"	"4.91"	"4.64"	"4.8"
"1903"	"5.38"	"5.91"	"6.27"	"6.09"	"5.67"	"5.03"	"4.91"	"5.02"	"5.16"	"4.92"	"4.67"	"4.8"
"1904"	"5.33"	"5.84"	"6.19"	"6.05"	"5.69"	"4.99"	"4.87"	"5"	"5.16"	"4.95"	"4.68"	"4.8"
"1905"	"5.32"	"5.87"	"6.29"	"6.06"	"5.65"	"5"	"4.95"	"5.04"	"5.2"	"4.94"	"4.69"	"4.8"
"1906"	"5.36"	"5.9"	"6.25"	"6.09"	"5.72"	"5.02"	"4.89"	"5"	"5.16"	"4.92"	"4.66"	"4.8"
"1907"	"5.34"	"5.87"	"6.26"	"6.04"	"5.67"	"5.01"	"4.91"	"4.98"	"5.16"	"4.92"	"4.67"	"4.8"
"1908"	"5.36"	"5.88"	"6.2"	"6.07"	"5.69"	"5.01"	"4.86"	"5"	"5.15"	"4.92"	"4.67"	"4.8"
"1909"	"5.32"	"5.84"	"6.25"	"6.07"	"5.67"	"5"	"4.86"	"4.98"	"5.12"	"4.91"	"4.68"	"4.8"
"1910"	"5.37"	"5.87"	"6.23"	"6.03"	"5.67"	"5"	"4.89"	"5"	"5.14"	"4.9"	"4.68"	"4.8"
"1911"	"5.35"	"5.84"	"6.23"	"6.05"	"5.69"	"4.99"	"4.87"	"5"	"5.18"	"4.92"	"4.68"	"4.83"
"1912"	"5.31"	"5.87"	"6.28"	"6.08"	"5.71"	"5"	"4.89"	"5.01"	"5.16"	"4.9"	"4.69"	"4.81"
"1913"	"5.33"	"5.86"	"6.25"	"6.07"	"5.71"	"5.04"	"4.89"	"5.01"	"5.16"	"4.92"	"4.67"	"4.81"
"1914"	"5.33"	"5.88"	"6.25"	"6.07"	"5.69"	"5.03"	"4.9"	"5"	"5.16"	"4.93"	"4.67"	"4.82"
"1915"	"5.37"	"5.89"	"6.23"	"6.05"	"5.67"	"5.03"	"4.89"	"5.05"	"5.16"	"4.92"	"4.69"	"4.83"
"1916"	"5.34"	"5.85"	"6.25"	"6.08"	"5.72"	"4.97"	"4.88"	"5.02"	"5.15"	"4.9"	"4.67"	"4.8"
"1917"	"5.33"	"5.85"	"6.2"	"6.04"	"5.67"	"4.97"	"4.89"	"5.05"	"5.16"	"4.89"	"4.67"	"4.8"
"1918"	"5.34"	"5.81"	"6.16"	"6.05"	"5.66"	"4.95"	"4.88"	"5.02"	"5.14"	"4.92"	"4.69"	"4.8"
"1919"	"5.36"	"5.93"	"6.24"	"6.06"	"5.71"	"5"	"4.89"	"5.01"	"5.16"	"4.92"	"4.65"	"4.8"
"1920"	"5.34"	"5.87"	"6.28"	"6.06"	"5.7"	"5"	"4.9"	"5.03"	"5.16"	"4.94"	"4.68"	"4.78"
"1921"	"5.36"	"5.87"	"6.26"	"6.05"	"5.68"	"5.04"	"4.91"	"5"	"5.15"	"4.93"	"4.68"	"4.8"
"1922"	"5.34"	"5.85"	"6.23"	"6.06"	"5.67"	"5"	"4.89"	"5"	"5.16"	"4.91"	"4.67"	"4.8"
"1923"	"5.32"	"5.84"	"6.22"	"6.07"	"5.69"	"5.02"	"4.89"	"5"	"5.15"	"4.92"	"4.68"	"4.82"
"1924"	"5.32"	"5.88"	"6.26"	"6.05"	"5.73"	"5.04"	"4.89"	"5.02"	"5.16"	"4.93"	"4.69"	"4.81"
"1925"	"5.33"	"5.86"	"6.23"	"6.07"	"5.69"	"5"	"4.89"	"5"	"5.16"	"4.93"	"4.68"	"4.79"
"1926"	"5.34"	"5.86"	"6.26"	"6.07"	"5.69"	"5.02"	"4.92"	"5.05"	"5.17"	"4.94"	"4.67"	"4.81"
"1927"	"5.36"	"5.89"	"6.27"	"6.08"	"5.68"	"4.99"	"4.86"	"5.02"	"5.16"	"4.92"	"4.68"	"4.82"
"1928"	"5.37"	"5.92"	"6.25"	"6.04"	"5.7"	"5.03"	"4.91"	"5"	"5.18"	"4.93"	"4.67"	"4.81"
"1929"	"5.36"	"5.89"	"6.28"	"6.02"	"5.67"	"4.99"	"4.89"	"5.02"	"5.16"	"4.92"	"4.68"	"4.81"
"1930"	"5.36"	"5.89"	"6.26"	"6.09"	"5.65"	"4.97"	"4.91"	"5.03"	"5.18"	"4.89"	"4.68"	"4.82"
"1931"	"5.39"	"5.93"	"6.29"	"6.06"	"5.75"	"5.09"	"4.98"	"5.03"	"5.2"	"5"	"4.75"	"4.8"
"1932"	"5.42"	"5.81"	"6.22"	"5.97"	"5.55"	"4.9"	"4.8"	"5.01"	"5.12"	"4.74"	"4.5"	"4.8"
"1933"	"5.36"	"5.86"	"6.26"	"6.06"	"5.72"	"4.99"	"4.94"	"5.04"	"5.16"	"4.88"	"4.67"	"4.84"
"1934"	"5.35"	"5.86"	"6.2"	"5.99"	"5.67"	"5"	"4.95"	"5.08"	"5.23"	"4.95"	"4.73"	"4.84"
"1935"	"5.32"	"5.84"	"6.21"	"6.02"	"5.68"	"5.03"	"4.9"	"5.02"	"5.15"	"4.92"	"4.7"	"4.8"
"1936"	"5.38"	"5.89"	"6.26"	"6.04"	"5.66"	"5"	"4.92"	"5.04"	"5.2"	"4.93"	"4.65"	"4.84"
"1937"	"5.37"	"5.89"	"6.26"	"6.02"	"5.78"	"5"	"4.82"	"5.09"	"5.25"	"4.92"	"4.69"	"4.82"
"1938"	"5.39"	"5.87"	"6.28"	"6.07"	"5.71"	"5.01"	"4.85"	"5.04"	"5.16"	"4.97"	"4.71"	"4.8"
"1939"	"5.34"	"5.85"	"6.23"	"6.03"	"5.65"	"5"	"4.89"	"5.02"	"5.16"	"4.96"	"4.64"	"4.86"
"1940"	"5.38"	"5.84"	"6.24"	"6.05"	"5.67"	"5.01"	"4.83"	"4.97"	"5.18"	"5"	"4.61"	"4.8"
"1941"	"5.36"	"5.85"	"6.19"	"6"	"5.66"	"4.96"	"4.9"	"5.04"	"5.12"	"4.88"	"4.65"	"4.84"
"1942"	"5.38"	"5.89"	"6.28"	"6.05"	"5.68"	"5.03"	"4.88"	"5.05"	"5.16"	"4.93"	"4.73"	"4.77"
"1943"	"5.34"	"5.89"	"6.26"	"6.03"	"5.62"	"4.9"	"4.84"	"5.09"	"5.15"	"4.9"	"4.61"	"4.82"
"1944"	"5.36"	"5.89"	"6.26"	"6.02"	"5.7"	"5.03"	"4.89"	"5.13"	"5.23"	"5.05"	"4.7"	"4.84"
"1945"	"5.37"	"5.87"	"6.28"	"6.04"	"5.64"	"5.11"	"4.9"	"5.06"	"5.2"	"5"	"4.65"	"4.84"
"1946"	"5.35"	"5.85"	"6.23"	"6.02"	"5.65"	"4.95"	"4.9"	"4.96"	"5.13"	"4.9"	"4.56"	"4.76"
"1947"	"5.33"	"5.84"	"6.19"	"5.95"	"5.71"	"5.06"	"4.86"	"5.04"	"5.15"	"4.9"	"4.73"	"4.81"
"1948"	"5.34"	"5.89"	"6.25"	"6.08"	"5.74"	"5"	"4.9"	"5.06"	"5.16"	"4.99"	"4.69"	"4.84"
"1949"	"5.4"	"5.89"	"6.27"	"6.09"	"5.67"	"4.94"	"4.85"	"5.04"	"5.17"	"4.93"	"4.73"	"4.89"
"1950"	"5.37"	"5.87"	"6.26"	"6.01"	"5.7"	"5.01"	"4.84"	"5.05"	"5.11"	"4.96"	"4.68"	"4.84"
"1951"	"5.34"	"5.81"	"6.26"	"6.03"	"5.72"	"5.04"	"4.89"	"5.01"	"5.22"	"4.99"	"4.67"	"4.89"
"1952"	"5.48"	"5.93"	"6.3"	"6.1"	"5.72"	"5.13"	"4.98"	"5.05"	"5.23"	"4.92"	"4.75"	"4.82"
"1953"	"5.37"	"5.89"	"6.3"	"6.09"	"5.74"	"5.12"	"4.94"	"5.09"	"5.23"	"4.96"	"4.75"	"4.86"
"1954"	"5.36"	"5.95"	"6.27"	"6.03"	"5.72"	"5.05"	"4.9"	"5.02"	"5.2"	"4.91"	"4.72"	"4.8"
"1955"	"5.35"	"5.89"	"6.24"	"6"	"5.61"	"4.76"	"4.85"	"4.99"	"5.14"	"4.89"	"4.65"	"4.82"
"1956"	"5.32"	"5.85"	"6.28"	"6.06"	"5.61"	"4.84"	"4.79"	"5"	"5.12"	"4.84"	"4.67"	"4.84"
"1957"	"5.34"	"5.87"	"6.24"	"6.04"	"5.59"	"4.89"	"4.8"	"4.98"	"5.16"	"4.84"	"4.62"	"4.77"
"1958"	"5.38"	"5.86"	"6.25"	"6.09"	"5.6"	"5.03"	"4.85"	"4.98"	"5.14"	"4.82"	"4.64"	"4.84"
"1959"	"5.39"	"5.93"	"6.34"	"6.1"	"5.74"	"4.94"	"4.8"	"5.04"	"5.16"	"4.87"	"4.68"	"4.82"
"1960"	"5.36"	"5.89"	"6.29"	"6.11"	"5.58"	"5.03"	"4.86"	"5.08"	"5.12"	"4.95"	"4.48"	"4.84"
"1961"	"5.31"	"5.81"	"6.11"	"6.1"	"5.64"	"4.87"	"4.79"	"4.98"	"5.18"	"4.97"	"4.68"	"4.81"
"1962"	"5.34"	"5.82"	"6.26"	"6.04"	"5.63"	"5.09"	"4.86"	"4.97"	"5.15"	"4.81"	"4.73"	"4.84"
"1963"	"5.29"	"5.9"	"6.23"	"6.03"	"5.7"	"5"	"4.93"	"5.04"	"5.23"	"4.94"	"4.64"	"4.83"
"1964"	"5.42"	"5.92"	"6.3"	"6.09"	"5.75"	"5.11"	"4.89"	"5.01"	"5.15"	"4.97"	"4.67"	"4.85"
"1965"	"5.37"	"5.85"	"6.25"	"6.04"	"5.66"	"5.09"	"5.02"	"5.04"	"5.19"	"4.98"	"4.7"	"4.76"
"1966"	"5.3"	"5.91"	"6.3"	"6.07"	"5.72"	"5.05"	"4.86"	"5.07"	"5.18"	"4.92"	"4.65"	"4.82"
"1967"	"5.38"	"5.96"	"6.26"	"6.15"	"5.65"	"4.97"	"4.9"	"5.02"	"5.16"	"4.89"	"4.75"	"4.8"
"1968"	"5.33"	"5.84"	"6.21"	"6.05"	"5.68"	"5.02"	"4.78"	"5.02"	"5.13"	"4.97"	"4.65"	"4.8"
"1969"	"5.37"	"5.84"	"6.29"	"6.08"	"5.7"	"5.06"	"4.91"	"5"	"5.19"	"4.92"	"4.71"	"4.76"
"1970"	"5.33"	"5.87"	"6.27"	"6.03"	"5.63"	"4.97"	"4.93"	"4.99"	"5.16"	"4.89"	"4.64"	"4.88"
"1971"	"5.28"	"5.89"	"6.25"	"6.12"	"5.7"	"4.92"	"4.9"	"5"	"5.15"	"4.94"	"4.78"	"4.77"
"1972"	"5.36"	"5.9"	"6.25"	"6.07"	"5.57"	"5.06"	"4.91"	"5.09"	"5.22"	"4.89"	"4.64"	"4.8"
"1973"	"5.44"	"5.93"	"6.28"	"6.09"	"5.78"	"4.97"	"4.91"	"4.97"	"5.16"	"4.89"	"4.72"	"4.83"
"1974"	"5.38"	"5.94"	"6.27"	"6.09"	"5.67"	"5.07"	"4.93"	"5"	"5.11"	"4.97"	"4.81"	"4.96"
"1975"	"5.38"	"5.89"	"6.26"	"6.1"	"5.69"	"4.91"	"4.87"	"4.97"	"5.11"	"4.84"	"4.64"	"4.86"
"1976"	"5.38"	"5.89"	"6.28"	"6.02"	"5.69"	"5.14"	"4.95"	"5.01"	"5.16"	"4.95"	"4.61"	"4.84"
