
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.819"	"23.162"	"24.605"	"27.568"	"28.567"	"27.743"	"27.133"	"26.892"	"26.865"	"26.883"	"26.071"	"23.46"
"1902"	"22.39"	"22.679"	"25.054"	"27.527"	"28.567"	"27.769"	"27.084"	"27.825"	"26.865"	"26.883"	"25.969"	"24.16"
"1903"	"22.593"	"23.196"	"24.313"	"27.569"	"28.517"	"27.743"	"27.183"	"26.892"	"26.865"	"26.883"	"25.516"	"23.259"
"1904"	"21.617"	"21.895"	"23.654"	"27.568"	"28.117"	"26.426"	"27.084"	"26.892"	"26.865"	"26.883"	"25.936"	"24.088"
"1905"	"22.593"	"23.162"	"24.678"	"27.093"	"28.567"	"27.82"	"28.198"	"26.892"	"26.891"	"26.883"	"26.071"	"23.192"
"1906"	"22.593"	"23.037"	"24.815"	"27.612"	"28.591"	"27.769"	"27.133"	"26.892"	"26.865"	"26.883"	"26.071"	"23.243"
"1907"	"22.593"	"23.346"	"25.054"	"27.311"	"28.525"	"27.769"	"27.084"	"26.151"	"26.865"	"26.883"	"26.071"	"23.375"
"1908"	"22.593"	"23.229"	"24.245"	"27.612"	"28.567"	"27.743"	"26.258"	"26.608"	"26.865"	"26.883"	"25.345"	"22.662"
"1909"	"21.643"	"23.346"	"25.054"	"27.553"	"28.567"	"27.762"	"25.81"	"26.533"	"25.875"	"26.926"	"25.885"	"23.543"
"1910"	"22.593"	"23.238"	"24.046"	"27.612"	"28.567"	"27.769"	"27.084"	"26.892"	"26.865"	"26.883"	"26.037"	"22.693"
"1911"	"22.593"	"22.46"	"25.054"	"27.568"	"28.567"	"26.699"	"27.133"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1912"	"21.659"	"23.295"	"25.054"	"27.611"	"28.525"	"27.743"	"27.133"	"26.892"	"26.865"	"26.883"	"26.071"	"23.443"
"1913"	"21.605"	"23.395"	"25.054"	"27.611"	"28.567"	"27.82"	"27.133"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1914"	"22.615"	"23.346"	"25.054"	"27.596"	"28.567"	"27.743"	"27.183"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1915"	"22.593"	"23.262"	"25.054"	"27.612"	"28.658"	"27.769"	"27.133"	"26.892"	"26.865"	"26.883"	"26.095"	"24.16"
"1916"	"22.004"	"23.162"	"24.471"	"27.569"	"28.591"	"27.769"	"27.084"	"26.892"	"26.865"	"26.934"	"26.071"	"22.942"
"1917"	"22.205"	"23.272"	"23.966"	"27.527"	"28.411"	"27.521"	"27.183"	"26.967"	"26.865"	"26.43"	"25.936"	"23.342"
"1918"	"22.243"	"21.97"	"23.995"	"27.596"	"26.801"	"26.605"	"28.585"	"26.848"	"26.25"	"26.883"	"26.071"	"24.16"
"1919"	"23.024"	"23.295"	"24.68"	"27.612"	"28.567"	"27.743"	"27.159"	"26.892"	"26.865"	"26.883"	"25.775"	"24.16"
"1920"	"22.593"	"23.262"	"25.054"	"27.568"	"28.567"	"27.812"	"27.084"	"26.892"	"26.891"	"26.926"	"25.917"	"22.686"
"1921"	"22.593"	"22.929"	"25.054"	"27.527"	"28.517"	"27.769"	"27.133"	"26.899"	"26.865"	"26.883"	"25.911"	"23.268"
"1922"	"22.593"	"22.87"	"25.054"	"27.612"	"28.591"	"27.712"	"27.084"	"26.967"	"26.865"	"26.883"	"26.069"	"22.736"
"1923"	"22.054"	"22.86"	"24.065"	"27.612"	"28.591"	"27.712"	"27.133"	"26.892"	"26.865"	"26.984"	"26.071"	"24.16"
"1924"	"22.144"	"23.346"	"25.054"	"27.568"	"29.448"	"27.454"	"27.133"	"26.892"	"26.865"	"26.883"	"25.78"	"23.126"
"1925"	"21.884"	"23.196"	"24.773"	"27.612"	"28.591"	"27.769"	"27.084"	"26.892"	"26.865"	"26.883"	"26.071"	"23.176"
"1926"	"22.593"	"23.295"	"25.054"	"27.568"	"28.517"	"27.769"	"27.133"	"26.892"	"26.865"	"26.883"	"25.97"	"24.16"
"1927"	"22.593"	"23.346"	"25.054"	"27.553"	"27.868"	"27.436"	"27.133"	"26.892"	"26.865"	"26.926"	"26.037"	"24.16"
"1928"	"22.593"	"23.346"	"24.773"	"27.612"	"28.559"	"27.769"	"27.183"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1929"	"22.593"	"23.338"	"24.946"	"26.913"	"28.567"	"27.454"	"27.084"	"26.892"	"26.865"	"26.883"	"26.071"	"23.976"
"1930"	"22.593"	"23.105"	"25.054"	"27.612"	"28.641"	"27.712"	"27.133"	"26.892"	"26.865"	"25.727"	"26.013"	"24.16"
"1931"	"22.643"	"23.346"	"25.054"	"27.553"	"28.591"	"27.743"	"27.133"	"26.892"	"26.865"	"26.883"	"26.071"	"24.136"
"1932"	"21.961"	"22.168"	"24.271"	"27.568"	"28.27"	"27.719"	"27.084"	"26.941"	"26.865"	"26.926"	"26.071"	"23.776"
"1933"	"22.593"	"23.295"	"24.823"	"27.612"	"26.84"	"27.719"	"27.159"	"26.892"	"26.865"	"26.839"	"26.071"	"24.002"
"1934"	"22.617"	"21.945"	"23.698"	"27.528"	"28.567"	"27.204"	"27.133"	"26.892"	"26.865"	"26.883"	"25.845"	"22.922"
"1935"	"22.593"	"23.262"	"25.054"	"27.52"	"28.517"	"27.712"	"27.133"	"26.941"	"26.865"	"26.883"	"25.504"	"24.019"
"1936"	"22.595"	"23.295"	"24.614"	"27.612"	"28.567"	"27.743"	"27.159"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1937"	"22.593"	"23.295"	"25.054"	"27.527"	"28.567"	"27.802"	"27.183"	"26.892"	"26.865"	"26.883"	"26.071"	"22.859"
"1938"	"22.593"	"23.346"	"25.054"	"27.527"	"28.567"	"27.743"	"27.183"	"26.892"	"26.865"	"26.298"	"25.877"	"24.16"
"1939"	"22.585"	"22.996"	"24.264"	"27.454"	"27.496"	"27.82"	"27.183"	"26.941"	"26.865"	"26.926"	"25.936"	"24.16"
"1940"	"21.96"	"23.362"	"24.727"	"27.53"	"28.591"	"27.769"	"27.183"	"26.899"	"27.779"	"26.934"	"26.071"	"24.16"
"1941"	"22.617"	"23.395"	"25.054"	"27.527"	"28.591"	"27.769"	"27.133"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1942"	"22.615"	"23.295"	"25.054"	"27.568"	"28.591"	"27.835"	"27.183"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1943"	"22.617"	"23.229"	"24.773"	"26.728"	"27.992"	"26.236"	"27.183"	"26.892"	"26.711"	"25.313"	"25.092"	"24.16"
"1944"	"22.593"	"23.113"	"24.046"	"26.961"	"28.567"	"27.82"	"27.133"	"26.892"	"26.683"	"26.883"	"26.071"	"24.088"
"1945"	"22.551"	"23.262"	"25.054"	"26.854"	"28.517"	"27.769"	"27.133"	"26.892"	"26.865"	"26.883"	"26.037"	"23.384"
"1946"	"21.386"	"23.262"	"25.054"	"27.568"	"28.567"	"27.769"	"27.084"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1947"	"22.593"	"23.262"	"25.054"	"27.274"	"28.517"	"27.736"	"27.133"	"26.892"	"26.865"	"26.883"	"25.97"	"24.019"
"1948"	"22.593"	"23.395"	"25.054"	"27.611"	"28.574"	"27.812"	"27.133"	"26.941"	"26.865"	"26.883"	"26.071"	"24.16"
"1949"	"22.585"	"23.139"	"25.054"	"27.527"	"28.567"	"27.743"	"27.133"	"26.892"	"26.865"	"26.883"	"26.037"	"23.95"
"1950"	"22.593"	"23.255"	"25.003"	"27.569"	"28.517"	"27.769"	"27.133"	"26.899"	"26.865"	"26.883"	"25.912"	"24.16"
"1951"	"22.593"	"22.197"	"25.054"	"27.612"	"28.567"	"27.553"	"27.183"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1952"	"22.593"	"23.346"	"25.054"	"27.568"	"28.591"	"27.812"	"27.183"	"26.941"	"26.865"	"26.883"	"25.838"	"24.16"
"1953"	"22.593"	"23.395"	"26.036"	"27.612"	"28.517"	"27.769"	"27.126"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1954"	"22.615"	"23.395"	"25.054"	"27.568"	"28.591"	"27.712"	"27.084"	"26.967"	"26.865"	"26.534"	"25.863"	"24.16"
"1955"	"22.593"	"23.346"	"25.054"	"27.612"	"26.868"	"27.011"	"27.133"	"27.109"	"26.865"	"26.883"	"25.788"	"23.734"
"1956"	"22.593"	"23.205"	"25.054"	"27.612"	"26.8"	"27.07"	"26.018"	"26.941"	"26.865"	"25.382"	"26.071"	"24.16"
"1957"	"22.593"	"23.346"	"23.622"	"26.479"	"28.567"	"27.743"	"27.133"	"26.899"	"26.865"	"26.883"	"26.071"	"24.16"
"1958"	"22.593"	"23.395"	"25.054"	"27.553"	"28.567"	"27.769"	"27.126"	"26.899"	"26.865"	"26.883"	"26.071"	"24.16"
"1959"	"22.694"	"23.295"	"25.054"	"27.568"	"28.517"	"27.769"	"27.183"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1960"	"22.593"	"23.362"	"25.054"	"27.553"	"28.559"	"27.743"	"27.183"	"26.891"	"26.865"	"26.883"	"26.071"	"24.16"
"1961"	"22.593"	"23.395"	"25.054"	"27.569"	"28.567"	"27.736"	"26.532"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1962"	"22.593"	"23.295"	"25.054"	"27.612"	"28.567"	"27.743"	"27.183"	"26.892"	"26.865"	"26.883"	"26.045"	"24.16"
"1963"	"22.593"	"23.062"	"25.054"	"27.111"	"28.517"	"27.769"	"27.133"	"26.892"	"26.865"	"26.984"	"26.071"	"24.16"
"1964"	"22.593"	"23.395"	"25.054"	"27.569"	"28.567"	"27.67"	"27.084"	"26.941"	"26.865"	"26.883"	"25.754"	"23.333"
"1965"	"22.593"	"23.395"	"25.054"	"27.569"	"28.567"	"27.769"	"27.084"	"26.941"	"26.865"	"26.883"	"26.071"	"23.05"
"1966"	"22.593"	"23.395"	"25.054"	"27.527"	"28.559"	"27.812"	"27.183"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1967"	"22.593"	"23.395"	"25.054"	"27.612"	"28.517"	"27.769"	"27.133"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1968"	"22.153"	"22.429"	"25.054"	"27.611"	"28.559"	"27.769"	"26.607"	"26.967"	"26.865"	"26.883"	"26.071"	"24.16"
"1969"	"22.593"	"23.346"	"25.054"	"27.569"	"28.517"	"27.769"	"27.133"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1970"	"22.692"	"23.295"	"24.703"	"27.553"	"28.567"	"27.769"	"27.183"	"26.892"	"26.865"	"26.883"	"26.037"	"22.76"
"1971"	"22.593"	"22.844"	"24.63"	"27.553"	"27.456"	"26.833"	"26.371"	"26.696"	"26.865"	"26.883"	"26.045"	"22.736"
"1972"	"21.917"	"23.043"	"23.882"	"27.612"	"27.084"	"27.712"	"27.183"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1973"	"22.593"	"24.393"	"25.054"	"27.612"	"28.567"	"27.769"	"27.898"	"26.899"	"26.865"	"26.883"	"25.936"	"24.136"
"1974"	"22.593"	"22.643"	"24.598"	"27.568"	"28.517"	"27.712"	"27.183"	"26.892"	"26.865"	"26.883"	"26.037"	"23.893"
"1975"	"22.593"	"23.395"	"25.054"	"27.527"	"28.567"	"26.759"	"27.091"	"26.892"	"26.865"	"26.883"	"25.914"	"24.025"
"1976"	"21.802"	"22.085"	"23.882"	"27.545"	"28.591"	"27.835"	"27.126"	"26.132"	"26.865"	"26.883"	"26.136"	"24.16"
"1977"	"22.593"	"23.295"	"25.506"	"27.568"	"28.567"	"27.743"	"27.133"	"26.967"	"26.865"	"26.883"	"26.071"	"24.16"
"1978"	"22.593"	"23.295"	"25.054"	"27.569"	"28.13"	"26.485"	"26.387"	"26.892"	"26.865"	"26.883"	"26.16"	"24.733"
"1979"	"22.593"	"23.661"	"25.054"	"27.612"	"28.567"	"27.769"	"27.133"	"27.681"	"26.493"	"26.883"	"26.095"	"24.65"
"1980"	"22.593"	"23.495"	"25.054"	"27.568"	"28.567"	"26.535"	"26.305"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1981"	"22.593"	"23.346"	"25.054"	"27.527"	"28.567"	"26.759"	"26.381"	"26.899"	"26.599"	"26.883"	"26.071"	"24.16"
"1982"	"22.593"	"23.402"	"25.054"	"27.527"	"28.567"	"27.712"	"27.183"	"27.058"	"26.865"	"27.286"	"26.316"	"24.16"
"1983"	"22.593"	"24.477"	"25.131"	"28.087"	"29.484"	"30.32"	"27.803"	"26.892"	"26.865"	"26.883"	"25.98"	"24.112"
"1984"	"22.593"	"23.461"	"25.306"	"27.611"	"29.137"	"27.835"	"27.084"	"28.023"	"26.865"	"26.883"	"26.071"	"24.16"
"1985"	"22.593"	"23.471"	"25.507"	"27.568"	"28.591"	"27.586"	"27.183"	"26.892"	"26.865"	"26.883"	"26.071"	"24.16"
"1986"	"22.615"	"23.295"	"25.054"	"27.542"	"28.567"	"27.769"	"28.318"	"26.892"	"26.865"	"26.883"	"26.071"	"25.288"
"1987"	"23.604"	"23.295"	"25.054"	"28.611"	"29.402"	"27.743"	"29.879"	"26.899"	"28.665"	"26.883"	"26.633"	"24.161"
"1988"	"23.384"	"24.07"	"26.855"	"27.612"	"29.41"	"27.579"	"27.133"	"26.892"	"26.865"	"28.248"	"26.071"	"24.16"
