
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"26.619"	"27.33"	"27.759"	"29.5"	"31.141"	"31.381"	"30.24"	"29.611"	"29.1"	"28.259"	"26.36"	"25.289"
"1902"	"25.579"	"25.43"	"27.829"	"30.13"	"31.482"	"31.381"	"30.211"	"29.671"	"29.03"	"27.43"	"26.36"	"25.789"
"1903"	"26.019"	"27.159"	"28.03"	"30.029"	"30.7"	"30.94"	"30.141"	"29.271"	"28.759"	"28.29"	"26.419"	"25.089"
"1904"	"25.219"	"25.559"	"27.43"	"30.23"	"30.8"	"30.911"	"29.94"	"29.44"	"29.6"	"28.259"	"26.819"	"24.959"
"1905"	"24.749"	"26.63"	"28.859"	"29.43"	"30.771"	"31.552"	"31.541"	"29.77"	"29.899"	"28.059"	"26.659"	"25.418"
"1906"	"25.89"	"27.53"	"27.79"	"30.6"	"31.71"	"30.911"	"30.712"	"28.87"	"29.33"	"27.93"	"26.23"	"25.589"
"1907"	"25.319"	"26.059"	"28.16"	"29.629"	"31.64"	"31.211"	"30.311"	"29.611"	"29.6"	"27.829"	"26.389"	"25.489"
"1908"	"25.519"	"25.831"	"27.46"	"30.83"	"31.411"	"31.251"	"30.11"	"29.44"	"28.329"	"27.829"	"25.89"	"24.86"
"1909"	"25.319"	"26.23"	"28.059"	"29.86"	"30.741"	"30.581"	"29.51"	"28.54"	"28.3"	"28.2"	"26.959"	"25.96"
"1910"	"25.519"	"26.03"	"27.229"	"29.671"	"31.64"	"30.811"	"29.811"	"28.77"	"28.729"	"27.86"	"26.119"	"24.959"
"1911"	"25.389"	"25.69"	"27.759"	"29.7"	"30.94"	"30.422"	"30.282"	"29.611"	"29.271"	"27.7"	"26.43"	"25.359"
"1912"	"24.72"	"26.83"	"28.659"	"30.13"	"31.611"	"31.251"	"30.411"	"29.671"	"29.07"	"27.93"	"26.79"	"25.19"
"1913"	"25.018"	"26.659"	"28.459"	"30.501"	"31.341"	"31.71"	"30.011"	"29.811"	"29.17"	"27.759"	"25.86"	"25.359"
"1914"	"25.219"	"26.23"	"28.13"	"29.959"	"31.241"	"31.482"	"30.18"	"29.07"	"28.7"	"27.36"	"26.26"	"25.629"
"1915"	"25.519"	"26.5"	"27.899"	"29.7"	"31.482"	"30.881"	"29.811"	"30.141"	"29.03"	"28.53"	"27.089"	"25.719"
"1916"	"25.12"	"26.529"	"27.86"	"30.4"	"31.07"	"30.381"	"29.51"	"29.241"	"28.67"	"27.86"	"26.69"	"24.83"
"1917"	"24.79"	"25.729"	"27.13"	"29.7"	"30.47"	"29.84"	"30.11"	"29.17"	"28.43"	"27.659"	"26.559"	"24.86"
"1918"	"24.889"	"25.03"	"26.729"	"29.6"	"30.47"	"29.851"	"30.051"	"29.741"	"28.641"	"28"	"26.33"	"25.33"
"1919"	"26.389"	"27.259"	"27.46"	"30.1"	"31.47"	"30.681"	"29.741"	"29.411"	"28.6"	"27.829"	"26.559"	"25.53"
