
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1902"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1903"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1904"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1905"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1906"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1907"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1908"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1909"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1910"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1911"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1912"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1913"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1914"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1915"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1916"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1917"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1918"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1919"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1920"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1921"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1922"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1923"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1924"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1925"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1926"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1927"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1928"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1929"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1930"	"33.243"	"28.244"	"29.543"	"40.743"	"52.044"	"69.158"	"76.3"	"70.387"	"64.157"	"61.657"	"54.157"	"44.157"
"1931"	"31.844"	"26.403"	"28.444"	"40.743"	"49.444"	"67.087"	"73.16"	"70.387"	"61.557"	"56.757"	"50.416"	"45.426"
"1932"	"30.432"	"30.514"	"31.043"	"45.795"	"57.714"	"73.568"	"80.381"	"71.527"	"66.487"	"70.056"	"62.968"	"44.157"
"1933"	"33.243"	"29.414"	"29.543"	"40.743"	"49.174"	"69.026"	"75"	"69.357"	"64.157"	"61.657"	"53.457"	"42.956"
"1934"	"35.114"	"27.543"	"29.543"	"43.055"	"52.044"	"69.158"	"73.8"	"67.927"	"61.686"	"60.987"	"50.647"	"41.287"
"1935"	"35.343"	"29.813"	"31.043"	"42.714"	"52.844"	"70.157"	"75.6"	"69.257"	"64.157"	"61.087"	"52.187"	"44.157"
"1936"	"33.243"	"28.815"	"28.573"	"42.554"	"54.173"	"68.556"	"75"	"69.228"	"63.087"	"61.657"	"54.927"	"44.157"
"1937"	"33.243"	"29.284"	"30.544"	"40.743"	"47.473"	"70.757"	"77.911"	"66.657"	"60.817"	"61.657"	"53.258"	"42.956"
"1938"	"31.774"	"29.414"	"29.543"	"39.544"	"50.873"	"69.158"	"77.57"	"69.056"	"64.157"	"59.357"	"50.397"	"44.157"
"1939"	"33.243"	"28.525"	"29.543"	"42.043"	"52.044"	"68.257"	"75.5"	"69.287"	"62.958"	"60.356"	"55.357"	"42.327"
"1940"	"30.673"	"29.184"	"29.543"	"40.743"	"52.044"	"69.828"	"80.581"	"71.657"	"64.157"	"60.657"	"58.897"	"45.356"
"1941"	"34.413"	"30.825"	"32.684"	"44.644"	"54.614"	"71.327"	"76.3"	"70.387"	"66.128"	"63.127"	"55.727"	"43.628"
"1942"	"31.844"	"28.244"	"29.543"	"40.743"	"51.844"	"68.986"	"77.07"	"69.456"	"63.487"	"61.657"	"50.746"	"47.768"
"1943"	"34.143"	"27.414"	"29.543"	"41.913"	"52.973"	"72.397"	"77.599"	"67.856"	"64.757"	"61.087"	"55.357"	"42.956"
"1944"	"33.243"	"28.984"	"29.543"	"41.443"	"50.473"	"68.157"	"76.23"	"66.557"	"61.557"	"57.827"	"54.457"	"43.157"
"1945"	"31.944"	"29.284"	"29.573"	"40.074"	"52.044"	"65.386"	"76.03"	"68.076"	"62.057"	"59.057"	"55.498"	"43.558"
"1946"	"31.844"	"28.244"	"29.543"	"40.743"	"52.144"	"71.898"	"76.3"	"72.727"	"65.287"	"62.856"	"59.897"	"47.327"
"1947"	"36.314"	"31.014"	"32.243"	"44.054"	"50.974"	"66.887"	"78.801"	"70.187"	"64.786"	"62.027"	"49.947"	"44.157"
"1948"	"34.444"	"28.244"	"29.543"	"39.943"	"49.643"	"69.298"	"75.63"	"67.886"	"64.157"	"58.156"	"54.157"	"43.057"
"1949"	"30.643"	"27.213"	"28.973"	"41.013"	"51.833"	"71.386"	"78.47"	"70.387"	"64.157"	"62.086"	"51.546"	"39.917"
"1950"	"31.844"	"28.343"	"29.573"	"42.043"	"52.044"	"69.757"	"78.341"	"68.616"	"65.287"	"59.057"	"53.787"	"42.616"
"1951"	"34.173"	"29.043"	"29.543"	"40.574"	"50.373"	"67.316"	"75"	"70.387"	"61.857"	"59.057"	"55.357"	"40.746"
"1952"	"27.203"	"27.344"	"28.544"	"40.684"	"50.473"	"63.675"	"73.8"	"69.158"	"61.057"	"60.856"	"49.176"	"44.157"
"1953"	"34.483"	"26.373"	"29.374"	"39.443"	"49.444"	"66.857"	"75"	"68.486"	"61.827"	"60.286"	"50.916"	"40.546"
"1954"	"33.614"	"25.973"	"28.674"	"40.474"	"51.243"	"69.828"	"75.53"	"69.056"	"63.327"	"60.786"	"49.306"	"44.157"
"1955"	"35.573"	"29.813"	"30.343"	"43.403"	"54.173"	"80.227"	"78.441"	"71.428"	"65.287"	"62.927"	"54.946"	"42.987"
"1956"	"34.444"	"29.374"	"28.803"	"42.043"	"54.243"	"78.089"	"79.541"	"71.557"	"66.487"	"64.297"	"55.197"	"42.956"
"1957"	"34.114"	"29.143"	"29.754"	"40.144"	"54.503"	"75.156"	"82.241"	"72.857"	"63.946"	"64.927"	"55.387"	"46.757"
"1958"	"33.773"	"31.014"	"31.043"	"41.703"	"55.155"	"67.868"	"79.87"	"72.857"	"64.757"	"65.298"	"56.937"	"44.127"
"1959"	"33.884"	"28.244"	"27.243"	"40.174"	"49.874"	"74.457"	"81.23"	"70.457"	"65.257"	"64.898"	"54.487"	"43.287"
"1960"	"34.444"	"27.963"	"29.414"	"39.074"	"55.304"	"67.527"	"78.801"	"69.228"	"66.487"	"60.528"	"63.316"	"43.527"
"1961"	"39.153"	"32.543"	"39.414"	"40.574"	"54.843"	"74.647"	"81.281"	"71.916"	"64.097"	"60.198"	"53.897"	"44.627"
"1962"	"34.562"	"31.774"	"29.543"	"42.144"	"53.714"	"66.979"	"78.73"	"72.857"	"65.287"	"67.806"	"50.257"	"43.597"
"1963"	"38.073"	"26.502"	"30.273"	"40.174"	"50.373"	"70.146"	"75.43"	"70.317"	"62.757"	"61.957"	"55.627"	"44.157"
"1964"	"29.633"	"26.033"	"28.643"	"40.284"	"50.373"	"66.016"	"76.93"	"70.387"	"64.687"	"58.668"	"53.598"	"40.286"
"1965"	"31.844"	"29.704"	"28.973"	"40.743"	"51.692"	"63.087"	"69.981"	"69.587"	"62.757"	"59.346"	"53.246"	"46.257"
"1966"	"35.573"	"28.244"	"28.744"	"40.044"	"50.144"	"66.457"	"77.599"	"69.087"	"63.146"	"58.946"	"55.469"	"44.686"
"1967"	"31.844"	"21.462"	"27.414"	"36.173"	"52.373"	"70.216"	"75"	"69.927"	"64.157"	"62.247"	"48.216"	"46.538"
"1968"	"34.314"	"28.283"	"30.573"	"40.743"	"50.373"	"68.886"	"80.49"	"68.997"	"64.276"	"59.057"	"55.357"	"43.987"
"1969"	"32.003"	"29.113"	"28.444"	"39.443"	"51.114"	"66.227"	"75"	"69.986"	"62.927"	"60.887"	"52.498"	"47.857"
"1970"	"34.444"	"29.284"	"29.284"	"42.043"	"54.173"	"71.498"	"75"	"71.657"	"64.356"	"62.528"	"57.565"	"38.076"
"1971"	"35.833"	"28.084"	"29.895"	"39.153"	"51.565"	"74.086"	"74.671"	"69.187"	"65.198"	"60.538"	"47.435"	"43.916"
