
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"23.138"	"23.518"	"23.819"	"25.69"	"26.83"	"26.93"	"25.96"	"25.33"	"25.089"	"24.72"	"23.19"	"22.278"
"1902"	"22.098"	"21.59"	"23.889"	"26.389"	"27.13"	"26.93"	"25.901"	"25.389"	"25.018"	"23.889"	"23.19"	"22.778"
"1903"	"22.538"	"23.349"	"24.019"	"26.219"	"26.419"	"26.489"	"25.831"	"25.06"	"24.72"	"24.749"	"23.279"	"22.079"
"1904"	"21.739"	"21.719"	"23.489"	"26.419"	"26.448"	"26.459"	"25.659"	"25.159"	"25.589"	"24.72"	"23.649"	"21.949"
"1905"	"21.268"	"22.79"	"24.919"	"25.62"	"26.419"	"27.17"	"27.259"	"25.559"	"25.89"	"24.519"	"23.518"	"22.408"
"1906"	"22.479"	"23.719"	"23.848"	"26.86"	"27.33"	"26.459"	"26.4"	"24.589"	"25.289"	"24.389"	"23.088"	"22.579"
"1907"	"21.908"	"22.219"	"24.219"	"25.89"	"27.33"	"26.83"	"26.03"	"25.33"	"25.589"	"24.29"	"23.219"	"22.479"
"1908"	"22.038"	"22.02"	"23.518"	"27.089"	"27.13"	"26.869"	"25.831"	"25.159"	"24.29"	"24.29"	"22.719"	"21.848"
"1909"	"21.908"	"22.419"	"24.049"	"26.119"	"26.389"	"26.2"	"25.229"	"24.33"	"24.29"	"24.66"	"23.789"	"22.948"
"1910"	"22.038"	"22.219"	"23.289"	"25.86"	"27.33"	"26.43"	"25.53"	"24.559"	"24.72"	"24.319"	"22.948"	"21.949"
"1911"	"21.978"	"21.879"	"23.819"	"25.89"	"26.659"	"26.041"	"25.971"	"25.33"	"25.229"	"24.159"	"23.26"	"22.348"
"1912"	"21.238"	"23.018"	"24.72"	"26.389"	"27.33"	"26.869"	"26.129"	"25.389"	"25.03"	"24.389"	"23.62"	"22.149"
"1913"	"21.538"	"22.849"	"24.519"	"26.69"	"26.989"	"27.33"	"25.729"	"25.53"	"25.159"	"24.219"	"22.689"	"22.348"
"1914"	"21.739"	"22.419"	"24.189"	"26.219"	"26.889"	"27.1"	"25.901"	"24.86"	"24.66"	"23.819"	"23.088"	"22.619"
"1915"	"22.038"	"22.66"	"23.96"	"25.89"	"27.13"	"26.43"	"25.53"	"25.86"	"25.018"	"24.989"	"23.948"	"22.708"
"1916"	"21.637"	"22.719"	"23.918"	"26.659"	"26.69"	"25.93"	"25.229"	"25.03"	"24.66"	"24.319"	"23.518"	"21.789"
"1917"	"21.379"	"21.918"	"23.19"	"25.89"	"26.189"	"25.46"	"25.831"	"24.889"	"24.389"	"24.119"	"23.419"	"21.848"
"1918"	"21.479"	"21.219"	"22.79"	"25.86"	"26.189"	"25.401"	"25.77"	"25.53"	"24.6"	"24.459"	"23.159"	"22.289"
"1919"	"22.979"	"23.448"	"23.518"	"26.36"	"27.189"	"26.3"	"25.46"	"25.13"	"24.589"	"24.29"	"23.419"	"22.52"
"1920"	"22.038"	"23.018"	"24.319"	"26.189"	"26.989"	"26.93"	"26.6"	"25.559"	"25.43"	"24.79"	"23.289"	"21.848"
"1921"	"22.319"	"22.278"	"24.219"	"26.248"	"28.03"	"27.33"	"25.559"	"25.33"	"24.959"	"24.149"	"22.948"	"22.149"
"1922"	"21.908"	"21.918"	"23.76"	"26.159"	"26.69"	"26.9"	"26.129"	"25.53"	"25.089"	"24.019"	"23.448"	"21.778"
"1923"	"21.238"	"22.348"	"23.848"	"26.448"	"26.83"	"27.1"	"26.2"	"25.53"	"25.089"	"24.389"	"23.518"	"22.219"
"1924"	"21.608"	"22.649"	"24.079"	"26.659"	"27.919"	"27.2"	"26.059"	"25.53"	"24.72"	"24.72"	"23.448"	"21.949"
"1925"	"21.208"	"22.02"	"23.719"	"26.72"	"26.749"	"26.729"	"25.831"	"24.889"	"25.089"	"24.449"	"23.119"	"22.049"
"1926"	"22.038"	"22.419"	"24.519"	"26.69"	"26.889"	"26.9"	"25.971"	"25.389"	"25.018"	"24.519"	"22.689"	"22.379"
"1927"	"22.008"	"22.79"	"24.489"	"26.03"	"26.6"	"26.3"	"26.159"	"25.53"	"24.86"	"24.79"	"23.378"	"22.579"
"1928"	"22.479"	"23.148"	"23.549"	"26.36"	"27.33"	"26.9"	"25.901"	"25.19"	"25.359"	"24.619"	"23.19"	"22.549"
"1929"	"22.038"	"22.45"	"23.749"	"25.359"	"26.69"	"26.37"	"26.2"	"25.06"	"24.86"	"24.419"	"23.088"	"22.219"
"1930"	"21.739"	"22.778"	"24.049"	"25.919"	"25.89"	"25.989"	"26.63"	"25.33"	"24.959"	"23.69"	"23.279"	"22.649"
"1931"	"22.038"	"22.649"	"24.019"	"26.389"	"27.189"	"26.93"	"25.96"	"25.589"	"25.018"	"24.889"	"23.219"	"22.149"
"1932"	"21.668"	"22.52"	"23.889"	"25.89"	"26.189"	"26.4"	"26.03"	"24.86"	"25.089"	"24.089"	"23.518"	"22.149"
"1933"	"22.008"	"22.219"	"23.69"	"25.69"	"26.019"	"26.43"	"26.26"	"25.089"	"25.159"	"24.019"	"23.419"	"22.379"
"1934"	"22.008"	"21.349"	"23.289"	"26.089"	"26.889"	"26.63"	"26.059"	"25.389"	"25.46"	"24.519"	"23.378"	"21.978"
"1935"	"21.739"	"22.149"	"23.69"	"26.559"	"27.659"	"26.959"	"26.03"	"25.06"	"25.018"	"24.419"	"23.219"	"22.479"
"1936"	"22.538"	"23.219"	"23.948"	"26.588"	"26.919"	"26.129"	"26.33"	"25.719"	"25.219"	"24.519"	"23.518"	"22.948"
"1937"	"22.038"	"23.088"	"23.859"	"25.69"	"27.189"	"26.93"	"25.831"	"25.589"	"25.389"	"24.219"	"23.349"	"22.309"
"1938"	"22.438"	"22.79"	"24.489"	"25.89"	"27.39"	"26.26"	"25.901"	"25.089"	"24.948"	"24.559"	"23.219"	"22.219"
"1939"	"21.538"	"21.649"	"23.518"	"25.559"	"26.4"	"26.67"	"25.901"	"25.53"	"25.159"	"24.619"	"22.948"	"22.579"
"1940"	"21.238"	"22.02"	"24.76"	"25.919"	"26.919"	"26.729"	"26.26"	"25.559"	"26.079"	"25.179"	"23.448"	"22.649"
"1941"	"22.479"	"22.849"	"24.019"	"26.559"	"27.519"	"26.799"	"26.6"	"26.1"	"25.089"	"24.519"	"23.419"	"22.708"
"1942"	"22.268"	"22.849"	"23.819"	"25.89"	"27.189"	"26.959"	"26.4"	"25.559"	"25.46"	"24.819"	"23.778"	"22.45"
"1943"	"22.239"	"22.149"	"23.789"	"25.589"	"25.89"	"26.33"	"25.89"	"25.389"	"25.089"	"23.419"	"23.448"	"22.479"
"1944"	"22.239"	"23.018"	"23.319"	"25.589"	"26.69"	"26.63"	"26.089"	"25.719"	"25.519"	"25.479"	"23.62"	"22.278"
"1945"	"21.908"	"22.79"	"23.889"	"25.53"	"26.459"	"26.959"	"26.26"	"25.389"	"24.948"	"24.649"	"22.719"	"21.949"
"1946"	"21.508"	"22.02"	"23.96"	"25.69"	"26.69"	"26.459"	"26.33"	"25.389"	"24.819"	"24.29"	"23.719"	"22.778"
"1947"	"22.509"	"22.45"	"23.76"	"26.189"	"26.919"	"27.1"	"26.089"	"25.589"	"24.72"	"23.918"	"23.448"	"22.348"
"1948"	"22.038"	"22.59"	"23.789"	"26.059"	"27.13"	"26.77"	"26.159"	"25.62"	"25.389"	"24.72"	"23.918"	"22.149"
"1949"	"21.538"	"22.289"	"24.29"	"26.659"	"26.189"	"26.019"	"25.69"	"25.418"	"24.819"	"24.889"	"23.219"	"22.079"
"1950"	"21.409"	"22.59"	"24.049"	"25.86"	"27.13"	"26.7"	"25.729"	"24.83"	"24.72"	"24.119"	"23.378"	"22.379"
"1951"	"21.708"	"21.419"	"24.389"	"25.831"	"26.889"	"26.63"	"25.729"	"25.659"	"25.289"	"24.989"	"23.789"	"22.579"
"1952"	"22.038"	"23.018"	"24.29"	"26.63"	"26.69"	"26.729"	"26.129"	"25.389"	"25.359"	"24.749"	"23.948"	"23.008"
"1953"	"22.938"	"22.878"	"25.55"	"26.919"	"28.13"	"27.33"	"26.33"	"25.86"	"25.219"	"24.319"	"23.448"	"22.278"
"1954"	"22.038"	"23.018"	"24.019"	"26.36"	"27.33"	"26.93"	"25.26"	"24.66"	"25.018"	"23.819"	"22.778"	"22.278"
"1955"	"22.038"	"22.289"	"23.69"	"25.69"	"25.62"	"25.831"	"25.06"	"24.219"	"24.589"	"24.489"	"22.948"	"21.578"
"1956"	"21.508"	"21.719"	"23.76"	"26.03"	"26.3"	"25.46"	"24.83"	"24.889"	"24.29"	"23.489"	"22.919"	"21.778"
"1957"	"21.449"	"22.219"	"23.018"	"25.359"	"26.489"	"26.129"	"25.26"	"24.36"	"24.959"	"23.989"	"22.86"	"22.45"
"1958"	"22.379"	"22.79"	"24.459"	"26.03"	"26.129"	"26.869"	"25.699"	"24.36"	"24.93"	"24.089"	"23.518"	"22.979"
"1959"	"22.638"	"23.419"	"24.26"	"26.389"	"26.989"	"26.159"	"25.489"	"25.559"	"25.219"	"24.519"	"23.088"	"22.278"
"1960"	"22.538"	"22.45"	"23.989"	"26.129"	"26.489"	"26.729"	"25.76"	"25.86"	"24.72"	"24.36"	"22.619"	"22.778"
"1961"	"22.379"	"22.79"	"24.889"	"26.69"	"26.889"	"25.831"	"25.26"	"24.919"	"24.948"	"24.72"	"23.018"	"21.978"
"1962"	"21.637"	"22.719"	"24.019"	"26.36"	"26.389"	"25.989"	"25.76"	"25.089"	"25.018"	"23.819"	"23.19"	"22.649"
"1963"	"21.538"	"22.278"	"23.989"	"25.559"	"26.989"	"26.959"	"26.23"	"25.62"	"25.749"	"24.819"	"23.349"	"22.579"
"1964"	"22.038"	"23.518"	"25.018"	"27.06"	"27.829"	"27.13"	"25.901"	"25.06"	"25.149"	"24.989"	"23.049"	"22.509"
"1965"	"22.268"	"22.719"	"24.29"	"25.69"	"26.989"	"26.7"	"26.059"	"24.889"	"25.519"	"24.66"	"23.448"	"22.649"
"1966"	"22.608"	"23.349"	"24.959"	"26.36"	"27.13"	"25.8"	"25.76"	"25.389"	"24.589"	"24.019"	"24.019"	"22.649"
"1967"	"22.008"	"22.219"	"23.989"	"26.559"	"26.659"	"25.901"	"25.69"	"24.889"	"25.018"	"23.848"	"22.52"	"22.419"
"1968"	"20.949"	"22.16"	"23.96"	"25.86"	"26.459"	"26.6"	"25.699"	"25.6"	"25.089"	"24.519"	"23.018"	"22.348"
"1969"	"21.708"	"22.23"	"24.76"	"26.33"	"26.989"	"26.959"	"25.96"	"25.159"	"25.589"	"24.319"	"23.659"	"22.219"
"1970"	"22.008"	"23.018"	"24.889"	"26.529"	"27.13"	"26.659"	"25.831"	"25.089"	"25.018"	"24.649"	"23.119"	"21.279"
"1971"	"21.608"	"22.79"	"23.989"	"26.36"	"26.83"	"25.831"	"25.19"	"25.03"	"24.73"	"23.589"	"23.088"	"21.349"
"1972"	"21.479"	"22.289"	"23.459"	"26.529"	"25.69"	"26.459"	"26.7"	"25.8"	"25.359"	"24.459"	"23.589"	"23.649"
"1973"	"22.479"	"23.419"	"24.29"	"27.03"	"26.63"	"26.799"	"26.77"	"25.089"	"25.229"	"24.489"	"23.088"	"21.62"
"1974"	"21.038"	"21.778"	"23.078"	"26.69"	"26.489"	"26.43"	"25.33"	"25.089"	"24.519"	"24.008"	"24.049"	"21.838"
"1975"	"21.668"	"23.289"	"24.459"	"26.83"	"27.33"	"26.67"	"25.19"	"25.249"	"24.389"	"24.449"	"22.807"	"21.778"
"1976"	"21.409"	"21.649"	"23.83"	"26.059"	"27.33"	"26.799"	"26.159"	"24.119"	"25.519"	"24.72"	"24.089"	"23.049"
"1977"	"21.567"	"23.219"	"24.519"	"26.69"	"26.659"	"26.159"	"25.831"	"24.86"	"25.519"	"24.219"	"23.578"	"23.008"
"1978"	"22.509"	"23.448"	"24.049"	"26.659"	"27.489"	"26.63"	"25.33"	"25.159"	"25.149"	"25.018"	"24.419"	"22.979"
"1979"	"22.638"	"24.089"	"24.86"	"26.889"	"27.189"	"26.659"	"26.059"	"26.3"	"23.878"	"24.449"	"23.518"	"23.719"
"1980"	"22.638"	"23.088"	"24.69"	"26.69"	"27.33"	"27.43"	"26.489"	"25.418"	"24.72"	"24.449"	"23.378"	"23.078"
"1981"	"22.239"	"21.879"	"24.819"	"26.889"	"26.448"	"25.93"	"25.89"	"25.12"	"24.889"	"24.549"	"23.448"	"22.079"
"1982"	"22.098"	"22.79"	"24.889"	"26.86"	"27.189"	"27.43"	"26.459"	"26.83"	"26.149"	"25.418"	"24.29"	"22.979"
"1983"	"22.408"	"24.089"	"25.26"	"27.06"	"27.919"	"27.73"	"26.9"	"25.89"	"25.319"	"25.418"	"24.019"	"22.849"
"1984"	"22.678"	"22.79"	"24.189"	"26.63"	"27.189"	"26.43"	"25.26"	"25.659"	"24.86"	"25.12"	"23.549"	"22.649"
"1985"	"22.538"	"23.018"	"24.989"	"27.659"	"27.489"	"26.4"	"25.589"	"25.389"	"25.018"	"25.018"	"22.948"	"23.008"
