
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.89"	"5.52"	"5.99"	"5.93"	"6.22"	"6.06"	"5.83"	"5.87"	"5.69"	"5.07"	"4.54"	"4.32"
"1902"	"4.84"	"5.44"	"5.93"	"5.95"	"6.27"	"6.07"	"5.84"	"5.88"	"5.71"	"5.04"	"4.51"	"4.32"
"1903"	"4.82"	"5.49"	"6"	"5.96"	"6.23"	"6.02"	"5.83"	"5.85"	"5.67"	"5.05"	"4.55"	"4.34"
"1904"	"4.83"	"5.46"	"5.9"	"5.98"	"6.26"	"6.02"	"5.8"	"5.83"	"5.7"	"5.07"	"4.56"	"4.35"
"1905"	"4.79"	"5.43"	"6.01"	"5.99"	"6.22"	"5.99"	"5.88"	"5.88"	"5.73"	"5.07"	"4.53"	"4.33"
"1906"	"4.8"	"5.51"	"5.97"	"5.95"	"6.31"	"6.03"	"5.86"	"5.85"	"5.69"	"5.07"	"4.52"	"4.34"
"1907"	"4.83"	"5.45"	"5.97"	"5.93"	"6.25"	"6.04"	"5.83"	"5.87"	"5.72"	"5.06"	"4.53"	"4.34"
"1908"	"4.84"	"5.46"	"5.89"	"5.96"	"6.27"	"6.04"	"5.82"	"5.87"	"5.67"	"5.04"	"4.53"	"4.31"
"1909"	"4.8"	"5.45"	"5.98"	"5.96"	"6.26"	"6"	"5.8"	"5.81"	"5.62"	"5.03"	"4.54"	"4.36"
"1910"	"4.84"	"5.47"	"5.93"	"5.92"	"6.26"	"6.04"	"5.81"	"5.82"	"5.66"	"5.05"	"4.52"	"4.31"
"1911"	"4.82"	"5.45"	"5.94"	"5.97"	"6.24"	"5.98"	"5.81"	"5.87"	"5.71"	"5.05"	"4.53"	"4.35"
"1912"	"4.79"	"5.43"	"5.98"	"5.96"	"6.25"	"6.04"	"5.82"	"5.89"	"5.7"	"5.04"	"4.55"	"4.36"
"1913"	"4.79"	"5.45"	"5.97"	"5.97"	"6.24"	"6.07"	"5.82"	"5.87"	"5.7"	"5.06"	"4.51"	"4.32"
"1914"	"4.83"	"5.45"	"5.96"	"5.96"	"6.25"	"6.04"	"5.84"	"5.84"	"5.69"	"5.04"	"4.5"	"4.33"
"1915"	"4.82"	"5.48"	"5.97"	"5.95"	"6.27"	"6.06"	"5.77"	"5.89"	"5.69"	"5.05"	"4.55"	"4.37"
"1916"	"4.83"	"5.46"	"5.96"	"5.96"	"6.29"	"6.02"	"5.77"	"5.83"	"5.67"	"5.04"	"4.55"	"4.36"
"1917"	"4.8"	"5.45"	"5.92"	"5.96"	"6.24"	"5.95"	"5.79"	"5.87"	"5.66"	"5.03"	"4.53"	"4.34"
"1918"	"4.82"	"5.43"	"5.88"	"5.92"	"6.24"	"5.98"	"5.77"	"5.87"	"5.68"	"5.05"	"4.52"	"4.31"
"1919"	"4.81"	"5.52"	"5.96"	"5.93"	"6.26"	"6.04"	"5.79"	"5.85"	"5.68"	"5.04"	"4.52"	"4.35"
"1920"	"4.81"	"5.47"	"5.98"	"5.96"	"6.24"	"6.01"	"5.84"	"5.9"	"5.71"	"5.08"	"4.56"	"4.31"
"1921"	"4.82"	"5.45"	"5.96"	"5.92"	"6.25"	"6.09"	"5.82"	"5.87"	"5.7"	"5.05"	"4.52"	"4.32"
"1922"	"4.82"	"5.45"	"5.93"	"5.94"	"6.26"	"6.01"	"5.83"	"5.87"	"5.7"	"5.04"	"4.54"	"4.35"
"1923"	"4.79"	"5.44"	"5.94"	"5.98"	"6.25"	"6.04"	"5.83"	"5.9"	"5.71"	"5.05"	"4.53"	"4.36"
"1924"	"4.82"	"5.45"	"5.98"	"5.93"	"6.27"	"6.07"	"5.83"	"5.88"	"5.68"	"5.05"	"4.55"	"4.35"
"1925"	"4.81"	"5.44"	"5.92"	"5.96"	"6.27"	"6.03"	"5.83"	"5.86"	"5.68"	"5.06"	"4.54"	"4.31"
"1926"	"4.81"	"5.45"	"5.96"	"5.97"	"6.27"	"6.06"	"5.83"	"5.89"	"5.69"	"5.07"	"4.53"	"4.31"
"1927"	"4.81"	"5.47"	"5.98"	"5.96"	"6.24"	"5.99"	"5.81"	"5.87"	"5.69"	"5.06"	"4.53"	"4.33"
"1928"	"4.81"	"5.51"	"5.98"	"5.92"	"6.28"	"6.05"	"5.82"	"5.84"	"5.71"	"5.07"	"4.53"	"4.34"
"1929"	"4.82"	"5.47"	"5.97"	"5.95"	"6.24"	"6"	"5.82"	"5.87"	"5.68"	"5.05"	"4.52"	"4.34"
"1930"	"4.82"	"5.45"	"5.99"	"5.99"	"6.23"	"5.97"	"5.83"	"5.9"	"5.7"	"5.03"	"4.51"	"4.35"
"1931"	"4.84"	"5.5"	"6"	"5.95"	"6.31"	"6.1"	"5.87"	"5.89"	"5.73"	"5.16"	"4.63"	"4.31"
"1932"	"4.87"	"5.42"	"5.93"	"5.88"	"6.12"	"5.94"	"5.76"	"5.84"	"5.66"	"4.88"	"4.37"	"4.34"
"1933"	"4.82"	"5.44"	"5.96"	"5.96"	"6.25"	"5.97"	"5.86"	"5.89"	"5.71"	"5.04"	"4.53"	"4.36"
"1934"	"4.81"	"5.45"	"5.9"	"5.88"	"6.27"	"6.01"	"5.86"	"5.92"	"5.76"	"5.08"	"4.6"	"4.39"
"1935"	"4.79"	"5.42"	"5.89"	"5.88"	"6.25"	"6.06"	"5.85"	"5.87"	"5.68"	"5.06"	"4.57"	"4.32"
"1936"	"4.81"	"5.49"	"5.98"	"5.92"	"6.23"	"6"	"5.84"	"5.9"	"5.73"	"5.05"	"4.51"	"4.35"
"1937"	"4.81"	"5.47"	"5.96"	"5.92"	"6.31"	"6.03"	"5.79"	"5.94"	"5.77"	"5.05"	"4.55"	"4.35"
"1938"	"4.84"	"5.46"	"5.98"	"5.98"	"6.3"	"6.01"	"5.8"	"5.9"	"5.68"	"5.1"	"4.62"	"4.35"
