
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"26.198"	"25.238"	"27.108"	"30.679"	"32.078"	"29.738"	"29.038"	"29.949"	"30.079"	"29.478"	"27.638"	"25.738"
"1902"	"24.698"	"24.037"	"27.407"	"30.579"	"32.078"	"29.738"	"29.038"	"30.149"	"30.079"	"29.378"	"27.438"	"26.068"
"1903"	"24.698"	"25.238"	"27.078"	"30.679"	"32.078"	"29.738"	"29.038"	"29.919"	"30.079"	"29.407"	"27.067"	"25.938"
"1904"	"24.397"	"24.067"	"26.009"	"30.679"	"30.727"	"29.738"	"29.038"	"29.949"	"30.079"	"29.378"	"27.539"	"25.908"
"1905"	"24.698"	"24.839"	"27.137"	"29.998"	"31.648"	"29.738"	"30.038"	"29.949"	"30.99"	"29.378"	"27.708"	"25.938"
"1906"	"24.698"	"25.238"	"26.638"	"30.649"	"32.078"	"29.798"	"29.038"	"29.949"	"30.079"	"29.478"	"27.738"	"25.938"
"1907"	"24.698"	"25.238"	"27.407"	"29.608"	"32.078"	"29.738"	"29.038"	"29.618"	"30.079"	"29.478"	"27.708"	"26.038"
"1908"	"24.698"	"24.067"	"26.898"	"30.649"	"32.078"	"29.738"	"28.908"	"29.949"	"30.079"	"29.378"	"27.267"	"26.038"
"1909"	"24.327"	"25.238"	"27.407"	"30.679"	"32.078"	"29.738"	"28.978"	"29.889"	"29.519"	"29.478"	"27.638"	"26.068"
"1910"	"24.698"	"24.938"	"26.138"	"30.579"	"32.078"	"29.738"	"29.038"	"29.949"	"30.079"	"29.478"	"27.167"	"25.508"
"1911"	"24.698"	"24.527"	"27.407"	"30.679"	"32.078"	"29.478"	"29.038"	"29.949"	"30.079"	"29.478"	"27.738"	"26.068"
"1912"	"23.967"	"25.238"	"27.407"	"30.579"	"32.078"	"29.738"	"29.038"	"29.949"	"30.079"	"29.378"	"27.539"	"26.038"
"1913"	"23.897"	"25.238"	"27.407"	"30.679"	"32.078"	"29.738"	"29.038"	"30.448"	"30.079"	"29.378"	"27.738"	"26.068"
"1914"	"24.698"	"25.238"	"27.407"	"30.679"	"32.078"	"29.738"	"29.038"	"29.949"	"30.079"	"29.378"	"27.738"	"26.068"
"1915"	"24.698"	"25.167"	"27.407"	"30.679"	"32.078"	"29.738"	"29.038"	"29.949"	"30.079"	"29.478"	"27.908"	"26.068"
"1916"	"24.397"	"25.238"	"26.538"	"30.579"	"32.078"	"29.738"	"29.038"	"29.949"	"30.079"	"29.478"	"27.738"	"24.808"
"1917"	"23.868"	"24.228"	"26.009"	"30.649"	"31.938"	"28.527"	"29.038"	"29.949"	"29.638"	"29.378"	"27.368"	"25.838"
"1918"	"24.268"	"23.908"	"26.009"	"30.649"	"30.279"	"29.378"	"29.228"	"29.949"	"28.819"	"29.478"	"27.738"	"26.068"
"1919"	"25.798"	"25.238"	"26.439"	"30.579"	"32.078"	"29.738"	"29.038"	"29.949"	"30.079"	"29.378"	"27.638"	"26.068"
"1920"	"24.698"	"25.038"	"28.308"	"30.649"	"32.078"	"29.738"	"29.638"	"29.949"	"30.949"	"29.378"	"27.738"	"25.808"
"1921"	"24.698"	"24.298"	"27.407"	"30.679"	"32.078"	"29.738"	"29.038"	"29.949"	"30.079"	"29.319"	"27.427"	"25.609"
"1922"	"24.698"	"24.027"	"27.407"	"30.579"	"31.989"	"29.738"	"29.038"	"29.949"	"30.079"	"29.378"	"27.738"	"24.568"
"1923"	"23.927"	"24.667"	"26.009"	"30.579"	"32.078"	"29.738"	"29.038"	"30.819"	"30.079"	"29.378"	"27.738"	"26.068"
"1924"	"23.897"	"25.238"	"27.108"	"30.679"	"32.078"	"29.208"	"29.038"	"29.949"	"30.079"	"29.378"	"27.337"	"25.579"
"1925"	"23.768"	"24.357"	"26.439"	"30.679"	"31.938"	"29.738"	"29.038"	"29.949"	"30.079"	"29.378"	"27.738"	"25.838"
"1926"	"24.698"	"25.238"	"27.407"	"30.579"	"32.078"	"29.738"	"29.038"	"29.949"	"30.079"	"29.478"	"27.638"	"26.068"
"1927"	"24.698"	"25.238"	"27.407"	"30.679"	"31.33"	"29.708"	"29.038"	"29.949"	"30.079"	"29.378"	"27.738"	"26.068"
