
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.1622"	"2.6431"	"1.1647"	"1.136"	"1.8746"	"1.266"	"1.6854"	"4.0016"	"6.465"	"5.6628"	"10.45"	"5.0006"
"1902"	"4.6153"	"2.3521"	"1.2165"	"0.2297"	"2.2832"	"2.2237"	"3.2352"	"4.1893"	"5.0328"	"11.0933"	"10.1424"	"6.7188"
"1903"	"1.9005"	"1.8252"	"0.2"	"0.2595"	"4.3926"	"2.1712"	"3.1229"	"5.4325"	"7.3937"	"7.2797"	"10.1645"	"8.4311"
"1904"	"2.4665"	"0.0595"	"0.2"	"0.2595"	"2.9889"	"1.8892"	"5.5522"	"2.1364"	"3.5342"	"6.9882"	"3.7797"	"5.0254"
"1905"	"1.6122"	"0.2108"	"1.1333"	"3.4642"	"3.0453"	"1.0962"	"3.2995"	"5.0977"	"3.6791"	"10.5157"	"7.695"	"1.8505"
"1906"	"3.0127"	"1.2295"	"1.4498"	"1.0437"	"1.0565"	"2.2136"	"3.7326"	"6.0313"	"4.3264"	"8.2001"	"11.6027"	"10.0607"
"1907"	"1.0487"	"0.4108"	"0.3487"	"3.7491"	"1.9129"	"2.3431"	"3.4235"	"4.4024"	"5.7952"	"8.8022"	"10.2843"	"5.0945"
"1908"	"1.7757"	"3.0588"	"1.1279"	"1.0437"	"1.7436"	"1.1548"	"3.1234"	"4.2624"	"6.0485"	"11.3841"	"5.6759"	"3.5017"
"1909"	"3.793"	"0.9939"	"0.3487"	"2.4828"	"3.7834"	"2.5122"	"2.0805"	"8.0013"	"7.696"	"5.9577"	"5.7921"	"3.0514"
"1910"	"0.8189"	"2.7307"	"0.2"	"1.6171"	"1.164"	"2.4145"	"4.6476"	"6.5346"	"5.1622"	"10.2271"	"8.2654"	"1.1171"
"1911"	"0.5"	"0"	"0.2"	"1.0437"	"1.7209"	"1.7615"	"2.6959"	"3.2505"	"6.192"	"7.0982"	"8.9587"	"7.3907"
"1912"	"1.653"	"0"	"0.2"	"1.0437"	"1.7287"	"3.1504"	"1.8842"	"5.5939"	"6.4378"	"9.9812"	"10.8283"	"1.4073"
"1913"	"0.7324"	"0.0595"	"0.2"	"1.0437"	"2.7319"	"1.5007"	"4.3651"	"4.0794"	"6.9492"	"11.2017"	"12.1201"	"7.4342"
"1914"	"1.1319"	"1.1789"	"0.4676"	"3.3884"	"1.6552"	"1.6781"	"2.4845"	"4.7571"	"6.8754"	"10.8921"	"8.8385"	"8.1925"
"1915"	"3.0549"	"2.566"	"1.3646"	"2.0322"	"2.2379"	"2.0004"	"3.847"	"5.4677"	"5.1104"	"4.1422"	"9.6003"	"4.2925"
"1916"	"0.2"	"1.406"	"0.4676"	"1.1954"	"2.2698"	"1.8071"	"5.5751"	"5.0426"	"4.1024"	"9.8449"	"10.1261"	"4.3195"
"1917"	"1.5838"	"1.7031"	"0.6703"	"0.2595"	"2.2219"	"3.5777"	"5.0276"	"6.9812"	"5.7996"	"5.0456"	"9.24"	"5.2065"
"1918"	"4.4922"	"2.2849"	"1.0367"	"0.2297"	"3.1724"	"2.7003"	"2.5073"	"2.1867"	"3.3496"	"4.1948"	"13.3335"	"6.7806"
"1919"	"1.3974"	"0.0892"	"1.1795"	"1.0437"	"2.984"	"2.5083"	"4.2332"	"2.8707"	"5.7521"	"7.735"	"11.5499"	"6.9373"
"1920"	"4.0574"	"0"	"0.2595"	"1.5226"	"1.4733"	"1.233"	"2.1562"	"4.8985"	"5.7193"	"7.1641"	"13.6749"	"1.9022"
"1921"	"5.5779"	"0"	"0.2"	"1.6877"	"1.0001"	"2.989"	"3.9917"	"5.9234"	"4.493"	"10.4732"	"6.4051"	"4.4658"
"1922"	"4.5621"	"1.7975"	"0.2"	"1.0943"	"2.344"	"2.5556"	"2.4459"	"4.1864"	"4.1502"	"9.6636"	"13.1484"	"4.4763"
