
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"25.89"	"26.893"	"27.79"	"29.781"	"29.051"	"27.993"	"27.278"	"27.348"	"27.787"	"27.116"	"25.756"	"24.144"
"1902"	"24.696"	"25.365"	"28.249"	"29.821"	"29.597"	"28.574"	"27.375"	"27.968"	"27.053"	"26.454"	"25.58"	"25.104"
"1903"	"25.282"	"26.655"	"28.624"	"30.096"	"29.417"	"28.352"	"27.315"	"27.147"	"27.014"	"26.73"	"25.028"	"23.765"
"1904"	"24.03"	"25.194"	"27.632"	"29.803"	"28.766"	"27.11"	"26.601"	"27.03"	"27.461"	"27.016"	"25.449"	"24.004"
"1905"	"24.581"	"26.589"	"28.533"	"29.243"	"29.347"	"28.281"	"27.875"	"27.622"	"27.586"	"26.896"	"25.834"	"24.441"
"1906"	"25.603"	"27.151"	"27.989"	"30.855"	"30.381"	"28.227"	"27.337"	"27.022"	"26.779"	"26.717"	"25.668"	"24.666"
"1907"	"24.543"	"26.193"	"28.172"	"29.096"	"29.287"	"27.847"	"27.214"	"26.591"	"27.552"	"26.976"	"25.709"	"24.679"
"1908"	"24.857"	"25.732"	"27.511"	"30.478"	"29.195"	"28.19"	"26.584"	"27.03"	"27.138"	"26.976"	"25.408"	"24.125"
"1909"	"24.764"	"26.189"	"28.432"	"29.65"	"28.826"	"27.974"	"26.635"	"26.981"	"26.615"	"26.863"	"26.138"	"25.262"
"1910"	"24.89"	"25.913"	"28.091"	"29.876"	"29.921"	"28.035"	"27.174"	"26.721"	"26.439"	"26.516"	"24.921"	"24.006"
"1911"	"24.703"	"25.033"	"27.931"	"29.642"	"29.138"	"27.566"	"26.73"	"27.056"	"27.738"	"26.562"	"25.794"	"24.726"
"1912"	"24.189"	"26.936"	"28.785"	"30.308"	"30.267"	"27.968"	"27.048"	"27.23"	"27.238"	"26.516"	"25.549"	"23.991"
"1913"	"23.968"	"26.368"	"28.493"	"30.408"	"29.938"	"28.309"	"26.748"	"27.176"	"27.659"	"26.607"	"25.394"	"24.96"
"1914"	"24.23"	"26.514"	"28.531"	"29.92"	"29.786"	"28.795"	"27.086"	"27.069"	"27.551"	"26.627"	"25.694"	"25.147"
"1915"	"25.049"	"26.628"	"28.031"	"29.854"	"29.693"	"28.345"	"27.413"	"28.004"	"27.512"	"27.325"	"26.069"	"24.352"
"1916"	"24.13"	"26.314"	"28.51"	"30.416"	"29.425"	"27.195"	"27.23"	"26.947"	"26.746"	"26.623"	"25.504"	"23.751"
"1917"	"23.853"	"25.266"	"27.356"	"29.556"	"28.764"	"27.179"	"27.592"	"27.314"	"26.891"	"26.103"	"25.717"	"24.133"
"1918"	"24.09"	"24.615"	"26.85"	"29.468"	"28.286"	"27.385"	"27.46"	"27.343"	"27.059"	"27.361"	"26.314"	"24.726"
"1919"	"25.665"	"26.976"	"28.097"	"30.402"	"29.387"	"27.76"	"27.161"	"27.051"	"27.238"	"26.901"	"25.638"	"24.825"
"1920"	"24.53"	"26.514"	"28.723"	"29.796"	"29.786"	"28.235"	"27.369"	"27.392"	"27.361"	"27.091"	"25.717"	"24.025"
"1921"	"25.224"	"26.046"	"28.624"	"29.457"	"30.108"	"28.383"	"27.253"	"27.359"	"26.84"	"26.742"	"25.212"	"24.112"
"1922"	"24.956"	"25.633"	"28.345"	"29.862"	"29.2"	"28.021"	"27.076"	"27.291"	"27.207"	"26.541"	"25.67"	"23.765"
"1923"	"23.861"	"25.555"	"27.359"	"29.574"	"29.273"	"28.381"	"26.684"	"27.112"	"27.04"	"26.763"	"26.033"	"24.65"
"1924"	"24.602"	"26.514"	"28.189"	"30.43"	"30.415"	"28.097"	"27.176"	"27.431"	"27.177"	"26.904"	"25.475"	"24.004"
"1925"	"24.641"	"25.794"	"27.872"	"30.369"	"28.826"	"28.135"	"27.161"	"27.244"	"27.538"	"26.695"	"25.234"	"24.066"
"1926"	"24.982"	"26.114"	"28.619"	"29.783"	"29.985"	"28.782"	"28.012"	"27.669"	"27.292"	"26.842"	"25.419"	"24.779"
"1927"	"25.242"	"26.628"	"28.879"	"30.214"	"29.381"	"27.881"	"26.983"	"27.543"	"27.292"	"26.703"	"25.374"	"24.804"
"1928"	"25.181"	"26.441"	"27.824"	"30.055"	"30.185"	"28.381"	"27.299"	"27.258"	"27.799"	"26.77"	"25.381"	"24.291"
"1929"	"25.231"	"26.267"	"27.889"	"28.855"	"29.172"	"27.781"	"27.361"	"27.69"	"27.626"	"26.717"	"25.472"	"24.764"
"1930"	"24.995"	"26.155"	"28.11"	"29.816"	"28.664"	"28.174"	"27.501"	"27.269"	"27.491"	"26.479"	"25.612"	"24.905"
