
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1902"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1903"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1904"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1905"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1906"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1907"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1908"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1909"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1910"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1911"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1912"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1913"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1914"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1915"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1916"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1917"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1918"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1919"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1920"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1921"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1922"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1923"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1924"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
"1925"	"30.441"	"26.971"	"28.429"	"40.771"	"50.93"	"71.5"	"78.799"	"71.762"	"63.8"	"61.667"	"52.77"	"40.866"
