
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.02"	"4.7"	"5.32"	"5.64"	"5.43"	"4.92"	"4.75"	"4.77"	"4.81"	"4.27"	"3.73"	"3.48"
"1902"	"3.91"	"4.54"	"5.37"	"5.64"	"5.48"	"4.97"	"4.75"	"4.83"	"4.73"	"4.22"	"3.72"	"3.56"
"1903"	"3.96"	"4.68"	"5.44"	"5.68"	"5.46"	"4.95"	"4.75"	"4.75"	"4.72"	"4.24"	"3.69"	"3.46"
"1904"	"3.86"	"4.52"	"5.31"	"5.64"	"5.39"	"4.82"	"4.67"	"4.74"	"4.78"	"4.27"	"3.71"	"3.46"
"1905"	"3.9"	"4.68"	"5.42"	"5.57"	"5.45"	"4.94"	"4.79"	"4.79"	"4.78"	"4.26"	"3.74"	"3.5"
"1906"	"3.99"	"4.73"	"5.34"	"5.77"	"5.57"	"4.94"	"4.76"	"4.74"	"4.71"	"4.23"	"3.74"	"3.53"
"1907"	"3.89"	"4.63"	"5.36"	"5.56"	"5.45"	"4.89"	"4.75"	"4.67"	"4.77"	"4.26"	"3.73"	"3.53"
"1908"	"3.93"	"4.57"	"5.3"	"5.73"	"5.44"	"4.93"	"4.66"	"4.74"	"4.74"	"4.26"	"3.72"	"3.48"
"1909"	"3.91"	"4.62"	"5.4"	"5.63"	"5.4"	"4.89"	"4.68"	"4.74"	"4.67"	"4.26"	"3.79"	"3.58"
"1910"	"3.94"	"4.6"	"5.36"	"5.65"	"5.53"	"4.91"	"4.74"	"4.7"	"4.67"	"4.22"	"3.68"	"3.47"
"1911"	"3.91"	"4.5"	"5.34"	"5.63"	"5.44"	"4.87"	"4.68"	"4.74"	"4.82"	"4.22"	"3.74"	"3.54"
"1912"	"3.86"	"4.7"	"5.44"	"5.7"	"5.56"	"4.91"	"4.72"	"4.75"	"4.75"	"4.22"	"3.73"	"3.46"
"1913"	"3.84"	"4.64"	"5.41"	"5.71"	"5.54"	"4.94"	"4.68"	"4.75"	"4.79"	"4.23"	"3.71"	"3.55"
"1914"	"3.87"	"4.65"	"5.41"	"5.66"	"5.5"	"5"	"4.72"	"4.74"	"4.8"	"4.23"	"3.74"	"3.56"
"1915"	"3.93"	"4.69"	"5.34"	"5.65"	"5.49"	"4.95"	"4.76"	"4.83"	"4.79"	"4.3"	"3.79"	"3.49"
"1916"	"3.86"	"4.63"	"5.41"	"5.71"	"5.46"	"4.83"	"4.74"	"4.73"	"4.7"	"4.23"	"3.71"	"3.45"
