
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"31.138"	"32.562"	"33.659"	"35.243"	"34.149"	"32.426"	"31.543"	"31.633"	"32.288"	"31.397"	"30.036"	"28.685"
"1902"	"29.945"	"31.034"	"34.119"	"35.297"	"34.69"	"33.007"	"31.64"	"32.2"	"31.608"	"30.736"	"29.861"	"29.645"
"1903"	"30.53"	"32.323"	"34.493"	"35.517"	"34.522"	"32.785"	"31.579"	"31.434"	"31.569"	"31.012"	"29.309"	"28.306"
"1904"	"29.279"	"30.863"	"33.501"	"35.279"	"33.859"	"31.533"	"30.866"	"31.316"	"32.016"	"31.297"	"29.73"	"28.545"
"1905"	"29.83"	"32.259"	"34.403"	"34.717"	"34.452"	"32.715"	"32.14"	"31.909"	"32.141"	"31.175"	"30.115"	"28.981"
"1906"	"30.851"	"32.821"	"33.86"	"36.33"	"35.466"	"32.652"	"31.602"	"31.308"	"31.335"	"30.996"	"29.95"	"29.207"
"1907"	"29.792"	"31.864"	"34.042"	"34.517"	"34.393"	"32.28"	"31.479"	"30.878"	"32.107"	"31.256"	"29.989"	"29.22"
"1908"	"30.105"	"31.401"	"33.38"	"35.953"	"34.287"	"32.622"	"30.848"	"31.316"	"31.693"	"31.256"	"29.69"	"28.666"
"1909"	"30.012"	"31.859"	"34.302"	"35.124"	"33.931"	"32.406"	"30.9"	"31.268"	"31.172"	"31.144"	"30.417"	"29.802"
"1910"	"30.138"	"31.576"	"33.961"	"35.352"	"35.02"	"32.468"	"31.439"	"31.008"	"30.995"	"30.797"	"29.202"	"28.547"
"1911"	"29.952"	"30.703"	"33.801"	"35.063"	"34.244"	"31.991"	"30.995"	"31.341"	"32.281"	"30.843"	"30.074"	"29.266"
"1912"	"29.439"	"32.604"	"34.629"	"35.771"	"35.373"	"32.4"	"31.313"	"31.517"	"31.793"	"30.797"	"29.83"	"28.531"
"1913"	"29.218"	"32.038"	"34.362"	"35.883"	"35.045"	"32.742"	"31.012"	"31.463"	"32.201"	"30.889"	"29.674"	"29.501"
"1914"	"29.479"	"32.184"	"34.4"	"35.383"	"34.891"	"33.227"	"31.351"	"31.355"	"32.107"	"30.907"	"29.975"	"29.687"
"1915"	"30.297"	"32.297"	"33.902"	"35.331"	"34.798"	"32.778"	"31.678"	"32.29"	"32.068"	"31.604"	"30.35"	"28.893"
"1916"	"29.379"	"31.984"	"34.38"	"35.891"	"34.53"	"31.627"	"31.496"	"31.233"	"31.301"	"30.905"	"29.784"	"28.291"
"1917"	"29.103"	"30.935"	"33.226"	"35.03"	"33.87"	"31.611"	"31.857"	"31.6"	"31.446"	"30.383"	"29.997"	"28.674"
"1918"	"29.338"	"30.284"	"32.719"	"34.943"	"33.393"	"31.817"	"31.724"	"31.629"	"31.614"	"31.642"	"30.595"	"29.266"
"1919"	"30.913"	"32.645"	"33.968"	"35.877"	"34.492"	"32.193"	"31.426"	"31.338"	"31.793"	"31.182"	"29.918"	"29.366"
"1920"	"29.779"	"32.184"	"34.567"	"35.271"	"34.891"	"32.668"	"31.635"	"31.678"	"31.916"	"31.371"	"29.997"	"28.566"
"1921"	"30.472"	"31.708"	"34.493"	"34.919"	"35.201"	"32.817"	"31.517"	"31.645"	"31.395"	"31.022"	"29.493"	"28.653"
"1922"	"30.204"	"31.302"	"34.215"	"35.339"	"34.305"	"32.454"	"31.341"	"31.578"	"31.762"	"30.822"	"29.95"	"28.306"
"1923"	"29.109"	"31.224"	"33.228"	"34.996"	"34.377"	"32.814"	"30.949"	"31.399"	"31.595"	"31.043"	"30.314"	"29.191"
"1924"	"29.851"	"32.184"	"34.034"	"35.904"	"35.52"	"32.521"	"31.441"	"31.716"	"31.733"	"31.183"	"29.755"	"28.545"
"1925"	"29.89"	"31.463"	"33.742"	"35.832"	"33.931"	"32.56"	"31.426"	"31.53"	"32.094"	"30.975"	"29.514"	"28.607"
"1926"	"30.23"	"31.784"	"34.488"	"35.257"	"35.07"	"33.214"	"32.277"	"31.955"	"31.847"	"31.122"	"29.699"	"29.319"
"1927"	"30.49"	"32.297"	"34.748"	"35.637"	"34.466"	"32.314"	"31.249"	"31.83"	"31.847"	"30.983"	"29.655"	"29.345"
"1928"	"30.429"	"32.104"	"33.694"	"35.53"	"35.291"	"32.814"	"31.565"	"31.544"	"32.288"	"31.05"	"29.661"	"28.832"
"1929"	"30.479"	"31.938"	"33.759"	"34.33"	"34.278"	"32.214"	"31.627"	"31.975"	"32.168"	"30.996"	"29.753"	"29.305"
