
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"20.675"	"21.224"	"22.006"	"24.358"	"23.944"	"23.594"	"23.093"	"23.128"	"23.27"	"22.836"	"21.553"	"19.678"
"1902"	"19.535"	"19.702"	"22.466"	"24.399"	"24.491"	"24.187"	"23.188"	"23.689"	"22.589"	"22.174"	"21.379"	"20.639"
"1903"	"20.12"	"20.985"	"22.816"	"24.621"	"24.333"	"23.966"	"23.128"	"22.936"	"22.55"	"22.451"	"20.772"	"19.251"
"1904"	"18.861"	"19.531"	"21.823"	"24.382"	"23.66"	"22.702"	"22.389"	"22.819"	"22.944"	"22.736"	"21.247"	"19.555"
"1905"	"19.412"	"20.92"	"22.725"	"23.82"	"24.253"	"23.895"	"23.689"	"23.411"	"23.123"	"22.614"	"21.631"	"19.992"
"1906"	"20.441"	"21.489"	"22.206"	"25.435"	"25.275"	"23.832"	"23.152"	"22.811"	"22.263"	"22.435"	"21.412"	"20.2"
"1907"	"19.373"	"20.524"	"22.364"	"23.62"	"24.189"	"23.46"	"23.029"	"22.38"	"23.09"	"22.696"	"21.506"	"20.2"
"1908"	"19.641"	"20.062"	"21.727"	"25.057"	"24.097"	"23.803"	"22.397"	"22.819"	"22.674"	"22.696"	"21.153"	"19.646"
"1909"	"19.603"	"20.528"	"22.623"	"24.227"	"23.727"	"23.587"	"22.424"	"22.771"	"22.153"	"22.582"	"21.882"	"20.742"
"1910"	"19.675"	"20.245"	"22.283"	"24.455"	"24.815"	"23.648"	"22.988"	"22.497"	"21.976"	"22.235"	"20.665"	"19.557"
"1911"	"19.541"	"19.371"	"22.123"	"24.18"	"24.032"	"23.173"	"22.544"	"22.844"	"23.182"	"22.282"	"21.591"	"20.277"
"1912"	"19.028"	"21.267"	"22.977"	"24.887"	"25.175"	"23.569"	"22.836"	"22.997"	"22.75"	"22.235"	"21.294"	"19.542"
"1913"	"18.808"	"20.698"	"22.685"	"24.988"	"24.832"	"23.922"	"22.561"	"22.944"	"23.182"	"22.328"	"21.192"	"20.507"
