
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.75"	"6.45"	"7.01"	"7"	"6.74"	"5.88"	"5.58"	"5.68"	"5.88"	"5.42"	"5.09"	"5.07"
"1902"	"5.65"	"6.33"	"6.99"	"7"	"6.74"	"5.91"	"5.58"	"5.75"	"5.88"	"5.39"	"5.05"	"5.08"
"1903"	"5.68"	"6.39"	"7.04"	"7.05"	"6.74"	"5.9"	"5.59"	"5.7"	"5.85"	"5.41"	"5.09"	"5.06"
"1904"	"5.62"	"6.33"	"6.96"	"7.02"	"6.74"	"5.85"	"5.53"	"5.66"	"5.87"	"5.42"	"5.08"	"5.06"
"1905"	"5.62"	"6.38"	"7.05"	"6.99"	"6.72"	"5.89"	"5.6"	"5.73"	"5.88"	"5.4"	"5.08"	"5.06"
"1906"	"5.65"	"6.44"	"6.99"	"7.02"	"6.82"	"5.91"	"5.59"	"5.71"	"5.83"	"5.39"	"5.08"	"5.09"
"1907"	"5.64"	"6.37"	"7.04"	"6.99"	"6.73"	"5.88"	"5.59"	"5.66"	"5.86"	"5.41"	"5.08"	"5.09"
"1908"	"5.68"	"6.37"	"6.94"	"7.03"	"6.75"	"5.9"	"5.55"	"5.67"	"5.85"	"5.4"	"5.09"	"5.06"
"1909"	"5.64"	"6.37"	"7.03"	"7.03"	"6.72"	"5.89"	"5.56"	"5.69"	"5.81"	"5.38"	"5.09"	"5.13"
"1910"	"5.69"	"6.37"	"7"	"6.99"	"6.78"	"5.9"	"5.58"	"5.69"	"5.81"	"5.39"	"5.07"	"5.03"
"1911"	"5.66"	"6.33"	"6.97"	"7"	"6.74"	"5.87"	"5.55"	"5.66"	"5.91"	"5.4"	"5.07"	"5.1"
"1912"	"5.61"	"6.37"	"7.04"	"7.03"	"6.81"	"5.91"	"5.57"	"5.7"	"5.87"	"5.39"	"5.09"	"5.07"
"1913"	"5.6"	"6.34"	"7.01"	"7.04"	"6.78"	"5.93"	"5.56"	"5.67"	"5.88"	"5.4"	"5.04"	"5.1"
"1914"	"5.62"	"6.36"	"7.03"	"7.02"	"6.74"	"5.95"	"5.59"	"5.68"	"5.89"	"5.4"	"5.08"	"5.09"
"1915"	"5.66"	"6.4"	"7.01"	"6.99"	"6.76"	"5.91"	"5.57"	"5.75"	"5.9"	"5.42"	"5.12"	"5.1"
"1916"	"5.62"	"6.35"	"7.01"	"7.05"	"6.8"	"5.85"	"5.55"	"5.7"	"5.83"	"5.39"	"5.08"	"5.06"
"1917"	"5.61"	"6.33"	"6.95"	"6.99"	"6.74"	"5.82"	"5.57"	"5.72"	"5.87"	"5.35"	"5.07"	"5.08"
"1918"	"5.64"	"6.32"	"6.92"	"6.99"	"6.72"	"5.82"	"5.57"	"5.71"	"5.85"	"5.4"	"5.11"	"5.07"
"1919"	"5.67"	"6.43"	"7.01"	"7.04"	"6.78"	"5.88"	"5.58"	"5.68"	"5.86"	"5.4"	"5.08"	"5.1"
"1920"	"5.64"	"6.37"	"7.04"	"7.01"	"6.75"	"5.9"	"5.58"	"5.71"	"5.88"	"5.41"	"5.09"	"5.04"
"1921"	"5.65"	"6.37"	"7.04"	"6.98"	"6.75"	"5.92"	"5.58"	"5.71"	"5.87"	"5.4"	"5.07"	"5.05"
"1922"	"5.66"	"6.34"	"7"	"7.04"	"6.74"	"5.89"	"5.57"	"5.7"	"5.86"	"5.39"	"5.08"	"5.08"
"1923"	"5.62"	"6.34"	"6.95"	"6.99"	"6.73"	"5.91"	"5.57"	"5.67"	"5.85"	"5.39"	"5.08"	"5.1"
"1924"	"5.63"	"6.38"	"7.01"	"7"	"6.81"	"5.91"	"5.58"	"5.71"	"5.86"	"5.4"	"5.08"	"5.06"
"1925"	"5.64"	"6.37"	"6.96"	"7.04"	"6.74"	"5.88"	"5.58"	"5.69"	"5.89"	"5.41"	"5.07"	"5.03"
"1926"	"5.64"	"6.37"	"7.04"	"7"	"6.75"	"5.91"	"5.64"	"5.75"	"5.87"	"5.41"	"5.06"	"5.08"
"1927"	"5.66"	"6.39"	"7.04"	"7.05"	"6.76"	"5.89"	"5.55"	"5.71"	"5.87"	"5.4"	"5.06"	"5.08"
"1928"	"5.66"	"6.41"	"6.98"	"6.99"	"6.78"	"5.94"	"5.58"	"5.69"	"5.89"	"5.41"	"5.07"	"5.06"
"1929"	"5.66"	"6.39"	"7.03"	"6.97"	"6.72"	"5.87"	"5.56"	"5.72"	"5.88"	"5.41"	"5.08"	"5.07"
"1930"	"5.66"	"6.38"	"7.01"	"7.04"	"6.72"	"5.87"	"5.59"	"5.71"	"5.9"	"5.4"	"5.07"	"5.08"
"1931"	"5.69"	"6.41"	"7.06"	"7.03"	"6.85"	"5.98"	"5.67"	"5.75"	"5.91"	"5.51"	"5.17"	"5.06"
"1932"	"5.69"	"6.3"	"6.95"	"6.92"	"6.63"	"5.78"	"5.46"	"5.68"	"5.81"	"5.19"	"4.88"	"5.07"
