
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"8.018"	"14.153"	"9.289"	"63.107"	"110.527"	"67.979"	"65.981"	"109.234"	"161.671"	"106.805"	"163.126"	"29.759"
"1902"	"19.163"	"11.277"	"28.323"	"54.027"	"150.043"	"106.848"	"112.919"	"107.135"	"73.516"	"255.305"	"69.946"	"132.596"
"1903"	"0.905"	"1.372"	"0.158"	"16.669"	"184.148"	"125.994"	"63.223"	"149.392"	"193"	"150.238"	"216.129"	"59.502"
"1904"	"11.097"	"0"	"0.158"	"45.928"	"165.713"	"72.406"	"127.506"	"40.489"	"81.992"	"105.477"	"11.703"	"10.464"
"1905"	"0.496"	"12.652"	"10.282"	"75.188"	"83.109"	"88.086"	"43.002"	"88.9"	"63.281"	"169.767"	"43.259"	"0.782"
"1906"	"21.282"	"13.309"	"13.218"	"4.281"	"66.858"	"94.08"	"50.723"	"197.147"	"46.056"	"185.959"	"78.847"	"60.509"
"1907"	"8.026"	"2.047"	"15.041"	"107"	"55.981"	"65.593"	"88.159"	"61.758"	"112.705"	"122.887"	"141.555"	"35.613"
"1908"	"4.91"	"48.355"	"20.891"	"67.304"	"91.879"	"79.524"	"73.418"	"39.483"	"143.355"	"162.872"	"8.467"	"1.486"
"1909"	"28.792"	"15.539"	"0.158"	"108.231"	"128.806"	"52.379"	"59.212"	"176.357"	"88.216"	"238.043"	"26.877"	"4.229"
"1910"	"2"	"41.474"	"0.158"	"24.693"	"54.705"	"42.933"	"224.088"	"148.986"	"21.868"	"255.737"	"133.831"	"0.579"
"1911"	"0.572"	"5.933"	"40.518"	"50.902"	"86.394"	"104.895"	"91.53"	"27.344"	"80.938"	"175.542"	"93.316"	"45.384"
"1912"	"0.236"	"1.029"	"9.497"	"11.566"	"74.669"	"85.689"	"49.083"	"61.258"	"142.254"	"181.039"	"160.956"	"3.339"
"1913"	"0"	"0"	"0.35"	"36.192"	"70.741"	"35.002"	"107.031"	"61.516"	"79.165"	"169.952"	"75.279"	"35.55"
"1914"	"0.641"	"0"	"0.158"	"33.121"	"60.407"	"64.387"	"83.445"	"101.819"	"99.394"	"219.5"	"79.091"	"36.653"
"1915"	"5.293"	"7.834"	"42.863"	"53.09"	"81.679"	"113.669"	"127.939"	"108.975"	"129.627"	"146.884"	"174.945"	"14.864"
"1916"	"0"	"0.635"	"0.158"	"13.446"	"79.879"	"37.912"	"216.591"	"158.042"	"97.849"	"294.984"	"124.374"	"19.818"
