
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.244"	"22.125"	"23.753"	"27.057"	"28.475"	"27.672"	"27.272"	"27.462"	"27.391"	"26.995"	"25.308"	"22.593"
"1902"	"21.662"	"21.49"	"24.312"	"27.007"	"28.475"	"27.839"	"27.272"	"28.653"	"27.391"	"26.995"	"25.008"	"23.07"
"1903"	"21.662"	"22.212"	"23.935"	"27.078"	"28.449"	"27.698"	"27.364"	"27.462"	"27.391"	"26.995"	"24.348"	"22.154"
"1904"	"20.698"	"21.047"	"22.959"	"27.065"	"27.046"	"27.23"	"27.272"	"27.462"	"27.391"	"26.995"	"24.848"	"23.049"
"1905"	"21.563"	"22.125"	"23.799"	"26.013"	"28.483"	"27.868"	"28.86"	"27.462"	"27.82"	"26.995"	"25.308"	"22.367"
"1906"	"21.609"	"22.087"	"23.73"	"27.078"	"28.564"	"27.672"	"27.297"	"27.488"	"27.391"	"26.995"	"25.308"	"22.912"
"1907"	"21.609"	"22.465"	"24.312"	"25.935"	"28.475"	"27.672"	"27.272"	"27.143"	"27.391"	"26.995"	"25.308"	"22.828"
"1908"	"21.584"	"21.357"	"23.179"	"27.078"	"28.475"	"27.732"	"26.594"	"27.488"	"27.391"	"26.995"	"24.548"	"21.87"
"1909"	"20.835"	"22.465"	"24.312"	"26.718"	"28.475"	"27.629"	"27.077"	"27.462"	"26.947"	"26.995"	"24.97"	"22.899"
"1910"	"21.662"	"22.117"	"23.09"	"27.078"	"28.483"	"27.698"	"27.272"	"27.462"	"27.391"	"26.995"	"24.887"	"22.084"
"1911"	"21.584"	"21.266"	"24.312"	"27.057"	"28.475"	"27.436"	"27.297"	"27.462"	"27.391"	"26.995"	"25.308"	"23.07"
"1912"	"21.004"	"22.439"	"24.312"	"27.057"	"28.475"	"27.672"	"27.318"	"27.462"	"27.391"	"26.995"	"25.308"	"22.554"
"1913"	"20.658"	"22.518"	"24.312"	"27.057"	"28.475"	"27.672"	"27.297"	"27.462"	"27.391"	"26.995"	"25.308"	"23.07"
"1914"	"21.662"	"22.465"	"24.312"	"26.571"	"28.475"	"27.672"	"27.372"	"27.462"	"27.391"	"26.995"	"25.308"	"23.07"
"1915"	"21.584"	"22.204"	"24.312"	"27.065"	"28.449"	"27.698"	"27.297"	"27.462"	"27.391"	"26.995"	"25.308"	"22.95"
"1916"	"20.644"	"22.187"	"23.453"	"27.078"	"28.475"	"27.629"	"27.285"	"27.462"	"27.391"	"26.995"	"25.308"	"22.722"
"1917"	"20.618"	"21.543"	"22.913"	"26.78"	"27.279"	"27.08"	"27.297"	"27.462"	"27.062"	"26.166"	"24.987"	"22.68"
"1918"	"21.662"	"21.226"	"23.013"	"26.718"	"26.888"	"27.289"	"28.038"	"27.462"	"26.92"	"26.995"	"25.65"	"23.07"
"1919"	"22.044"	"22.426"	"23.73"	"27.07"	"28.483"	"27.642"	"27.372"	"27.462"	"27.391"	"26.995"	"25.308"	"23.07"
"1920"	"21.563"	"22.217"	"24.312"	"27.065"	"28.449"	"27.672"	"27.28"	"27.462"	"27.635"	"26.995"	"25.308"	"21.996"
"1921"	"21.662"	"21.665"	"24.312"	"27.007"	"28.449"	"27.706"	"27.272"	"27.462"	"27.391"	"26.995"	"24.786"	"22.476"
"1922"	"21.584"	"21.524"	"24.312"	"27.065"	"28.483"	"27.664"	"27.297"	"27.462"	"27.391"	"26.995"	"25.308"	"21.715"
"1923"	"20.466"	"21.767"	"22.934"	"27.051"	"28.554"	"27.706"	"27.364"	"27.462"	"27.391"	"26.995"	"25.308"	"23.07"
"1924"	"21.022"	"22.465"	"24.312"	"27.057"	"28.442"	"27.672"	"27.272"	"27.462"	"27.391"	"26.995"	"24.687"	"22.639"
"1925"	"20.968"	"21.451"	"23.83"	"27.078"	"28.468"	"27.831"	"27.272"	"27.462"	"27.391"	"26.995"	"25.308"	"22.114"
"1926"	"21.662"	"22.426"	"24.312"	"27.07"	"28.449"	"27.672"	"27.422"	"27.462"	"27.391"	"26.995"	"25.1"	"23.07"
"1927"	"21.576"	"22.452"	"24.312"	"27.065"	"28.475"	"27.672"	"27.297"	"27.462"	"27.391"	"26.995"	"24.995"	"23.07"
"1928"	"21.576"	"22.465"	"23.73"	"27.065"	"28.449"	"27.724"	"27.297"	"27.462"	"27.391"	"26.995"	"25.246"	"23.07"
"1929"	"21.662"	"22.104"	"23.869"	"25.574"	"28.483"	"27.724"	"27.272"	"27.462"	"27.391"	"26.995"	"25.246"	"23.07"
