
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.2718"	"3.0573"	"1.0321"	"1.9472"	"3.7987"	"4.0765"	"4.4917"	"3.8302"	"7.8752"	"6.246"	"6.3693"	"3.0313"
"1902"	"2.3871"	"2.034"	"1.4718"	"2.1108"	"5.0119"	"5.1059"	"6.6988"	"4.7273"	"5.0356"	"11.3574"	"5.0366"	"4.8363"
"1903"	"0.905"	"1.1942"	"0.1577"	"1.2143"	"7.0721"	"3.8094"	"5.5227"	"6.306"	"8.0384"	"8.4892"	"7.7976"	"3.6877"
"1904"	"1.414"	"0"	"0.1577"	"2.3826"	"5.8901"	"4.3363"	"7.179"	"4.2393"	"3.8184"	"7.642"	"1.3924"	"1.7621"
"1905"	"0.4828"	"1.2724"	"1.3313"	"4.1135"	"5.9653"	"3.4028"	"4.5711"	"6.0392"	"4.4893"	"10.8956"	"4.76"	"0.6845"
"1906"	"2.3381"	"1.372"	"1.4337"	"1.4346"	"3.6844"	"4.5402"	"6.0234"	"7.4084"	"5.1497"	"8.4209"	"5.8963"	"4.3753"
"1907"	"1.3073"	"1.0679"	"1.7984"	"5.1328"	"3.9252"	"5.6261"	"5.3931"	"5.9521"	"7.1083"	"8.9553"	"5.6284"	"2.8327"
"1908"	"1.2952"	"2.2895"	"1.51"	"1.9141"	"4.7167"	"1.9263"	"5.3293"	"4.8484"	"5.6175"	"10.7004"	"2.8853"	"1.2045"
"1909"	"2.2082"	"1.4234"	"0.1577"	"4.4709"	"7.814"	"4.7337"	"4.522"	"9.5991"	"5.7078"	"7.6641"	"3.2661"	"1.2752"
"1910"	"1.0118"	"2.0972"	"0.1577"	"2.8434"	"3.7723"	"4.3098"	"7.2612"	"8.3814"	"5.8621"	"11.3688"	"5.5648"	"0.5788"
"1911"	"0.5721"	"1.1603"	"1.5115"	"2.3403"	"4.2011"	"5.6355"	"6.9626"	"3.0511"	"5.7536"	"8.5505"	"5.9568"	"3.5024"
"1912"	"0.2366"	"0.8813"	"1.4163"	"1.2945"	"3.1418"	"4.7962"	"4.1478"	"5.6046"	"6.2115"	"9.6199"	"6.1966"	"0.9095"
"1913"	"0"	"0"	"0.3495"	"1.2517"	"3.6202"	"3.1245"	"6.52"	"4.2022"	"6.4316"	"8.2495"	"5.8964"	"4.2496"
"1914"	"0.6411"	"0"	"0.1577"	"5.436"	"4.0921"	"3.2294"	"3.7845"	"3.8304"	"8.3958"	"10.8116"	"4.2535"	"4.3997"
"1915"	"1.6926"	"2.3698"	"2.0175"	"2.2273"	"5.1886"	"4.4884"	"5.3861"	"4.778"	"6.798"	"4.3894"	"6.558"	"1.7812"
"1916"	"0"	"0.6147"	"0.1577"	"1.9762"	"5.1293"	"3.5203"	"8.3474"	"5.8222"	"4.272"	"9.9546"	"6.2795"	"1.8418"
"1917"	"1.1755"	"1.8531"	"1.754"	"1.4505"	"4.248"	"4.9059"	"5.8855"	"7.0178"	"8.7023"	"6.9926"	"6.3014"	"1.7878"
"1918"	"2.6243"	"1.894"	"1.3319"	"2.0003"	"6.084"	"3.9104"	"3.8019"	"2.0333"	"4.361"	"6.2696"	"8.7217"	"3.4975"
"1919"	"1.7992"	"0"	"1.1023"	"2.2419"	"5.6352"	"4.2814"	"5.9512"	"4.1838"	"8.1782"	"6.3487"	"7.3947"	"3.0692"
"1920"	"3.085"	"0"	"1.0617"	"3.1813"	"2.3084"	"3.5763"	"3.6439"	"5.4817"	"6.5552"	"6.8551"	"8.0769"	"0.7366"
"1921"	"3.6328"	"0"	"0.1577"	"4.0411"	"1.6585"	"5.0221"	"6.0509"	"6.5097"	"2.804"	"10.0829"	"4.9623"	"1.47"
"1922"	"2.6835"	"1.5493"	"0.1577"	"1.5913"	"5.3839"	"3.4557"	"5.071"	"4.8593"	"4.2027"	"9.5716"	"8.03"	"3.967"
"1923"	"2.9537"	"1.0679"	"2.3449"	"2.7469"	"3.1833"	"4.9176"	"4.1265"	"6.3811"	"6.0941"	"8.9072"	"3.8003"	"2.6586"
"1924"	"2.0539"	"0"	"2.1678"	"3.2891"	"4.2792"	"3.8141"	"6.099"	"5.3242"	"7.1585"	"6.8973"	"5.4354"	"1.8925"
"1925"	"1.4492"	"1.2724"	"2.2319"	"2.6654"	"5.1096"	"3.4696"	"4.4406"	"5.8688"	"4.7661"	"7.6722"	"6.6469"	"4.526"
"1926"	"3.0668"	"0.2619"	"1.5872"	"3.7824"	"5.549"	"3.4277"	"5.3628"	"4.6385"	"7.2039"	"8.6862"	"4.7502"	"1.6303"
"1927"	"1.0327"	"1.352"	"0.9389"	"3.4793"	"5.0701"	"5.4536"	"5.2452"	"3.7813"	"5.3829"	"6.0506"	"5.5666"	"1.5983"
