
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"26.245"	"27.022"	"27.776"	"29.702"	"29.965"	"29.558"	"28.659"	"28.386"	"28.416"	"27.516"	"25.946"	"24.491"
"1902"	"25.144"	"25.299"	"28.053"	"29.971"	"30.465"	"29.835"	"28.735"	"28.663"	"27.939"	"26.717"	"25.869"	"25.269"
"1903"	"25.545"	"26.822"	"28.353"	"30.124"	"30.016"	"29.535"	"28.635"	"28.063"	"27.815"	"27.339"	"25.515"	"24.215"
"1904"	"24.569"	"25.299"	"27.577"	"30.047"	"29.74"	"28.805"	"28.158"	"28.088"	"28.387"	"27.439"	"26.015"	"24.292"
"1905"	"24.697"	"26.575"	"28.722"	"29.349"	"30.093"	"29.683"	"29.605"	"28.587"	"28.587"	"27.316"	"26.069"	"24.767"
"1906"	"25.798"	"27.322"	"27.976"	"30.826"	"31.02"	"29.488"	"28.957"	"27.764"	"27.886"	"27.116"	"25.846"	"24.968"
"1907"	"24.92"	"26.074"	"28.199"	"29.371"	"30.388"	"29.382"	"28.659"	"27.859"	"28.463"	"27.217"	"25.946"	"24.968"
"1908"	"25.121"	"25.699"	"27.575"	"30.748"	"30.188"	"29.559"	"28.282"	"28.011"	"27.692"	"27.217"	"25.545"	"24.368"
"1909"	"25.098"	"26.175"	"28.353"	"29.824"	"29.665"	"29.112"	"28.035"	"27.64"	"27.34"	"27.34"	"26.469"	"25.469"
"1910"	"25.222"	"25.9"	"27.73"	"29.825"	"30.741"	"29.311"	"28.412"	"27.586"	"27.387"	"27.016"	"25.392"	"24.467"
"1911"	"25.022"	"25.321"	"27.876"	"29.749"	"29.941"	"28.759"	"28.406"	"28.158"	"28.34"	"26.917"	"25.969"	"24.869"
"1912"	"24.421"	"26.875"	"28.776"	"30.377"	"30.919"	"29.383"	"28.659"	"28.387"	"27.964"	"27.04"	"25.992"	"24.391"
"1913"	"24.369"	"26.423"	"28.576"	"30.524"	"30.617"	"29.782"	"28.259"	"28.387"	"28.34"	"26.916"	"25.469"	"25.045"
"1914"	"24.668"	"26.351"	"28.353"	"30.024"	"30.442"	"30.035"	"28.559"	"27.964"	"27.993"	"26.793"	"25.77"	"25.245"
"1915"	"25.223"	"26.475"	"27.977"	"29.825"	"30.465"	"29.488"	"28.588"	"28.887"	"28.216"	"27.739"	"26.392"	"24.815"
"1916"	"24.569"	"26.299"	"28.229"	"30.448"	"30.217"	"28.559"	"28.288"	"27.888"	"27.564"	"27.116"	"25.993"	"24.016"
"1917"	"24.169"	"25.322"	"27.276"	"29.649"	"29.541"	"28.311"	"28.711"	"28.063"	"27.516"	"26.663"	"25.969"	"24.369"
"1918"	"24.446"	"24.722"	"26.777"	"29.549"	"29.264"	"28.413"	"28.636"	"28.387"	"27.641"	"27.493"	"26.222"	"24.869"
"1919"	"26.022"	"27.099"	"27.853"	"30.378"	"30.364"	"29.034"	"28.412"	"28.012"	"27.816"	"27.194"	"25.969"	"24.968"
"1920"	"24.968"	"26.599"	"28.552"	"29.848"	"30.518"	"29.635"	"29.005"	"28.487"	"28.263"	"27.516"	"25.969"	"24.268"
"1921"	"25.446"	"25.998"	"28.452"	"29.772"	"31.09"	"29.882"	"28.511"	"28.387"	"27.763"	"27.016"	"25.568"	"24.416"
"1922"	"25.121"	"25.598"	"28.13"	"29.949"	"30.064"	"29.558"	"28.659"	"28.387"	"28.04"	"26.892"	"26.068"	"24.092"
"1923"	"24.245"	"25.823"	"27.598"	"29.894"	"30.14"	"29.759"	"28.406"	"28.235"	"27.963"	"27.117"	"26.268"	"24.768"
