
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1902"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1903"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1904"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1905"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1906"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1907"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1908"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1909"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1910"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1911"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1912"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1913"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1914"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1915"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1916"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1917"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1918"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1919"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1920"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1921"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1922"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1923"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1924"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1925"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1926"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1927"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1928"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1929"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1930"	"31.574"	"27.493"	"28.792"	"40.98"	"51.293"	"70.988"	"77.508"	"71.3"	"63.8"	"62.493"	"53.785"	"42.493"
"1931"	"30.098"	"25.516"	"27.315"	"40.98"	"48.493"	"68.434"	"73.754"	"71.3"	"61.2"	"57.493"	"49.885"	"43.693"
"1932"	"28.168"	"30.247"	"30.293"	"46.532"	"57.271"	"75.818"	"82.115"	"72.501"	"66.2"	"71.699"	"63.57"	"42.493"
"1933"	"31.574"	"28.717"	"28.792"	"40.98"	"48.238"	"70.611"	"76.031"	"70.124"	"63.8"	"62.493"	"53.086"	"41.293"
"1934"	"33.676"	"26.616"	"28.792"	"43.38"	"51.293"	"71.087"	"74.831"	"68.8"	"61.2"	"61.815"	"50.084"	"39.292"
"1935"	"33.874"	"29.371"	"30.293"	"43.082"	"52.093"	"71.61"	"76.531"	"70.024"	"63.8"	"61.917"	"51.608"	"42.493"
"1936"	"31.574"	"28.193"	"27.892"	"43.035"	"53.745"	"70.111"	"75.778"	"70.024"	"62.723"	"62.493"	"54.687"	"42.493"
"1937"	"31.574"	"28.617"	"29.969"	"40.98"	"46.063"	"72.486"	"79.662"	"67.148"	"59.925"	"62.493"	"52.886"	"41.293"
"1938"	"29.747"	"28.716"	"28.792"	"39.68"	"50.091"	"70.988"	"78.708"	"70.001"	"63.8"	"60.017"	"49.834"	"42.493"
"1939"	"31.574"	"27.87"	"28.792"	"42.28"	"51.293"	"69.888"	"76.508"	"70.124"	"62.423"	"61.217"	"55.162"	"40.24"
"1940"	"28.976"	"28.516"	"29.093"	"40.98"	"51.293"	"71.588"	"82.161"	"72.876"	"63.8"	"61.516"	"58.664"	"43.869"
"1941"	"32.675"	"30.193"	"32.246"	"45.333"	"54.246"	"73.617"	"77.508"	"71.3"	"65.978"	"64.547"	"55.21"	"41.817"
"1942"	"30.098"	"27.493"	"28.869"	"40.98"	"51.269"	"70.61"	"78.308"	"70.224"	"63.1"	"62.493"	"50.261"	"46.194"
"1943"	"32.551"	"26.417"	"28.793"	"42.256"	"52.269"	"74.465"	"78.708"	"68.8"	"64.577"	"61.892"	"55.162"	"41.293"
"1944"	"31.574"	"28.294"	"28.792"	"41.857"	"49.669"	"69.633"	"77.207"	"67.348"	"61.2"	"58.34"	"53.984"	"41.317"
"1945"	"30.098"	"28.617"	"28.715"	"40.28"	"50.986"	"66.404"	"77.107"	"68.902"	"61.421"	"59.764"	"55.162"	"41.716"
"1946"	"29.645"	"27.493"	"28.793"	"40.98"	"51.545"	"73.687"	"77.508"	"74.129"	"65"	"63.793"	"60.091"	"45.795"
"1947"	"34.753"	"30.294"	"31.568"	"44.382"	"50.09"	"68.612"	"79.907"	"71.023"	"64.6"	"62.993"	"49.308"	"42.493"
"1948"	"32.676"	"27.493"	"28.792"	"40.004"	"48.616"	"70.987"	"76.631"	"68.8"	"63.8"	"58.564"	"53.785"	"41.293"
"1949"	"28.974"	"26.393"	"28.092"	"41.051"	"51.22"	"73.54"	"79.706"	"71.3"	"63.8"	"62.893"	"50.732"	"38.192"
"1950"	"30.098"	"27.517"	"28.868"	"42.28"	"51.293"	"71.588"	"79.884"	"69.222"	"65.077"	"59.994"	"53.486"	"40.616"
"1951"	"32.55"	"28.393"	"28.792"	"40.855"	"49.669"	"69.086"	"75.777"	"71.3"	"61.325"	"59.994"	"55.162"	"38.992"
"1952"	"25.397"	"26.417"	"27.693"	"40.551"	"49.439"	"64.652"	"74.831"	"70.025"	"60.246"	"61.792"	"48.713"	"42.493"
"1953"	"32.676"	"25.922"	"28.591"	"39.68"	"48.822"	"68.334"	"76.108"	"68.871"	"60.87"	"61.194"	"50.562"	"38.793"
"1954"	"31.952"	"25.195"	"27.816"	"40.68"	"49.763"	"71.334"	"76.531"	"70.001"	"62.748"	"61.692"	"48.859"	"42.493"
"1955"	"33.622"	"29.017"	"29.769"	"43.832"	"53.393"	"82.111"	"79.355"	"72.324"	"65"	"63.87"	"54.561"	"40.841"
"1956"	"32.322"	"28.162"	"27.992"	"42.203"	"53.14"	"80.165"	"80.631"	"72.324"	"66.2"	"65.018"	"54.787"	"41.293"
"1957"	"32.123"	"28.569"	"28.817"	"40.28"	"53.767"	"77.241"	"83.231"	"73.8"	"63.5"	"66.27"	"55.162"	"45.092"
"1958"	"31.798"	"30.14"	"30.293"	"40.821"	"53.885"	"68.906"	"80.653"	"73.8"	"64.501"	"66.118"	"56.082"	"42.141"
"1959"	"31.823"	"27.418"	"26.416"	"40.227"	"48.891"	"75.934"	"82.406"	"71.049"	"64.925"	"65.641"	"53.832"	"41.516"
"1960"	"32.675"	"27.443"	"28.516"	"39.004"	"53.81"	"69.01"	"79.377"	"70.101"	"65.77"	"61.141"	"62.501"	"41.617"
"1961"	"36.971"	"31.518"	"37.986"	"40.68"	"54.366"	"76.285"	"82.51"	"72.677"	"63.525"	"60.819"	"53.787"	"42.817"
"1962"	"32.673"	"31.192"	"28.792"	"42.581"	"52.793"	"68.261"	"79.807"	"73.8"	"65"	"68.061"	"50.062"	"41.994"
"1963"	"36.374"	"25.693"	"29.492"	"40.304"	"49.413"	"71.786"	"76.407"	"71.3"	"62.046"	"62.993"	"55.185"	"42.493"
