
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"30.831"	"32.085"	"32.962"	"34.488"	"34.822"	"34.06"	"33.06"	"32.688"	"32.794"	"31.57"	"29.777"	"28.475"
"1902"	"29.73"	"30.361"	"33.24"	"34.757"	"35.32"	"34.337"	"33.061"	"32.99"	"32.318"	"30.77"	"29.701"	"29.253"
"1903"	"30.131"	"31.884"	"33.539"	"34.91"	"34.873"	"34.037"	"33.036"	"32.39"	"32.194"	"31.393"	"29.347"	"28.2"
"1904"	"29.154"	"30.361"	"32.763"	"34.834"	"34.597"	"33.308"	"32.56"	"32.414"	"32.765"	"31.494"	"29.846"	"28.277"
"1905"	"29.284"	"31.637"	"33.91"	"34.134"	"34.95"	"34.185"	"34.007"	"32.913"	"32.965"	"31.37"	"29.9"	"28.752"
"1906"	"30.383"	"32.384"	"33.162"	"35.611"	"35.875"	"33.99"	"33.36"	"32.09"	"32.265"	"31.17"	"29.677"	"28.953"
"1907"	"29.507"	"31.136"	"33.387"	"34.157"	"35.244"	"33.884"	"33.06"	"32.184"	"32.841"	"31.27"	"29.776"	"28.953"
"1908"	"29.706"	"30.761"	"32.761"	"35.533"	"35.044"	"34.061"	"32.608"	"32.337"	"32.071"	"31.27"	"29.377"	"28.353"
"1909"	"29.683"	"31.238"	"33.539"	"34.61"	"34.521"	"33.615"	"32.438"	"31.966"	"31.717"	"31.394"	"30.301"	"29.454"
"1910"	"29.807"	"30.961"	"32.916"	"34.612"	"35.598"	"33.813"	"32.813"	"31.913"	"31.764"	"31.07"	"29.223"	"28.452"
"1911"	"29.608"	"30.383"	"33.063"	"34.535"	"34.798"	"33.262"	"32.808"	"32.461"	"32.718"	"30.97"	"29.8"	"28.854"
"1912"	"29.007"	"31.939"	"33.962"	"35.163"	"35.775"	"33.885"	"33.06"	"32.689"	"32.343"	"31.094"	"29.823"	"28.377"
"1913"	"28.954"	"31.485"	"33.762"	"35.311"	"35.474"	"34.284"	"32.584"	"32.689"	"32.718"	"30.97"	"29.301"	"29.03"
"1914"	"29.254"	"31.413"	"33.539"	"34.809"	"35.299"	"34.538"	"32.96"	"32.266"	"32.371"	"30.847"	"29.601"	"29.23"
"1915"	"29.808"	"31.537"	"33.163"	"34.611"	"35.322"	"33.99"	"32.99"	"33.19"	"32.571"	"31.794"	"30.223"	"28.799"
"1916"	"29.154"	"31.361"	"33.415"	"35.235"	"35.073"	"33.061"	"32.689"	"32.19"	"31.919"	"31.17"	"29.823"	"28.001"
"1917"	"28.755"	"30.384"	"32.463"	"34.435"	"34.397"	"32.813"	"33.038"	"32.39"	"31.895"	"30.717"	"29.8"	"28.354"
"1918"	"29.031"	"29.784"	"31.963"	"34.334"	"34.121"	"32.915"	"33.038"	"32.689"	"31.996"	"31.547"	"30.054"	"28.854"
