
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.44"	"6.15"	"6.67"	"6.6"	"6.57"	"6"	"5.78"	"5.81"	"5.81"	"5.28"	"4.88"	"4.79"
"1902"	"5.39"	"6.04"	"6.63"	"6.6"	"6.6"	"6.02"	"5.76"	"5.84"	"5.82"	"5.24"	"4.84"	"4.8"
"1903"	"5.38"	"6.11"	"6.67"	"6.62"	"6.6"	"6"	"5.79"	"5.81"	"5.8"	"5.27"	"4.87"	"4.79"
"1904"	"5.35"	"6.04"	"6.61"	"6.6"	"6.6"	"5.98"	"5.74"	"5.78"	"5.82"	"5.28"	"4.89"	"4.79"
"1905"	"5.33"	"6.07"	"6.7"	"6.6"	"6.57"	"5.99"	"5.8"	"5.84"	"5.86"	"5.27"	"4.87"	"4.79"
"1906"	"5.36"	"6.14"	"6.65"	"6.61"	"6.65"	"6.02"	"5.81"	"5.8"	"5.81"	"5.27"	"4.85"	"4.81"
"1907"	"5.37"	"6.07"	"6.67"	"6.58"	"6.59"	"6"	"5.79"	"5.78"	"5.8"	"5.27"	"4.86"	"4.81"
"1908"	"5.39"	"6.09"	"6.6"	"6.62"	"6.61"	"6.02"	"5.75"	"5.81"	"5.78"	"5.26"	"4.86"	"4.79"
"1909"	"5.35"	"6.09"	"6.67"	"6.62"	"6.58"	"5.99"	"5.74"	"5.78"	"5.74"	"5.23"	"4.87"	"4.83"
"1910"	"5.4"	"6.07"	"6.63"	"6.57"	"6.61"	"6.02"	"5.79"	"5.79"	"5.75"	"5.25"	"4.84"	"4.79"
"1911"	"5.38"	"6.04"	"6.63"	"6.6"	"6.6"	"5.97"	"5.73"	"5.79"	"5.83"	"5.25"	"4.85"	"4.83"
"1912"	"5.33"	"6.07"	"6.69"	"6.62"	"6.64"	"6.02"	"5.78"	"5.81"	"5.8"	"5.25"	"4.87"	"4.81"
