
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.522"	"24.961"	"6.658"	"42.543"	"60.698"	"34.393"	"32.423"	"129.231"	"205.069"	"87.153"	"161.896"	"48.243"
"1902"	"39.255"	"19.176"	"15.808"	"32.898"	"111.19"	"50.584"	"57.715"	"109.474"	"159.899"	"203.229"	"91.096"	"162.85"
"1903"	"6.291"	"2.677"	"0"	"7.694"	"119.128"	"75.456"	"37.581"	"120.044"	"269.658"	"158.476"	"163.539"	"106.311"
"1904"	"23.031"	"0"	"0"	"37.313"	"122.678"	"32.138"	"97.846"	"27.913"	"94.896"	"103.818"	"8.907"	"33.856"
"1905"	"1.523"	"0.119"	"5.423"	"80.794"	"97.594"	"32.33"	"38.978"	"111.179"	"73.844"	"183.13"	"48.804"	"0.87"
"1906"	"43.79"	"16.88"	"6.563"	"2.815"	"39.295"	"44.958"	"32.707"	"145.301"	"43.203"	"169.639"	"129.068"	"114.071"
"1907"	"9.44"	"0.238"	"0.019"	"109.407"	"44.907"	"26.756"	"27.167"	"49.274"	"155.039"	"127.849"	"190.998"	"46.107"
"1908"	"0.899"	"36.292"	"6.179"	"47.286"	"54.416"	"39.166"	"38.58"	"56.078"	"202.672"	"153.58"	"25.299"	"10.074"
"1909"	"37.856"	"6.007"	"0"	"66.073"	"67.21"	"29.237"	"39.104"	"124.474"	"155.327"	"202.642"	"7.786"	"5.972"
"1910"	"0.141"	"44.769"	"0"	"17.854"	"30.617"	"35.62"	"121.903"	"95.719"	"77.111"	"259.974"	"118.266"	"0.893"
"1911"	"0.166"	"0"	"29.898"	"34.303"	"67.37"	"24.344"	"23.333"	"39.172"	"150.989"	"149.329"	"98.669"	"62.79"
"1912"	"2.91"	"0"	"0"	"13.21"	"68.262"	"33.345"	"17.355"	"74.464"	"169.495"	"164.776"	"188.003"	"12.695"
"1913"	"0"	"0"	"0.027"	"31.848"	"68.179"	"25.041"	"52.45"	"72.239"	"177.021"	"232.319"	"150.672"	"73.281"
"1914"	"2.066"	"1.061"	"0.022"	"43.059"	"35.889"	"63.357"	"36.732"	"92.364"	"157.405"	"245.063"	"90.528"	"66.791"
"1915"	"5.862"	"18.824"	"29.347"	"40.544"	"60.573"	"38.765"	"89.476"	"113.953"	"195.235"	"142.198"	"155.762"	"33.571"
"1916"	"0"	"3.432"	"0"	"18.184"	"66.851"	"15.888"	"152.916"	"106.191"	"123.697"	"280.161"	"107.903"	"29.936"
"1917"	"5.535"	"39.927"	"3.719"	"5.666"	"79.695"	"68.789"	"37.866"	"174.179"	"168.213"	"96.465"	"151.86"	"20.71"
"1918"	"27.63"	"4.455"	"6.187"	"14.901"	"64.741"	"55.1"	"26.583"	"50.846"	"32.862"	"23.577"	"189.103"	"63.113"
"1919"	"9.291"	"0"	"3.24"	"17.866"	"91.506"	"51.45"	"45.175"	"88.884"	"202.064"	"99.166"	"176.521"	"124.686"
"1920"	"68.231"	"0.003"	"0"	"57.406"	"32.052"	"26.486"	"40.204"	"87.606"	"261.48"	"186.114"	"293.75"	"0.87"
"1921"	"104.932"	"0"	"0"	"101.042"	"45.974"	"32.998"	"136.81"	"168.069"	"80.979"	"187.283"	"91.834"	"27.059"
"1922"	"20.542"	"4.385"	"0"	"30.927"	"91.316"	"47.218"	"32.209"	"112.021"	"94.36"	"205.978"	"234.671"	"39.919"
"1923"	"45.302"	"0"	"23.795"	"52.501"	"46.016"	"36.205"	"20.985"	"47.786"	"159.797"	"187.909"	"3.899"	"70.29"
"1924"	"13.15"	"0.007"	"18.337"	"33.706"	"38.403"	"19.59"	"65.941"	"71.824"	"181.648"	"56.26"	"93.526"	"15.499"
"1925"	"7.514"	"0.525"	"17.344"	"57.234"	"103.802"	"40.584"	"22.192"	"110.106"	"78.174"	"110.475"	"109.325"	"162.052"
"1926"	"54.408"	"3.872"	"19.893"	"60.892"	"53.633"	"34.919"	"34.792"	"52.311"	"143.727"	"67.496"	"102.515"	"14.245"
"1927"	"5.62"	"14.484"	"1.921"	"104.72"	"112.219"	"89.277"	"72.177"	"90.584"	"120.348"	"37.362"	"51.278"	"14.649"
"1928"	"22.196"	"50.04"	"17.502"	"68.926"	"55.303"	"32.802"	"45.045"	"106.006"	"51.575"	"180.172"	"86.348"	"79.98"
"1929"	"8.177"	"1.802"	"0.662"	"83.688"	"19.343"	"36.939"	"34.076"	"54.452"	"96.887"	"92.312"	"122.597"	"45.406"
"1930"	"33.649"	"22.271"	"21.521"	"11.171"	"159.471"	"22.144"	"40.816"	"59.117"	"74.925"	"354.677"	"131.358"	"30.888"
"1931"	"12.826"	"0"	"0"	"58.876"	"50.586"	"18.7"	"73.126"	"76.946"	"76.193"	"102"	"213.26"	"284.55"
"1932"	"0.781"	"44.297"	"3.713"	"93.248"	"127.586"	"39.719"	"17.014"	"128.682"	"129.637"	"268.788"	"234.548"	"93.277"
"1933"	"0"	"4.247"	"19.062"	"24.963"	"54.134"	"61.339"	"53.261"	"126.85"	"107.079"	"313.028"	"68.979"	"165.318"
"1934"	"64.674"	"0"	"0.299"	"27.849"	"55.615"	"35.211"	"41.894"	"63.024"	"25.169"	"319.257"	"122.895"	"11.604"
"1935"	"42.336"	"0.689"	"3.682"	"86.888"	"4.484"	"50.728"	"49.555"	"141.501"	"95.767"	"85.254"	"88.584"	"85.678"
"1936"	"0.393"	"64.778"	"27.93"	"18.527"	"91.984"	"35.751"	"65.614"	"77.792"	"139.518"	"48.632"	"117.729"	"46.163"
"1937"	"6.672"	"1.188"	"8.067"	"66.493"	"42.564"	"43.654"	"27.147"	"104.486"	"99.287"	"161.722"	"147.974"	"12.95"
"1938"	"0.141"	"20.568"	"28.907"	"76.455"	"26.394"	"30.32"	"87.322"	"122.589"	"101.005"	"93.099"	"12.131"	"36.191"
"1939"	"29.568"	"0"	"15.72"	"142.056"	"75.558"	"40.667"	"25.705"	"122.934"	"137.135"	"256.56"	"174.799"	"6.883"
"1940"	"0.331"	"0.128"	"40.343"	"60.995"	"100.783"	"57.12"	"53.555"	"42.779"	"240.577"	"70.03"	"174.494"	"35.921"
"1941"	"8.61"	"4.277"	"0"	"62.558"	"83.951"	"11.77"	"50.853"	"65.434"	"191.291"	"189.411"	"105.504"	"184.871"
"1942"	"0.369"	"0"	"0"	"111.22"	"34.507"	"25.381"	"26.045"	"158.539"	"170.943"	"106.521"	"20.456"	"101.507"
"1943"	"38.159"	"8.424"	"11.883"	"106.436"	"175.226"	"36.293"	"49.976"	"58.898"	"91.454"	"200.678"	"88.796"	"31.021"
"1944"	"9.644"	"36.246"	"35.85"	"4.092"	"30.591"	"67.759"	"30.346"	"94.491"	"93.277"	"223.664"	"175.486"	"79.276"
"1945"	"0.681"	"0.568"	"1.152"	"81.841"	"16.82"	"13.522"	"19.582"	"99.426"	"86.331"	"127.016"	"84.17"	"1.579"
"1946"	"34.003"	"0"	"55.06"	"69.364"	"42.002"	"33.316"	"51.636"	"92.909"	"147.394"	"190.832"	"324.09"	"269.055"
"1947"	"46.886"	"13.232"	"46.561"	"33.468"	"26.806"	"30.902"	"105.965"	"116.983"	"172.92"	"197.089"	"20.11"	"2.094"
"1948"	"24.791"	"1.866"	"0.199"	"44.866"	"69.729"	"28.162"	"52.236"	"62.999"	"86.662"	"117.321"	"151.136"	"20.593"
"1949"	"0"	"1.365"	"0"	"75.544"	"73.959"	"67.091"	"56.2"	"111.283"	"82.405"	"175.012"	"23.363"	"1.081"
"1950"	"0.516"	"45.024"	"4.763"	"5.055"	"51.278"	"29.669"	"37.059"	"132.924"	"70.294"	"130.476"	"83.282"	"26.509"
"1951"	"3.298"	"0"	"36.964"	"87.163"	"59.727"	"12.924"	"75.703"	"70.29"	"104.824"	"74.138"	"138.166"	"2.585"
"1952"	"5.367"	"35.266"	"1.743"	"12.872"	"33.553"	"25.813"	"107.737"	"65.932"	"73.785"	"158.864"	"12.788"	"226.568"
"1953"	"5.211"	"9.756"	"0.022"	"121.462"	"49.403"	"74.798"	"104.722"	"46.524"	"186.602"	"287.589"	"44.892"	"7.734"
"1954"	"46.188"	"6.101"	"12.369"	"71.491"	"46.404"	"53.687"	"73.75"	"126.917"	"41.645"	"286.712"	"3.813"	"85.344"
"1955"	"13.112"	"1.615"	"23.472"	"76.376"	"115.777"	"7.592"	"76.04"	"74.223"	"116.725"	"149.492"	"48.882"	"99.399"
"1956"	"15.699"	"1.511"	"0"	"54.779"	"47.946"	"81.52"	"35.941"	"53.802"	"168.48"	"298.968"	"231.052"	"23.202"
"1957"	"0"	"10.746"	"10.021"	"16.181"	"41.811"	"37.035"	"54.003"	"52.548"	"85.247"	"205.376"	"102.169"	"55.67"
"1958"	"4.822"	"0.01"	"17.162"	"39.531"	"90.824"	"9.588"	"37.026"	"145.045"	"83.637"	"128.062"	"85.781"	"21.427"
"1959"	"3.074"	"36.283"	"0"	"77.86"	"65.447"	"80.478"	"18.998"	"46.463"	"80.241"	"205.644"	"156.918"	"53.126"
"1960"	"2.048"	"3.773"	"0.051"	"51.031"	"70.909"	"20.461"	"101.591"	"37.815"	"123.682"	"135.305"	"190.718"	"8.125"
"1961"	"89.804"	"17.431"	"0"	"26.067"	"50.246"	"57.291"	"41.594"	"123.216"	"204.82"	"197.215"	"35.155"	"55.68"
