
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"24.328"	"23.351"	"24.951"	"28.528"	"30.128"	"28.559"	"28.036"	"28.582"	"28.607"	"27.983"	"26.181"	"24.204"
"1902"	"22.828"	"22.28"	"25.427"	"28.452"	"30.128"	"28.56"	"28.036"	"29.312"	"28.607"	"27.983"	"25.882"	"24.305"
"1903"	"22.828"	"23.351"	"25.052"	"28.528"	"30.128"	"28.559"	"28.036"	"28.582"	"28.607"	"27.983"	"25.404"	"23.774"
"1904"	"22.275"	"22.029"	"24.028"	"28.528"	"28.651"	"28.482"	"28.036"	"28.582"	"28.607"	"27.983"	"25.904"	"24.304"
"1905"	"22.828"	"23.104"	"25.027"	"27.274"	"30.128"	"28.561"	"29.465"	"28.582"	"29.429"	"27.983"	"26.281"	"23.928"
"1906"	"22.828"	"23.275"	"24.728"	"28.528"	"30.128"	"28.559"	"28.036"	"28.582"	"28.607"	"27.983"	"26.205"	"24.205"
"1907"	"22.828"	"23.428"	"25.427"	"27.303"	"30.128"	"28.559"	"28.036"	"28.207"	"28.607"	"27.983"	"26.257"	"24.229"
"1908"	"22.828"	"22.128"	"24.328"	"28.528"	"30.127"	"28.559"	"27.582"	"28.506"	"28.607"	"27.983"	"25.605"	"23.775"
"1909"	"22.152"	"23.428"	"25.427"	"28.374"	"30.128"	"28.483"	"27.96"	"28.582"	"28.107"	"28.007"	"26.005"	"24.229"
"1910"	"22.828"	"23.127"	"24.126"	"28.528"	"30.128"	"28.559"	"28.036"	"28.582"	"28.607"	"27.983"	"25.681"	"23.776"
"1911"	"22.828"	"22.573"	"25.427"	"28.452"	"30.128"	"28.184"	"28.036"	"28.582"	"28.607"	"27.983"	"26.205"	"24.305"
"1912"	"22.229"	"23.428"	"25.427"	"28.452"	"30.051"	"28.483"	"28.036"	"28.582"	"28.607"	"27.983"	"26.157"	"24.128"
"1913"	"22.028"	"23.428"	"25.427"	"28.528"	"30.051"	"28.559"	"28.036"	"28.729"	"28.607"	"27.983"	"26.281"	"24.305"
"1914"	"22.98"	"23.428"	"25.427"	"28.374"	"30.051"	"28.559"	"28.112"	"28.582"	"28.607"	"27.983"	"26.281"	"24.305"
"1915"	"22.828"	"23.227"	"25.427"	"28.528"	"30.128"	"28.559"	"28.036"	"28.582"	"28.607"	"28.007"	"26.305"	"24.305"
"1916"	"22.251"	"23.351"	"24.627"	"28.452"	"30.128"	"28.559"	"28.036"	"28.582"	"28.607"	"27.983"	"26.181"	"23.687"
"1917"	"21.751"	"22.427"	"24.027"	"28.451"	"29.119"	"27.36"	"28.036"	"28.582"	"28.182"	"27.653"	"25.857"	"24.228"
"1918"	"22.781"	"22.128"	"24.104"	"28.374"	"28.329"	"28.084"	"28.487"	"28.582"	"27.66"	"27.983"	"26.359"	"24.305"
"1919"	"23.651"	"23.428"	"24.605"	"28.452"	"30.128"	"28.482"	"28.036"	"28.582"	"28.607"	"27.983"	"26.181"	"24.305"
"1920"	"22.828"	"23.227"	"25.798"	"28.528"	"30.052"	"28.483"	"28.207"	"28.582"	"29.153"	"27.983"	"26.181"	"23.653"
"1921"	"23.027"	"22.504"	"25.427"	"28.452"	"30.128"	"28.559"	"28.036"	"28.582"	"28.607"	"27.983"	"25.704"	"24.005"
"1922"	"22.828"	"22.281"	"25.427"	"28.452"	"30.128"	"28.483"	"28.036"	"28.582"	"28.607"	"27.983"	"26.257"	"22.905"
"1923"	"21.75"	"22.951"	"24.028"	"28.452"	"30.128"	"28.483"	"28.036"	"28.852"	"28.607"	"27.983"	"26.281"	"24.305"
"1924"	"22.204"	"23.428"	"25.427"	"28.452"	"30.051"	"28.336"	"28.036"	"28.582"	"28.607"	"27.983"	"25.628"	"23.906"
"1925"	"22.105"	"22.525"	"24.704"	"28.452"	"30.05"	"28.559"	"28.036"	"28.582"	"28.607"	"27.983"	"26.281"	"23.652"
"1926"	"22.828"	"23.428"	"25.427"	"28.452"	"30.051"	"28.559"	"28.161"	"28.582"	"28.607"	"28.007"	"26.005"	"24.305"
"1927"	"22.828"	"23.428"	"25.427"	"28.528"	"29.859"	"28.483"	"28.036"	"28.582"	"28.607"	"27.983"	"26.104"	"24.305"
"1928"	"22.828"	"23.428"	"24.58"	"28.528"	"30.051"	"28.559"	"28.036"	"28.488"	"28.607"	"27.983"	"25.981"	"24.305"
"1929"	"23.027"	"23.127"	"24.78"	"26.061"	"30.052"	"28.459"	"28.036"	"28.535"	"28.583"	"27.983"	"26.057"	"24.305"
"1930"	"22.579"	"22.927"	"25.427"	"28.528"	"28.684"	"28.559"	"28.036"	"28.582"	"28.607"	"27.609"	"25.882"	"24.305"
"1931"	"22.58"	"23.404"	"25.427"	"28.528"	"30.127"	"28.483"	"28.036"	"28.582"	"28.607"	"27.983"	"25.981"	"24.258"
"1932"	"22.174"	"22.497"	"24.575"	"28.528"	"28.703"	"28.483"	"28.036"	"28.582"	"28.607"	"27.888"	"26.281"	"24.081"
"1933"	"22.828"	"23.357"	"24.95"	"28.528"	"28.376"	"28.304"	"28.036"	"28.535"	"28.607"	"27.837"	"26.205"	"24.305"
"1934"	"22.504"	"22.029"	"24.027"	"28.452"	"30.128"	"28.036"	"28.036"	"28.488"	"28.607"	"27.983"	"25.528"	"23.63"
"1935"	"22.828"	"23.027"	"25.427"	"28.298"	"30.051"	"28.483"	"28.036"	"28.582"	"28.607"	"27.983"	"25.404"	"24.281"
"1936"	"22.804"	"23.351"	"24.951"	"28.452"	"30.128"	"28.482"	"28.036"	"28.582"	"28.607"	"27.983"	"26.181"	"24.305"
"1937"	"22.828"	"23.428"	"25.427"	"28.452"	"30.128"	"28.757"	"28.036"	"28.676"	"28.607"	"27.983"	"26.281"	"23.906"
"1938"	"22.98"	"23.428"	"25.427"	"28.452"	"30.127"	"28.483"	"28.036"	"28.559"	"28.607"	"28.007"	"25.981"	"24.305"
"1939"	"22.603"	"22.502"	"24.202"	"27.428"	"29.977"	"28.559"	"28.036"	"28.582"	"28.607"	"27.983"	"25.781"	"24.305"
"1940"	"21.827"	"22.601"	"25.351"	"28.297"	"30.128"	"28.559"	"28.036"	"28.582"	"29.129"	"27.983"	"26.257"	"24.305"
"1941"	"23.027"	"23.428"	"25.427"	"28.452"	"30.128"	"28.757"	"28.036"	"28.606"	"28.607"	"27.983"	"26.282"	"24.305"
"1942"	"23.027"	"23.404"	"25.427"	"28.528"	"30.128"	"28.559"	"28.036"	"28.582"	"28.607"	"27.983"	"26.281"	"24.305"
"1943"	"23.027"	"22.904"	"24.851"	"27.206"	"28.685"	"28.207"	"28.036"	"28.582"	"28.53"	"26.382"	"25.552"	"24.305"
"1944"	"22.828"	"23.151"	"24.202"	"27.227"	"30.128"	"28.559"	"28.036"	"28.629"	"28.607"	"27.983"	"26.082"	"24.305"
"1945"	"22.403"	"23.203"	"25.427"	"27.057"	"30.128"	"28.559"	"28.036"	"28.606"	"28.607"	"27.983"	"25.828"	"24.305"
"1946"	"21.628"	"23.027"	"25.427"	"28.452"	"30.051"	"28.559"	"28.036"	"28.582"	"28.607"	"27.983"	"26.305"	"24.305"
"1947"	"22.828"	"23.104"	"25.427"	"28.528"	"30.128"	"28.559"	"28.036"	"28.459"	"28.607"	"27.982"	"25.882"	"24.258"
"1948"	"22.828"	"23.428"	"25.427"	"28.452"	"30.128"	"28.559"	"28.036"	"28.582"	"28.607"	"27.983"	"26.181"	"24.305"
"1949"	"22.305"	"22.927"	"25.427"	"28.452"	"30.051"	"28.481"	"28.036"	"28.488"	"28.607"	"27.983"	"25.981"	"24.158"
"1950"	"22.527"	"23.127"	"24.903"	"28.528"	"30.128"	"28.559"	"28.036"	"28.582"	"28.607"	"27.983"	"25.805"	"24.305"
"1951"	"22.828"	"22.128"	"25.427"	"28.528"	"30.128"	"28.559"	"28.036"	"28.582"	"28.607"	"28.007"	"26.281"	"24.305"
"1952"	"23.027"	"23.428"	"25.427"	"28.452"	"30.127"	"28.559"	"28.112"	"28.582"	"28.607"	"27.983"	"25.705"	"24.305"
"1953"	"22.828"	"23.428"	"26.976"	"28.528"	"30.648"	"28.559"	"28.036"	"28.582"	"28.607"	"27.983"	"26.005"	"24.305"
