
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"26.526"	"27.156"	"27.69"	"29.079"	"29.499"	"28.942"	"28.299"	"28.098"	"28.057"	"27.504"	"26.061"	"25.086"
"1902"	"25.634"	"25.447"	"27.775"	"29.6"	"29.82"	"29.296"	"28.137"	"28.339"	"27.894"	"26.793"	"25.986"	"25.561"
"1903"	"25.952"	"26.991"	"28.127"	"29.781"	"29.782"	"29.242"	"28.303"	"27.82"	"27.864"	"27.606"	"26.049"	"24.69"
"1904"	"24.942"	"25.479"	"27.231"	"29.595"	"29.525"	"28.351"	"27.836"	"27.606"	"28.272"	"27.598"	"26.371"	"24.651"
"1905"	"25.092"	"26.674"	"28.646"	"28.917"	"29.582"	"29.107"	"29.265"	"28.249"	"28.408"	"27.405"	"26.262"	"25.374"
"1906"	"25.993"	"27.36"	"27.982"	"30.237"	"30.23"	"29.028"	"28.636"	"27.522"	"28.01"	"27.146"	"25.858"	"25.48"
"1907"	"25.306"	"26.274"	"28.041"	"29.051"	"29.851"	"28.917"	"28.309"	"27.394"	"28.273"	"27.196"	"26.153"	"25.407"
"1908"	"25.473"	"25.824"	"27.406"	"30.293"	"29.652"	"28.836"	"27.794"	"27.655"	"27.453"	"27.196"	"25.782"	"24.674"
"1909"	"25.326"	"26.273"	"28.026"	"29.472"	"29.246"	"28.573"	"27.527"	"27.211"	"27.24"	"27.199"	"26.441"	"25.684"
"1910"	"25.48"	"25.883"	"27.362"	"29.062"	"30.14"	"28.898"	"27.996"	"27.327"	"27.383"	"27.002"	"25.775"	"24.844"
"1911"	"25.2"	"25.757"	"27.637"	"29.115"	"29.341"	"28.001"	"27.821"	"27.587"	"28.064"	"26.824"	"25.987"	"25.174"
"1912"	"24.775"	"26.893"	"28.513"	"29.91"	"30.16"	"28.752"	"28.232"	"27.961"	"27.643"	"27.002"	"26.373"	"24.882"
"1913"	"24.716"	"26.555"	"28.31"	"30.015"	"30.09"	"29.409"	"27.841"	"27.756"	"27.885"	"27.096"	"25.552"	"25.247"
"1914"	"25.084"	"26.493"	"27.998"	"29.616"	"29.717"	"29.297"	"28.007"	"27.552"	"27.854"	"26.761"	"25.928"	"25.444"
"1915"	"25.499"	"26.448"	"27.538"	"29.235"	"29.746"	"28.795"	"28.062"	"28.478"	"27.965"	"27.7"	"26.692"	"25.414"
"1916"	"24.984"	"26.433"	"28.123"	"29.963"	"29.811"	"28.002"	"27.841"	"27.528"	"27.241"	"27.049"	"26.244"	"24.356"
"1917"	"24.453"	"25.459"	"27"	"29.114"	"29.12"	"28.042"	"28.298"	"27.867"	"27.532"	"26.785"	"26.142"	"24.667"
"1918"	"24.705"	"24.809"	"26.434"	"29.141"	"28.924"	"27.743"	"27.827"	"27.781"	"27.261"	"27.218"	"26.148"	"25.075"
"1919"	"26.128"	"27.208"	"27.602"	"29.685"	"29.951"	"28.508"	"27.923"	"27.451"	"27.559"	"27.088"	"26.013"	"25.274"
