
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1902"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1903"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1904"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1905"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1906"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1907"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1908"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1909"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1910"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1911"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1912"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1913"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1914"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1915"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1916"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1917"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1918"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1919"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1920"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1921"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1922"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1923"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1924"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1925"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1926"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1927"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1928"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1929"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1930"	"35.061"	"31.043"	"32.569"	"45.677"	"55.688"	"72.813"	"77.446"	"71.314"	"65.074"	"63.879"	"57.205"	"45.143"
"1931"	"33.736"	"29.421"	"31.286"	"45.677"	"52.963"	"70.355"	"74.119"	"71.314"	"62.586"	"58.852"	"53.594"	"46.175"
"1932"	"31.904"	"33.668"	"34.027"	"50.462"	"61.328"	"77.345"	"81.373"	"72.315"	"67.52"	"72.516"	"66.484"	"45.143"
"1933"	"35.061"	"32.154"	"32.569"	"45.677"	"52.868"	"72.356"	"76.052"	"70.157"	"65.074"	"63.879"	"56.604"	"43.945"
"1934"	"36.77"	"30.312"	"32.569"	"47.65"	"55.688"	"72.837"	"74.714"	"68.725"	"62.519"	"63.234"	"54.379"	"42.404"
