
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.59"	"4.17"	"4.66"	"4.82"	"4.79"	"4.55"	"4.49"	"4.48"	"4.38"	"3.98"	"3.44"	"3.15"
"1902"	"3.52"	"3.99"	"4.67"	"4.87"	"4.83"	"4.6"	"4.47"	"4.51"	"4.36"	"3.88"	"3.44"	"3.18"
"1903"	"3.54"	"4.15"	"4.71"	"4.88"	"4.82"	"4.59"	"4.49"	"4.47"	"4.37"	"3.97"	"3.44"	"3.11"
"1904"	"3.46"	"4"	"4.61"	"4.86"	"4.79"	"4.5"	"4.44"	"4.43"	"4.4"	"3.97"	"3.45"	"3.11"
"1905"	"3.46"	"4.13"	"4.76"	"4.79"	"4.8"	"4.57"	"4.58"	"4.49"	"4.41"	"3.97"	"3.44"	"3.16"
"1906"	"3.55"	"4.18"	"4.69"	"4.93"	"4.87"	"4.56"	"4.53"	"4.43"	"4.39"	"3.92"	"3.42"	"3.17"
"1907"	"3.5"	"4.07"	"4.69"	"4.81"	"4.83"	"4.55"	"4.5"	"4.41"	"4.4"	"3.92"	"3.44"	"3.16"
"1908"	"3.52"	"4.03"	"4.63"	"4.94"	"4.8"	"4.54"	"4.43"	"4.43"	"4.35"	"3.92"	"3.4"	"3.11"
"1909"	"3.5"	"4.07"	"4.69"	"4.85"	"4.77"	"4.51"	"4.41"	"4.38"	"4.32"	"3.92"	"3.46"	"3.19"
"1910"	"3.52"	"4.04"	"4.64"	"4.81"	"4.85"	"4.55"	"4.45"	"4.41"	"4.33"	"3.92"	"3.41"	"3.12"
"1911"	"3.47"	"4.02"	"4.66"	"4.83"	"4.77"	"4.46"	"4.44"	"4.43"	"4.38"	"3.89"	"3.44"	"3.16"
"1912"	"3.44"	"4.13"	"4.74"	"4.9"	"4.85"	"4.53"	"4.48"	"4.47"	"4.35"	"3.92"	"3.45"	"3.13"
"1913"	"3.44"	"4.12"	"4.72"	"4.9"	"4.84"	"4.59"	"4.44"	"4.44"	"4.37"	"3.92"	"3.38"	"3.17"
"1914"	"3.47"	"4.11"	"4.68"	"4.87"	"4.82"	"4.59"	"4.46"	"4.43"	"4.36"	"3.88"	"3.43"	"3.16"
"1915"	"3.52"	"4.1"	"4.65"	"4.83"	"4.82"	"4.54"	"4.46"	"4.51"	"4.4"	"3.98"	"3.48"	"3.17"
