
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"30.478"	"31.529"	"32.131"	"33.192"	"33.47"	"32.673"	"32.003"	"31.801"	"31.8"	"31.092"	"29.521"	"28.535"
"1902"	"29.586"	"29.82"	"32.257"	"33.713"	"33.786"	"33.027"	"31.84"	"32.045"	"31.636"	"30.342"	"29.446"	"29.01"
"1903"	"29.903"	"31.363"	"32.611"	"33.894"	"33.752"	"32.971"	"32.007"	"31.523"	"31.606"	"31.193"	"29.51"	"28.138"
"1904"	"28.894"	"29.852"	"31.714"	"33.71"	"33.491"	"32.081"	"31.541"	"31.29"	"32.012"	"31.186"	"29.831"	"28.099"
"1905"	"29.044"	"31.045"	"33.106"	"33.029"	"33.554"	"32.838"	"32.97"	"31.954"	"32.149"	"30.992"	"29.721"	"28.798"
"1906"	"29.944"	"31.732"	"32.464"	"34.35"	"34.203"	"32.76"	"32.334"	"31.226"	"31.749"	"30.736"	"29.317"	"28.929"
"1907"	"29.258"	"30.646"	"32.522"	"33.166"	"33.821"	"32.649"	"32.015"	"31.099"	"32.014"	"30.785"	"29.614"	"28.83"
"1908"	"29.426"	"30.195"	"31.889"	"34.408"	"33.623"	"32.567"	"31.498"	"31.336"	"31.194"	"30.785"	"29.243"	"28.123"
"1909"	"29.276"	"30.646"	"32.479"	"33.585"	"33.211"	"32.304"	"31.232"	"30.914"	"30.98"	"30.788"	"29.902"	"29.132"
"1910"	"29.432"	"30.254"	"31.845"	"33.174"	"34.111"	"32.629"	"31.699"	"31.03"	"31.123"	"30.593"	"29.237"	"28.291"
"1911"	"29.151"	"30.129"	"32.12"	"33.227"	"33.307"	"31.728"	"31.524"	"31.291"	"31.807"	"30.373"	"29.447"	"28.621"
"1912"	"28.724"	"31.266"	"32.996"	"34.024"	"34.132"	"32.483"	"31.935"	"31.663"	"31.384"	"30.593"	"29.833"	"28.308"
"1913"	"28.665"	"30.927"	"32.794"	"34.13"	"34.06"	"33.139"	"31.544"	"31.46"	"31.603"	"30.687"	"29.012"	"28.694"
"1914"	"29.036"	"30.866"	"32.452"	"33.728"	"33.687"	"33.027"	"31.709"	"31.256"	"31.572"	"30.31"	"29.39"	"28.895"
"1915"	"29.452"	"30.82"	"32.021"	"33.351"	"33.715"	"32.525"	"31.765"	"32.185"	"31.706"	"31.286"	"30.152"	"28.863"
