
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.609"	"22.831"	"23.235"	"24.973"	"25.537"	"25.242"	"24.625"	"24.452"	"24.381"	"23.916"	"22.67"	"21.702"
"1902"	"21.718"	"21.161"	"23.298"	"25.494"	"25.852"	"25.589"	"24.461"	"24.671"	"24.216"	"23.205"	"22.575"	"22.178"
"1903"	"22.036"	"22.705"	"23.679"	"25.674"	"25.818"	"25.519"	"24.629"	"24.152"	"24.164"	"24.058"	"22.64"	"21.328"
"1904"	"21.025"	"21.193"	"22.82"	"25.489"	"25.557"	"24.628"	"24.162"	"23.937"	"24.594"	"24.049"	"22.987"	"21.264"
"1905"	"21.153"	"22.348"	"24.168"	"24.809"	"25.619"	"25.401"	"25.589"	"24.58"	"24.73"	"23.815"	"22.864"	"21.99"
"1906"	"22.078"	"23.075"	"23.563"	"26.124"	"26.264"	"25.33"	"24.954"	"23.874"	"24.291"	"23.597"	"22.466"	"22.099"
"1907"	"21.392"	"21.988"	"23.604"	"24.947"	"25.887"	"25.218"	"24.635"	"23.749"	"24.595"	"23.646"	"22.768"	"22.023"
"1908"	"21.56"	"21.538"	"22.953"	"26.19"	"25.686"	"25.135"	"24.119"	"23.985"	"23.708"	"23.646"	"22.374"	"21.289"
"1909"	"21.411"	"21.987"	"23.588"	"25.366"	"25.277"	"24.873"	"23.853"	"23.563"	"23.561"	"23.65"	"23.034"	"22.323"
"1910"	"21.566"	"21.598"	"22.888"	"24.955"	"26.177"	"25.198"	"24.32"	"23.657"	"23.681"	"23.416"	"22.377"	"21.483"
"1911"	"21.283"	"21.471"	"23.178"	"25.008"	"25.374"	"24.3"	"24.143"	"23.94"	"24.389"	"23.236"	"22.576"	"21.79"
"1912"	"20.857"	"22.607"	"24.084"	"25.804"	"26.193"	"25.052"	"24.556"	"24.314"	"23.923"	"23.416"	"22.988"	"21.5"
"1913"	"20.776"	"22.27"	"23.833"	"25.909"	"26.127"	"25.708"	"24.166"	"24.087"	"24.185"	"23.55"	"22.165"	"21.862"
"1914"	"21.171"	"22.208"	"23.56"	"25.51"	"25.753"	"25.597"	"24.33"	"23.904"	"24.154"	"23.173"	"22.543"	"22.085"
"1915"	"21.584"	"22.162"	"23.124"	"25.123"	"25.78"	"25.088"	"24.386"	"24.833"	"24.225"	"24.153"	"23.305"	"22.032"
"1916"	"21.066"	"22.149"	"23.664"	"25.856"	"25.847"	"24.301"	"24.166"	"23.881"	"23.561"	"23.462"	"22.854"	"20.996"
"1917"	"20.537"	"21.172"	"22.572"	"25.007"	"25.156"	"24.343"	"24.623"	"24.2"	"23.829"	"23.196"	"22.756"	"21.282"
"1918"	"20.763"	"20.523"	"22.005"	"25.034"	"24.964"	"24.038"	"24.151"	"24.112"	"23.581"	"23.667"	"22.74"	"21.693"
"1919"	"22.191"	"22.882"	"23.155"	"25.578"	"25.986"	"24.809"	"24.248"	"23.781"	"23.857"	"23.542"	"22.628"	"21.913"
"1920"	"21.47"	"22.348"	"23.81"	"25.339"	"25.939"	"25.433"	"24.765"	"24.507"	"24.258"	"23.916"	"22.669"	"21.119"
"1921"	"21.584"	"22.057"	"23.795"	"25.378"	"26.419"	"25.808"	"24.494"	"24.493"	"23.96"	"23.644"	"22.517"	"21.453"
"1922"	"21.489"	"21.44"	"23.151"	"25.136"	"25.56"	"25.356"	"24.565"	"24.314"	"23.977"	"23.351"	"22.901"	"21.196"
"1923"	"20.74"	"21.796"	"23.137"	"25.548"	"25.66"	"25.354"	"24.297"	"24.043"	"24.222"	"23.643"	"23.068"	"21.621"
"1924"	"21.085"	"22.295"	"23.593"	"25.828"	"27.079"	"25.515"	"24.754"	"24.364"	"24.162"	"23.844"	"22.902"	"21.363"
"1925"	"20.95"	"21.765"	"23.279"	"26.088"	"25.741"	"25.358"	"24.401"	"24.004"	"24.196"	"23.783"	"22.479"	"21.422"
"1926"	"21.56"	"21.994"	"23.831"	"25.514"	"25.939"	"25.555"	"24.885"	"24.569"	"24.162"	"23.809"	"22.25"	"21.988"
"1927"	"21.585"	"22.285"	"23.869"	"25.117"	"25.27"	"24.826"	"24.565"	"24.445"	"24.061"	"23.69"	"22.766"	"22.064"
"1928"	"21.772"	"22.702"	"23.124"	"25.429"	"26.147"	"25.327"	"24.405"	"24.307"	"24.685"	"23.79"	"22.377"	"21.798"
"1929"	"21.724"	"22.188"	"23.32"	"24.314"	"25.382"	"24.755"	"24.561"	"24.318"	"24.154"	"23.643"	"22.455"	"21.735"
"1930"	"21.433"	"22.355"	"23.452"	"25.256"	"24.928"	"25.089"	"25.063"	"24.105"	"24.201"	"23.118"	"22.943"	"22.172"
"1931"	"21.665"	"22.323"	"23.677"	"25.715"	"26.433"	"25.519"	"24.846"	"24.717"	"24.248"	"23.968"	"22.672"	"21.562"
"1932"	"21.16"	"21.991"	"23.082"	"25.253"	"25.324"	"24.805"	"24.363"	"24.144"	"24.174"	"23.405"	"23.024"	"21.621"
"1933"	"21.437"	"22.031"	"23.079"	"24.971"	"25.055"	"24.71"	"24.638"	"24.079"	"23.965"	"23.185"	"22.899"	"21.867"
"1934"	"21.461"	"20.985"	"22.767"	"25.169"	"25.843"	"25.358"	"24.723"	"24.507"	"24.685"	"23.927"	"22.716"	"21.369"
"1935"	"21.426"	"21.815"	"23.15"	"25.49"	"26.374"	"25.592"	"24.362"	"24.085"	"24.146"	"23.707"	"22.478"	"21.988"
"1936"	"22.157"	"22.614"	"23.41"	"25.585"	"26.048"	"24.575"	"24.942"	"24.814"	"24.385"	"23.702"	"22.943"	"22.395"
"1937"	"21.665"	"22.681"	"23.221"	"24.764"	"25.956"	"25.24"	"24.413"	"24.7"	"24.583"	"23.55"	"22.879"	"21.992"
"1938"	"22.04"	"22.315"	"23.757"	"25.075"	"25.984"	"25.01"	"24.355"	"24.061"	"24.146"	"23.256"	"22.678"	"21.691"
"1939"	"21.058"	"21.289"	"22.953"	"24.67"	"24.974"	"24.859"	"24.117"	"23.937"	"24.095"	"23.866"	"22.276"	"21.897"
