
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.12"	"5.77"	"6.23"	"6.08"	"5.89"	"5.38"	"5.26"	"5.36"	"5.37"	"5.01"	"4.61"	"4.55"
"1902"	"5.08"	"5.68"	"6.2"	"6.09"	"5.9"	"5.41"	"5.25"	"5.38"	"5.41"	"4.98"	"4.6"	"4.55"
"1903"	"5.08"	"5.74"	"6.23"	"6.1"	"5.91"	"5.41"	"5.28"	"5.37"	"5.36"	"5"	"4.64"	"4.53"
"1904"	"5.05"	"5.68"	"6.15"	"6.08"	"5.92"	"5.38"	"5.25"	"5.31"	"5.36"	"5.01"	"4.64"	"4.55"
"1905"	"5.04"	"5.7"	"6.27"	"6.09"	"5.88"	"5.37"	"5.31"	"5.38"	"5.41"	"5.01"	"4.61"	"4.54"
"1906"	"5.05"	"5.75"	"6.22"	"6.1"	"5.94"	"5.39"	"5.29"	"5.35"	"5.38"	"5"	"4.6"	"4.55"
"1907"	"5.07"	"5.7"	"6.23"	"6.08"	"5.9"	"5.4"	"5.29"	"5.32"	"5.36"	"4.99"	"4.61"	"4.55"
"1908"	"5.08"	"5.71"	"6.16"	"6.1"	"5.92"	"5.4"	"5.25"	"5.34"	"5.37"	"4.98"	"4.62"	"4.52"
"1909"	"5.05"	"5.7"	"6.2"	"6.1"	"5.91"	"5.38"	"5.25"	"5.32"	"5.33"	"4.96"	"4.62"	"4.55"
"1910"	"5.08"	"5.72"	"6.2"	"6.04"	"5.9"	"5.4"	"5.27"	"5.33"	"5.34"	"4.99"	"4.61"	"4.51"
"1911"	"5.06"	"5.69"	"6.2"	"6.08"	"5.91"	"5.35"	"5.23"	"5.32"	"5.37"	"4.98"	"4.61"	"4.55"
"1912"	"5.03"	"5.7"	"6.24"	"6.1"	"5.95"	"5.4"	"5.25"	"5.36"	"5.38"	"4.99"	"4.61"	"4.55"
"1913"	"5.04"	"5.69"	"6.24"	"6.1"	"5.92"	"5.43"	"5.27"	"5.35"	"5.36"	"4.99"	"4.6"	"4.55"
"1914"	"5.05"	"5.71"	"6.2"	"6.09"	"5.9"	"5.41"	"5.28"	"5.33"	"5.36"	"4.98"	"4.59"	"4.54"
"1915"	"5.08"	"5.72"	"6.21"	"6.07"	"5.9"	"5.4"	"5.25"	"5.37"	"5.39"	"4.98"	"4.63"	"4.57"
"1916"	"5.05"	"5.69"	"6.21"	"6.1"	"5.94"	"5.36"	"5.25"	"5.35"	"5.33"	"4.97"	"4.65"	"4.55"
"1917"	"5.03"	"5.67"	"6.17"	"6.07"	"5.9"	"5.34"	"5.25"	"5.37"	"5.37"	"4.96"	"4.61"	"4.55"
"1918"	"5.07"	"5.66"	"6.12"	"6.06"	"5.91"	"5.33"	"5.22"	"5.37"	"5.34"	"4.97"	"4.62"	"4.51"
"1919"	"5.06"	"5.77"	"6.23"	"6.08"	"5.93"	"5.39"	"5.25"	"5.34"	"5.36"	"4.98"	"4.61"	"4.54"
"1920"	"5.05"	"5.73"	"6.25"	"6.09"	"5.9"	"5.41"	"5.28"	"5.36"	"5.38"	"5.01"	"4.63"	"4.52"
"1921"	"5.05"	"5.7"	"6.25"	"6.09"	"5.91"	"5.43"	"5.28"	"5.37"	"5.38"	"4.98"	"4.62"	"4.51"
"1922"	"5.07"	"5.69"	"6.2"	"6.08"	"5.9"	"5.39"	"5.28"	"5.36"	"5.38"	"4.98"	"4.64"	"4.55"
"1923"	"5.03"	"5.69"	"6.19"	"6.09"	"5.9"	"5.4"	"5.25"	"5.35"	"5.36"	"4.98"	"4.62"	"4.55"
