
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.919"	"41.576"	"16.802"	"47.106"	"50.081"	"30.463"	"27.649"	"43.405"	"221.052"	"118.318"	"222.092"	"56.794"
"1902"	"59.478"	"48.29"	"23.395"	"19.968"	"62.03"	"61.499"	"12.634"	"75.075"	"77.997"	"245.282"	"189.586"	"134.472"
"1903"	"12.982"	"8.134"	"0.193"	"11.494"	"124.891"	"36.217"	"32.772"	"151.673"	"242.863"	"97.826"	"163.898"	"245.648"
"1904"	"21.857"	"0.196"	"0.193"	"5.044"	"80.833"	"7.203"	"45.517"	"24.922"	"44.198"	"92.408"	"36.276"	"75.108"
"1905"	"1.57"	"0.15"	"4.653"	"70.775"	"61.656"	"12.73"	"20.347"	"68.855"	"71.931"	"203.196"	"152.818"	"14.256"
"1906"	"31.061"	"24.636"	"29.352"	"3"	"35.718"	"21.591"	"23.833"	"126.148"	"7.757"	"265.649"	"229.409"	"92.805"
"1907"	"8.413"	"8.767"	"5.148"	"118.16"	"65.925"	"30.116"	"49.076"	"30.867"	"81.228"	"194.472"	"298.805"	"41.599"
"1908"	"4.736"	"90.748"	"24.272"	"37.186"	"29.771"	"32.174"	"42.531"	"50.444"	"161.406"	"245.61"	"18.06"	"29.87"
"1909"	"40.215"	"48.12"	"1.828"	"31.147"	"117.727"	"5.598"	"4.97"	"145.95"	"74.184"	"135.079"	"71.388"	"28.543"
"1910"	"13.125"	"96.952"	"0.193"	"23.498"	"31.173"	"17.068"	"137.423"	"133.918"	"42.31"	"189.854"	"124.488"	"1.278"
"1911"	"1.956"	"16.851"	"4.268"	"36.371"	"44.8"	"32.987"	"22.056"	"16.899"	"111.759"	"106.158"	"186.518"	"139.827"
"1912"	"1.923"	"0.396"	"5.085"	"18.226"	"53.637"	"72.108"	"7.506"	"42.43"	"117.801"	"197.718"	"194.202"	"44.797"
"1913"	"3.46"	"2.284"	"0.194"	"33.359"	"40.563"	"12.589"	"34.573"	"34.334"	"71.974"	"304.952"	"256.528"	"103.65"
"1914"	"4.111"	"0.374"	"0.217"	"34.448"	"14.191"	"29.414"	"5.593"	"73.617"	"84.75"	"254.319"	"89.647"	"146.488"
"1915"	"7.699"	"35.285"	"14.451"	"99.122"	"64.254"	"14.293"	"79.165"	"96.189"	"140.735"	"131.088"	"267.851"	"83.708"
"1916"	"0.056"	"0.044"	"5.021"	"17.679"	"32.338"	"9.909"	"183.088"	"107.379"	"115.26"	"140.736"	"128.992"	"53.63"
"1917"	"11.785"	"31.322"	"65.371"	"1.608"	"87.643"	"32.694"	"35.473"	"190.448"	"105.389"	"80.752"	"193.912"	"44.42"
"1918"	"32.377"	"20.4"	"7.411"	"4.298"	"25.048"	"32.042"	"44.667"	"48.482"	"30.344"	"47.452"	"356.192"	"85.776"
"1919"	"5.732"	"0.202"	"10.086"	"12.325"	"62.728"	"55.217"	"57.044"	"55.854"	"133.376"	"145.362"	"322.01"	"183.89"
"1920"	"84.859"	"0.646"	"0.255"	"81.525"	"47.373"	"27.326"	"5.697"	"29.532"	"165.088"	"214.677"	"483.25"	"10.301"
"1921"	"89.978"	"0.018"	"0.238"	"86.614"	"29.679"	"52.993"	"93.293"	"75.298"	"104.607"	"198.215"	"74.851"	"88.38"
"1922"	"15.52"	"59.758"	"0.193"	"31.042"	"117.926"	"26.983"	"15.332"	"60.327"	"66.086"	"216.634"	"202.791"	"63.801"
"1923"	"64.867"	"10.972"	"22.395"	"17.013"	"17.543"	"13.465"	"3.95"	"13.302"	"127.581"	"233.9"	"20.926"	"150.156"
"1924"	"19.792"	"0.018"	"51.715"	"23.066"	"74.708"	"9.448"	"57.366"	"73.857"	"123.316"	"78.916"	"147.016"	"27.785"
"1925"	"12.952"	"5.215"	"43.41"	"21.742"	"107.321"	"45.465"	"17.995"	"95.49"	"28.639"	"156.185"	"261.956"	"159.62"
"1926"	"40.742"	"8.237"	"9.967"	"23.85"	"52.713"	"24.268"	"51.526"	"57.87"	"105.77"	"124.356"	"141.858"	"28.793"
"1927"	"16.834"	"28.27"	"13.35"	"124.809"	"74.408"	"52.536"	"31.255"	"31.663"	"86.831"	"90.696"	"131.246"	"39.789"
"1928"	"34.6"	"79.952"	"11.248"	"55.255"	"62.076"	"4.43"	"93.862"	"28.595"	"19.167"	"121.193"	"232.235"	"118.663"
"1929"	"9.893"	"10.024"	"1.57"	"92.17"	"35.602"	"38.466"	"26.937"	"36.154"	"150.644"	"149.955"	"173.692"	"114.156"
"1930"	"35.806"	"20.06"	"6.97"	"19.202"	"204.847"	"19.493"	"15.652"	"34.41"	"42.535"	"391.246"	"132.5"	"32.37"
"1931"	"25.455"	"0.388"	"0.194"	"101.941"	"51.466"	"40.555"	"46.287"	"58.057"	"100.63"	"80.338"	"176.993"	"370.319"
"1932"	"0.756"	"4.78"	"25.238"	"83.728"	"89.796"	"26.51"	"20.592"	"97.313"	"70.283"	"215.321"	"305.136"	"113.262"
"1933"	"4.606"	"59.825"	"18.037"	"34.494"	"74.257"	"37.296"	"42.199"	"138.62"	"61.138"	"299.998"	"95.841"	"118.847"
"1934"	"81.144"	"0.018"	"0.799"	"37.421"	"34.272"	"21.302"	"48.699"	"17.315"	"9.922"	"260.322"	"177.344"	"18.784"
"1935"	"29.492"	"1.643"	"18.056"	"149.748"	"12.922"	"55.562"	"11.905"	"88.95"	"30.288"	"136.107"	"204.981"	"120.964"
"1936"	"1.129"	"95.641"	"85.948"	"31.1"	"25.778"	"26.49"	"66.085"	"24.257"	"77.553"	"63.429"	"324.112"	"108.202"
"1937"	"9.892"	"25.989"	"40.011"	"77.17"	"37.578"	"18.086"	"23.098"	"131.782"	"80.776"	"250.742"	"288.657"	"17.698"
"1938"	"1.879"	"42.317"	"75.562"	"61.044"	"35.412"	"24.746"	"80.079"	"89.247"	"118.035"	"109.409"	"30.436"	"54.693"
"1939"	"34.322"	"7.988"	"11.65"	"125.663"	"69.012"	"45.609"	"5.658"	"120.639"	"38.728"	"192.069"	"410.738"	"21.76"
"1940"	"3.441"	"0.194"	"12.476"	"52.284"	"36.491"	"54.825"	"18.35"	"15.991"	"115.801"	"146.822"	"354.585"	"59.244"
"1941"	"17.434"	"5.773"	"6.759"	"101.923"	"50.177"	"21.794"	"42.3"	"41.213"	"97.212"	"195.389"	"251.588"	"117.631"
"1942"	"0.418"	"0.018"	"4.473"	"143.282"	"38.628"	"4.522"	"5.404"	"86.242"	"98.163"	"115.039"	"154.119"	"203.04"
"1943"	"72.224"	"38.287"	"6.273"	"124.022"	"137.941"	"20.545"	"33.687"	"58.532"	"36.283"	"261.785"	"93.444"	"38.971"
"1944"	"10.405"	"61.673"	"49.678"	"3.541"	"23.797"	"89.376"	"19.451"	"58.434"	"119.216"	"166.936"	"246.864"	"99.528"
"1945"	"1.217"	"3.891"	"3.924"	"70.019"	"12.633"	"18.791"	"22.994"	"64.243"	"46.339"	"169.219"	"180.379"	"30.41"
"1946"	"10.297"	"4.162"	"31.553"	"51.453"	"77.262"	"24.534"	"20.47"	"37.896"	"59.02"	"112.467"	"337.744"	"199.627"
"1947"	"37.966"	"26.534"	"69.316"	"104.713"	"44.242"	"29.209"	"115.163"	"79.376"	"128.142"	"172.996"	"24.338"	"17.905"
"1948"	"22.199"	"2.926"	"5.572"	"37.602"	"90.175"	"23.73"	"46.678"	"26.099"	"51.336"	"137.014"	"265.057"	"40.802"
"1949"	"10.897"	"0.165"	"0.193"	"97.624"	"68.14"	"24.797"	"63.07"	"230.297"	"34.944"	"195.219"	"126.753"	"25.961"
"1950"	"3.879"	"55.304"	"20.139"	"9.336"	"45.14"	"5.468"	"20.13"	"169.974"	"23.249"	"187.929"	"164.77"	"38.688"
"1951"	"8.142"	"5.989"	"10.451"	"105.383"	"66.761"	"12.782"	"65.254"	"42.175"	"68.211"	"114.129"	"215.861"	"24.006"
"1952"	"17.29"	"51.748"	"7.032"	"21.571"	"17.31"	"54.197"	"117.486"	"42.421"	"9.208"	"78.818"	"52.183"	"171.589"
