
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"25.793"	"25.023"	"26.492"	"29.873"	"31.207"	"29.795"	"29.187"	"29.37"	"29.478"	"28.97"	"27.591"	"25.434"
"1902"	"24.46"	"24.043"	"26.861"	"29.845"	"31.207"	"29.797"	"29.187"	"29.918"	"29.478"	"28.97"	"27.459"	"25.897"
"1903"	"24.46"	"25.024"	"26.285"	"29.85"	"31.207"	"29.795"	"29.252"	"29.37"	"29.478"	"28.97"	"26.998"	"25.351"
"1904"	"23.985"	"23.585"	"25.46"	"29.918"	"30.677"	"29.538"	"29.187"	"29.37"	"29.478"	"28.97"	"27.399"	"25.552"
"1905"	"24.46"	"24.821"	"26.562"	"29.334"	"31.145"	"29.969"	"30.467"	"29.37"	"29.785"	"28.97"	"27.591"	"25.312"
"1906"	"24.46"	"24.958"	"26.33"	"29.878"	"31.208"	"29.975"	"29.187"	"29.37"	"29.478"	"28.97"	"27.598"	"25.359"
"1907"	"24.46"	"25.027"	"26.861"	"29.198"	"31.207"	"29.796"	"29.187"	"28.656"	"29.478"	"28.97"	"27.591"	"25.479"
"1908"	"24.46"	"24.479"	"26.049"	"29.843"	"31.207"	"29.795"	"28.68"	"29.022"	"29.478"	"28.97"	"27.192"	"25.042"
"1909"	"23.888"	"25.027"	"26.861"	"29.841"	"31.207"	"29.975"	"28.231"	"29.093"	"28.629"	"28.97"	"27.523"	"25.589"
"1910"	"24.46"	"24.873"	"25.782"	"29.848"	"31.207"	"29.797"	"29.187"	"29.37"	"29.478"	"28.97"	"27.332"	"24.842"
"1911"	"24.46"	"24.439"	"26.861"	"29.85"	"31.207"	"28.974"	"29.187"	"29.365"	"29.478"	"28.97"	"27.591"	"25.897"
"1912"	"23.673"	"25.027"	"26.861"	"29.848"	"31.207"	"29.795"	"29.187"	"29.365"	"29.478"	"28.97"	"27.614"	"25.461"
"1913"	"23.642"	"25.029"	"26.861"	"29.843"	"31.207"	"29.933"	"29.187"	"29.433"	"29.478"	"28.97"	"27.643"	"25.897"
"1914"	"24.462"	"25.027"	"26.861"	"29.841"	"31.207"	"29.795"	"29.287"	"29.37"	"29.478"	"28.97"	"27.621"	"25.897"
"1915"	"24.46"	"24.932"	"26.861"	"29.873"	"31.207"	"29.796"	"29.187"	"29.37"	"29.478"	"28.976"	"27.649"	"25.897"
"1916"	"23.988"	"24.959"	"26.263"	"29.848"	"31.207"	"29.797"	"29.187"	"29.37"	"29.478"	"28.97"	"27.591"	"24.803"
"1917"	"23.545"	"24.715"	"25.432"	"29.847"	"31.058"	"29.257"	"29.233"	"29.37"	"29.325"	"28.739"	"27.361"	"25.556"
"1918"	"24.111"	"23.698"	"25.461"	"29.846"	"29.448"	"28.904"	"30.07"	"29.37"	"28.306"	"28.999"	"27.638"	"25.897"
"1919"	"25.286"	"25.027"	"26.199"	"29.848"	"31.207"	"29.795"	"29.188"	"29.365"	"29.478"	"28.97"	"27.591"	"25.897"
"1920"	"24.46"	"24.897"	"27.258"	"29.848"	"31.207"	"29.797"	"29.207"	"29.342"	"29.87"	"28.97"	"27.591"	"24.91"
"1921"	"24.46"	"24.378"	"26.861"	"29.847"	"31.207"	"29.797"	"29.187"	"29.37"	"29.478"	"28.907"	"27.328"	"25.217"
"1922"	"24.46"	"24.226"	"26.861"	"29.848"	"31.145"	"29.795"	"29.187"	"29.37"	"29.478"	"28.97"	"27.591"	"24.421"
"1923"	"23.698"	"24.73"	"25.579"	"29.848"	"31.208"	"29.795"	"29.188"	"29.491"	"29.478"	"28.97"	"27.643"	"25.88"
"1924"	"23.859"	"25.027"	"26.861"	"29.848"	"31.669"	"29.454"	"29.187"	"29.37"	"29.478"	"28.97"	"27.194"	"25.042"
"1925"	"23.679"	"24.673"	"26.273"	"29.85"	"31.207"	"29.922"	"29.187"	"29.37"	"29.478"	"28.97"	"27.643"	"25.167"
"1926"	"24.46"	"25.027"	"26.861"	"29.848"	"31.207"	"29.797"	"29.188"	"29.37"	"29.478"	"28.97"	"27.518"	"25.897"
"1927"	"24.46"	"25.027"	"26.861"	"29.85"	"30.342"	"29.605"	"29.187"	"29.37"	"29.478"	"28.97"	"27.566"	"25.897"
"1928"	"24.46"	"25.027"	"26.169"	"29.878"	"31.207"	"29.933"	"29.188"	"29.237"	"29.478"	"28.97"	"27.484"	"25.897"
"1929"	"24.46"	"24.99"	"26.367"	"28.177"	"31.207"	"29.507"	"29.187"	"29.301"	"29.403"	"28.97"	"27.52"	"25.713"
"1930"	"24.451"	"24.701"	"26.861"	"29.873"	"30.403"	"29.795"	"29.187"	"29.37"	"29.478"	"28.051"	"27.396"	"25.897"
