
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.6642"	"2.695"	"2.0156"	"2.0761"	"2.4814"	"1.25"	"1.7513"	"2.1564"	"5.881"	"5.7759"	"9.106"	"4.3612"
"1902"	"3.7717"	"2.9537"	"2.3245"	"1.7609"	"2.3173"	"3.1154"	"1.2759"	"3.0708"	"4.0542"	"10.3656"	"7.5681"	"4.7744"
"1903"	"1.3769"	"1.6835"	"0.1934"	"1.1092"	"4.615"	"1.9651"	"2.0116"	"5.2281"	"6.7449"	"7.5215"	"8.1535"	"5.9606"
"1904"	"1.8638"	"0.1875"	"0.1934"	"0.7096"	"2.8806"	"2.0193"	"4.7619"	"2.3393"	"2.7314"	"6.7"	"2.3826"	"4.1995"
"1905"	"0.9186"	"0.0361"	"1.229"	"4.59"	"3.5865"	"1.5962"	"2.3896"	"3.4132"	"3.2767"	"9.7736"	"6.7958"	"1.208"
"1906"	"3.0492"	"1.2181"	"2.1251"	"0.8374"	"2.1539"	"1.9641"	"2.6539"	"4.3563"	"3.2966"	"7.9817"	"8.7123"	"7.2976"
"1907"	"1.2523"	"1.1142"	"1.4972"	"4.4301"	"2.3835"	"2.5394"	"2.4907"	"3.583"	"5.1413"	"8.906"	"7.6594"	"4.3095"
"1908"	"1.9375"	"2.51"	"2.0397"	"1.6498"	"2.4041"	"1.0388"	"2.5508"	"3.1728"	"7.0741"	"10.2785"	"3.95"	"3.2412"
"1909"	"3.1754"	"2.1097"	"0.8833"	"3.6758"	"4.4762"	"2.1153"	"0.9998"	"7.7362"	"5.1096"	"7.6818"	"5.1686"	"2.7291"
"1910"	"1.7898"	"2.617"	"0.1934"	"2.6965"	"1.6482"	"2.0288"	"3.5155"	"6.0285"	"3.2764"	"9.5301"	"6.563"	"1.1061"
"1911"	"0.8253"	"1.1142"	"0.5747"	"1.3605"	"1.8903"	"2.2479"	"2.2292"	"1.9048"	"4.6845"	"6.9748"	"7.6034"	"6.0207"
"1912"	"1.2096"	"0.3302"	"1.1685"	"1.7682"	"2.1081"	"2.874"	"1.3407"	"3.7277"	"5.5025"	"9.2782"	"8.0663"	"1.86"
"1913"	"1.1191"	"0.907"	"0.1945"	"1.1548"	"2.0426"	"1.599"	"5.4348"	"2.7927"	"3.8136"	"8.324"	"9.0646"	"5.3181"
"1914"	"1.1478"	"0.3746"	"0.1984"	"4.0735"	"2.5904"	"1.4104"	"1.327"	"2.4554"	"5.8128"	"11.5869"	"6.7352"	"6.1993"
"1915"	"2.2232"	"1.7566"	"1.9756"	"2.9413"	"2.9318"	"1.5949"	"2.9688"	"3.4594"	"6.2111"	"4.2603"	"8.0068"	"3.4459"
"1916"	"0.0565"	"0.0299"	"1.053"	"2.1711"	"2.8654"	"1.5175"	"4.9021"	"4.0354"	"3.8659"	"7.881"	"7.3469"	"3.2246"
"1917"	"1.3948"	"1.7915"	"1.9105"	"1.0534"	"2.7133"	"2.7387"	"4.4425"	"4.9026"	"6.2688"	"5.1546"	"7.4757"	"3.6581"
"1918"	"3.6632"	"1.8489"	"1.2116"	"1.5741"	"2.9506"	"1.3584"	"1.9983"	"1.2184"	"2.6589"	"6.099"	"10.7289"	"5.4807"
"1919"	"2.4078"	"0.191"	"1.9447"	"1.5265"	"3.5658"	"3.233"	"3.2588"	"2.5743"	"5.7723"	"7.4584"	"9.6536"	"5.6915"
"1920"	"4.592"	"0.5026"	"0.2099"	"3.3637"	"1.1121"	"1.3394"	"1.2312"	"3.5513"	"4.6978"	"6.1621"	"11.6619"	"1.8257"
"1921"	"4.4777"	"0.0181"	"0.2382"	"3.2565"	"1.0108"	"2.5964"	"3.1039"	"4.2598"	"3.3986"	"9.0185"	"5.5623"	"3.5719"
"1922"	"2.1109"	"2.4612"	"0.1934"	"1.7827"	"3.2889"	"1.9566"	"1.5064"	"2.987"	"3.3576"	"9.1732"	"9.9948"	"5.1555"
"1923"	"4.1634"	"1.1142"	"3.1082"	"1.6771"	"1.1353"	"1.8296"	"1.0017"	"3.0787"	"5.4542"	"9.2141"	"3.8839"	"5.4254"
"1924"	"2.6194"	"0.0181"	"3.1302"	"2.6184"	"2.2018"	"1.6777"	"2.7606"	"3.7969"	"6.2037"	"5.9343"	"6.6299"	"3.4567"
"1925"	"2.7389"	"1.4732"	"3.7115"	"2.177"	"2.5982"	"1.8777"	"2.0646"	"4.7491"	"3.4271"	"7.5098"	"8.6836"	"6.8105"
"1926"	"2.9521"	"1.2248"	"1.7678"	"3.3296"	"3.4248"	"1.5116"	"2.9734"	"2.8827"	"6.3769"	"8.1804"	"7.2757"	"2.9987"
"1927"	"2.3173"	"1.9667"	"1.8128"	"4.2613"	"3.5611"	"2.6181"	"1.4319"	"2.3231"	"3.7742"	"5.3388"	"7.9408"	"2.7709"
"1928"	"2.0982"	"3.0033"	"1.1538"	"2.0255"	"2.1763"	"1.1917"	"4.6985"	"3.0838"	"3.7001"	"8.2582"	"8.5826"	"5.0277"
"1929"	"1.0691"	"1.8437"	"0.9828"	"4.8183"	"2.7567"	"3.1917"	"1.779"	"1.6899"	"5.1544"	"7.6069"	"8.1349"	"5.4213"
"1930"	"3.5844"	"2.216"	"1.5622"	"2.1226"	"4.9429"	"2.2367"	"2.2675"	"2.5685"	"3.4753"	"10.816"	"7.6858"	"3.6375"
"1931"	"2.4345"	"0.3122"	"0.1937"	"2.464"	"1.91"	"1.7064"	"2.214"	"2.2786"	"3.8203"	"6.1724"	"8.3067"	"7.9053"
"1932"	"0.707"	"0.6044"	"1.1581"	"3.6782"	"4.3956"	"1.1479"	"1.4894"	"4.6314"	"2.9316"	"10.7968"	"8.4433"	"4.8043"
"1933"	"1.1815"	"1.2284"	"2.6215"	"1.9512"	"3.4556"	"1.3551"	"2.7546"	"6.8553"	"3.3237"	"7.5326"	"6.4295"	"3.7536"
"1934"	"3.3214"	"0.0181"	"0.7061"	"2.2921"	"2.0406"	"1.8633"	"3.6447"	"3.3377"	"0.9946"	"10.8647"	"5.8876"	"2.5216"
"1935"	"3.3829"	"0.8143"	"1.2549"	"3.529"	"1.014"	"2.0332"	"1.2755"	"3.6553"	"3.4497"	"8.8745"	"6.094"	"5.0695"
"1936"	"0.9016"	"2.7113"	"3.6019"	"1.7129"	"2.7985"	"1.7158"	"2.3926"	"2.5622"	"6.0373"	"6.0211"	"8.146"	"4.0542"
"1937"	"1.9241"	"1.2039"	"2.8428"	"4.1706"	"1.8592"	"1.1612"	"2.3207"	"3.5971"	"5.5895"	"7.7178"	"8.9869"	"2.5559"
"1938"	"0.9323"	"2.7821"	"3.9306"	"3.5363"	"1.812"	"1.4089"	"3.7552"	"4.2083"	"5.4915"	"6.0823"	"4.2489"	"3.1964"
"1939"	"2.5126"	"0.9741"	"1.1703"	"4.6139"	"3.6113"	"1.0916"	"1.133"	"3.567"	"4.2011"	"7.8586"	"8.926"	"1.8637"
"1940"	"0.812"	"0.1857"	"1.1529"	"4.2384"	"4.1801"	"2.3673"	"1.2267"	"1.5765"	"4.0661"	"7.6904"	"10.7926"	"4.2971"
"1941"	"2.6116"	"1.4082"	"1.2982"	"3.6174"	"3.3231"	"1.955"	"1.5684"	"3.2535"	"5.8376"	"7.3904"	"8.7391"	"5.0406"
"1942"	"0.39"	"0.0181"	"1.1526"	"3.6317"	"2.5292"	"1.0422"	"1.173"	"3.5807"	"5.4479"	"7.0353"	"6.0407"	"8.0604"
"1943"	"3.6804"	"1.3235"	"0.7126"	"4.1035"	"5.4469"	"1.6228"	"2.0084"	"3.2265"	"3.5302"	"10.041"	"5.2217"	"4.7241"
"1944"	"1.5705"	"2.7019"	"4.2276"	"1.7593"	"1.6563"	"1.9451"	"1.9165"	"2.5949"	"3.3115"	"8.1482"	"9.3545"	"4.5157"
"1945"	"0.746"	"1.1522"	"1.5744"	"4.9541"	"1.3296"	"1.6479"	"2.4025"	"3.1689"	"2.6433"	"7.4019"	"7.8756"	"3.3946"
"1946"	"1.6342"	"0.8008"	"3.4197"	"2.7137"	"2.7467"	"1.3042"	"2.2004"	"2.6142"	"4.9015"	"7.8174"	"8.9132"	"7.1783"
"1947"	"3.5114"	"2.2677"	"3.1085"	"4.4174"	"2.2375"	"1.8415"	"5.494"	"3.3356"	"5.6058"	"8.3288"	"3.0511"	"2.322"
"1948"	"3.2349"	"1.2159"	"1.1437"	"1.3146"	"2.0994"	"2.0434"	"2.4808"	"3.6916"	"3.9879"	"5.9138"	"8.7225"	"3.5195"
"1949"	"1.5692"	"0.1647"	"0.1934"	"2.4171"	"3.7988"	"1.9453"	"3.7971"	"4.9412"	"3.8949"	"6.707"	"6.0086"	"2.3577"
"1950"	"1.0262"	"2.6982"	"1.316"	"1.5368"	"3.362"	"1.0414"	"1.9804"	"4.7246"	"3.2864"	"6.8829"	"5.8226"	"2.8846"
"1951"	"1.6229"	"0.8297"	"1.5167"	"5.462"	"1.6983"	"1.9199"	"2.9694"	"3.3272"	"6.7272"	"5.265"	"9.7338"	"1.5514"
"1952"	"2.6423"	"2.6992"	"1.1183"	"2.1297"	"2.8628"	"1.9093"	"3.1727"	"3.5436"	"1.6224"	"5.4775"	"3.3314"	"4.6083"
"1953"	"1.6886"	"1.3093"	"0.2006"	"5.1048"	"1.422"	"2.6058"	"3.5057"	"3.2391"	"5.1245"	"9.6655"	"6.0298"	"2.5733"
"1954"	"3.793"	"1.005"	"2.2401"	"4.8962"	"2.4368"	"1.1466"	"2.8142"	"5.9887"	"2.9659"	"9.4564"	"2.4634"	"6.2468"
"1955"	"3.1181"	"1.2486"	"1.1479"	"4.1987"	"3.9839"	"1.3046"	"2.3774"	"4.1751"	"3.8273"	"6.2582"	"5.3922"	"4.321"
"1956"	"1.4843"	"0.6828"	"0.1934"	"4.0825"	"1.0207"	"3.4591"	"2.0797"	"3.3804"	"4.853"	"8.6686"	"8.4171"	"4.101"
"1957"	"0.6068"	"1.5726"	"0.4991"	"0.8929"	"3.3647"	"2.6554"	"3.6285"	"2.529"	"4.5892"	"8.3389"	"9.4133"	"4.7778"
"1958"	"1.9496"	"0.6468"	"1.7817"	"2.9885"	"5.0186"	"1.3942"	"1.408"	"4.7776"	"3.1395"	"7.8739"	"6.1014"	"2.0619"
"1959"	"1.2209"	"2.078"	"0.198"	"3.7351"	"4.1292"	"3.3015"	"0.9904"	"3.9767"	"3.4808"	"7.7992"	"7.3954"	"4.0682"
"1960"	"0.8345"	"1.3026"	"0.209"	"2.6666"	"2.1549"	"0.9845"	"5.6766"	"1.8881"	"3.6293"	"7.1306"	"9.9558"	"2.5486"
"1961"	"4.6706"	"0.7388"	"0.2108"	"2.3306"	"2.5556"	"3.1223"	"3.1743"	"4.3421"	"3.0106"	"6.3476"	"5.9617"	"3.1176"
"1962"	"0.9696"	"1.561"	"0.7095"	"2.1871"	"4.5497"	"1.0683"	"1.5759"	"3.9224"	"4.9722"	"9.6902"	"4.8415"	"4.8719"
"1963"	"4.223"	"0.8188"	"3.7038"	"3.0564"	"2.5096"	"1.5412"	"3.0905"	"3.7764"	"2.4213"	"6.9715"	"8.6435"	"5.3885"
"1964"	"0.7166"	"0.5176"	"2.054"	"1.2684"	"2.2957"	"1.1364"	"6.5368"	"4.0398"	"4.8015"	"7.2576"	"5.7709"	"4.7456"
"1965"	"0.5786"	"2.7754"	"0.997"	"3.3962"	"3.429"	"2.4484"	"2.0301"	"5.6174"	"5.0048"	"6.6764"	"6.5011"	"7.2638"
"1966"	"1.9406"	"1.1723"	"2.307"	"2.459"	"2.4854"	"1.8997"	"2.1076"	"3.9807"	"8.2317"	"10.1729"	"7.7882"	"5.1557"
"1967"	"2.3013"	"0.8124"	"2.1987"	"2.2658"	"3.1853"	"2.2415"	"2.4723"	"1.8126"	"2.5763"	"8.9492"	"8.6576"	"6.2346"
"1968"	"1.1219"	"1.3124"	"2.3371"	"6.1947"	"1.6464"	"1.2859"	"1.6491"	"2.8535"	"5.0882"	"6.1232"	"6.4818"	"3.5621"
"1969"	"0.6336"	"1.8688"	"0.3212"	"1.3574"	"3.3484"	"1.5109"	"1.5826"	"5.4893"	"1.7227"	"9.797"	"8.4603"	"5.5984"
"1970"	"1.2498"	"1.754"	"1.0942"	"4.4639"	"3.3154"	"2.106"	"1.7686"	"3.3722"	"3.1219"	"7.1199"	"8.2103"	"2.5198"
"1971"	"2.0069"	"1.7157"	"2.1739"	"2.8873"	"3.5788"	"0.6518"	"2.3507"	"4.1772"	"4.638"	"7.9205"	"4.4094"	"6.4228"
"1972"	"0.7036"	"0.2898"	"0.1934"	"1.9232"	"6.7378"	"2.0651"	"2.3427"	"1.2229"	"6.3364"	"10.351"	"6.4516"	"8.2178"
"1973"	"0.0565"	"0.0235"	"0.1985"	"1.5181"	"1.8779"	"2.4146"	"2.3074"	"3.5896"	"5.5748"	"9.0222"	"5.6722"	"5.3513"
"1974"	"0.6626"	"1.6689"	"1.6002"	"1.6713"	"3.651"	"1.7033"	"2.5071"	"3.4982"	"4.9139"	"5.6235"	"3.8049"	"2.1194"
"1975"	"1.1565"	"0.2051"	"2.4061"	"1.7736"	"2.2682"	"1.1123"	"4.6566"	"5.7115"	"4.3162"	"7.5789"	"7.3092"	"3.4576"
"1976"	"0.4855"	"0.0181"	"1.4683"	"3.1974"	"2.0435"	"1.1685"	"1.7958"	"3.24"	"3.555"	"7.1349"	"9.3427"	"3.2105"
"1977"	"0.6081"	"2.0972"	"2.1502"	"2.7042"	"5.1243"	"2.3958"	"3.6125"	"2.9098"	"3.5626"	"11.0587"	"9.2985"	"3.0788"
"1978"	"0.0565"	"1.1147"	"0.4902"	"2.7023"	"2.0429"	"0.5172"	"3.0084"	"3.3728"	"5.7989"	"8.8025"	"7.5932"	"6.8655"
"1979"	"0.305"	"2.5048"	"1.379"	"0.7471"	"1.6237"	"1.9349"	"2.2757"	"3.6242"	"7.3235"	"8.0934"	"9.5259"	"3.8185"
"1980"	"0.56"	"0.0181"	"1.1881"	"3.3752"	"2.6471"	"2.362"	"2.256"	"2.6922"	"3.5666"	"7.0194"	"6.629"	"3.2688"
"1981"	"1.6337"	"1.1262"	"1.5644"	"1.5385"	"3.9284"	"1.1538"	"4.4383"	"2.4566"	"6.881"	"8.1898"	"5.5699"	"2.0286"
"1982"	"0.1409"	"0.0181"	"1.5751"	"3.0791"	"1.7791"	"1.1691"	"1.9362"	"2.1813"	"4.4006"	"5.882"	"8.2707"	"3.6743"
"1983"	"0.4662"	"0.0181"	"0.3023"	"0.8958"	"2.9805"	"1.9189"	"2.891"	"3.7826"	"4.0656"	"6.0728"	"6.5835"	"8.0861"
