
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"25.474"	"26.444"	"26.796"	"27.808"	"27.991"	"27.165"	"26.515"	"26.442"	"26.372"	"26.164"	"25.245"	"24.616"
"1902"	"24.638"	"25.113"	"27.007"	"28.334"	"28.391"	"27.571"	"26.328"	"26.819"	"26.471"	"25.73"	"25.107"	"24.964"
"1903"	"25.487"	"26.357"	"27.139"	"28.499"	"28.099"	"27.538"	"26.497"	"26.376"	"26.314"	"26.28"	"25.356"	"24.138"
"1904"	"24.17"	"24.729"	"26.158"	"28.094"	"28.038"	"26.567"	"26.175"	"25.926"	"26.575"	"26.321"	"25.549"	"24.161"
"1905"	"24.477"	"25.729"	"27.493"	"27.505"	"27.781"	"27.169"	"27.307"	"26.64"	"26.91"	"26.099"	"25.433"	"24.693"
"1906"	"25.157"	"26.383"	"27.238"	"28.758"	"28.166"	"27.111"	"26.64"	"26.035"	"26.764"	"25.939"	"24.862"	"24.689"
"1907"	"24.584"	"25.493"	"27.001"	"27.713"	"28.21"	"27.165"	"26.436"	"25.818"	"26.671"	"25.834"	"25.123"	"24.682"
"1908"	"24.644"	"25.111"	"26.631"	"28.463"	"27.974"	"26.722"	"25.839"	"26.189"	"26.034"	"25.896"	"24.778"	"24.003"
"1909"	"24.435"	"25.348"	"26.866"	"28.001"	"27.709"	"26.771"	"25.783"	"25.732"	"26.039"	"25.868"	"25.193"	"24.782"
"1910"	"24.683"	"25.201"	"26.402"	"27.47"	"28.244"	"26.889"	"26.074"	"25.841"	"26.088"	"25.685"	"25.206"	"24.257"
"1911"	"24.477"	"25.188"	"26.762"	"27.776"	"27.865"	"26.274"	"25.856"	"26.024"	"26.486"	"25.663"	"25.171"	"24.565"
"1912"	"24.091"	"25.983"	"27.411"	"28.407"	"28.166"	"26.78"	"26.466"	"26.289"	"26.228"	"25.895"	"25.457"	"24.301"
"1913"	"24.148"	"25.732"	"27.128"	"28.505"	"28.539"	"27.586"	"26.197"	"26.267"	"26.325"	"25.958"	"24.908"	"24.601"
"1914"	"24.568"	"25.656"	"27.069"	"28.363"	"27.962"	"27.382"	"26.479"	"26.201"	"26.482"	"25.692"	"25.262"	"24.674"
"1915"	"24.826"	"25.765"	"26.753"	"27.903"	"28.105"	"27.266"	"26.255"	"26.713"	"26.455"	"26.325"	"25.619"	"24.76"
"1916"	"24.362"	"25.559"	"27.181"	"28.47"	"28.253"	"26.411"	"26.243"	"26.233"	"25.908"	"25.685"	"25.317"	"23.833"
"1917"	"24.076"	"25.097"	"26.085"	"27.811"	"27.634"	"26.516"	"26.606"	"26.379"	"26.024"	"25.557"	"25.088"	"23.845"
"1918"	"23.992"	"24.175"	"25.912"	"27.842"	"27.365"	"26.144"	"26.022"	"26.18"	"25.899"	"25.891"	"25.258"	"24.352"
"1919"	"25.275"	"26.28"	"26.544"	"28.29"	"28.291"	"26.771"	"26.132"	"25.863"	"26.194"	"25.918"	"24.996"	"24.6"
"1920"	"24.733"	"25.884"	"27.392"	"27.963"	"28.175"	"27.063"	"26.494"	"26.329"	"26.407"	"26.164"	"24.974"	"23.987"
"1921"	"24.763"	"25.436"	"27.277"	"28.032"	"28.619"	"27.621"	"26.398"	"26.409"	"26.405"	"25.992"	"25.213"	"24.177"
"1922"	"24.584"	"25.163"	"26.535"	"27.82"	"27.746"	"27.132"	"26.317"	"26.173"	"26.092"	"25.768"	"25.174"	"24.135"
"1923"	"24.21"	"25.344"	"26.739"	"28.47"	"28.026"	"27.008"	"26.178"	"25.97"	"26.471"	"25.936"	"25.471"	"24.403"
"1924"	"24.439"	"25.909"	"27.12"	"28.315"	"28.96"	"27.28"	"26.416"	"26.371"	"26.468"	"26.099"	"25.448"	"24.217"
"1925"	"24.124"	"25.427"	"26.713"	"28.435"	"28.212"	"27.142"	"26.296"	"26.066"	"26.513"	"26.312"	"25.085"	"24.295"
"1926"	"24.702"	"25.621"	"27.277"	"28.28"	"28.175"	"27.2"	"26.618"	"26.663"	"26.491"	"26.13"	"25.032"	"24.77"
"1927"	"24.728"	"25.871"	"27.113"	"27.683"	"27.331"	"26.589"	"26.163"	"26.379"	"26.18"	"26.095"	"25.413"	"24.99"
"1928"	"24.989"	"26.09"	"26.605"	"28.047"	"28.469"	"27.177"	"26.351"	"26.331"	"26.789"	"26.111"	"25.134"	"24.674"
"1929"	"24.81"	"25.748"	"26.893"	"27.116"	"27.889"	"26.647"	"26.424"	"26.193"	"26.259"	"25.899"	"25.229"	"24.505"
"1930"	"24.567"	"26.078"	"27.082"	"27.897"	"27.346"	"26.938"	"26.98"	"26.187"	"26.372"	"25.533"	"25.536"	"25.025"
"1931"	"24.927"	"26.066"	"27.146"	"28.129"	"28.577"	"27.435"	"26.707"	"26.482"	"26.41"	"26.133"	"25.267"	"24.474"
"1932"	"24.508"	"25.379"	"26.72"	"27.673"	"27.531"	"26.883"	"26.328"	"26.184"	"26.433"	"25.589"	"25.333"	"24.388"
"1933"	"24.817"	"25.647"	"26.752"	"27.716"	"27.362"	"26.749"	"26.497"	"26.074"	"26.153"	"25.513"	"25.256"	"24.677"
"1934"	"24.702"	"24.691"	"26.188"	"27.779"	"28.093"	"27.142"	"26.55"	"26.587"	"26.697"	"26.069"	"25.199"	"24.318"
"1935"	"24.754"	"25.45"	"26.689"	"28.033"	"28.577"	"27.237"	"26.263"	"26.138"	"26.41"	"25.973"	"25.089"	"24.709"
"1936"	"25.134"	"25.985"	"27.092"	"28.158"	"28.165"	"26.743"	"26.857"	"26.734"	"26.589"	"26.057"	"25.471"	"25.098"
"1937"	"24.924"	"26.136"	"26.724"	"27.592"	"28.349"	"27.046"	"26.248"	"26.814"	"26.754"	"25.908"	"25.41"	"24.561"
"1938"	"25.317"	"25.717"	"27.059"	"27.636"	"28.253"	"26.951"	"26.209"	"26.336"	"26.439"	"25.71"	"25.19"	"24.623"
"1939"	"24.442"	"25.193"	"26.599"	"27.473"	"27.303"	"26.681"	"26.197"	"26.093"	"26.427"	"26.172"	"24.923"	"24.683"
"1940"	"24.188"	"25.455"	"27.188"	"27.851"	"28.099"	"27.382"	"26.653"	"26.327"	"27.444"	"26.853"	"25.533"	"24.899"
"1941"	"25.213"	"25.97"	"27.137"	"28.357"	"28.755"	"27.286"	"26.771"	"26.701"	"26.691"	"26.309"	"25.458"	"25.021"
"1942"	"25.187"	"26.034"	"27.169"	"27.816"	"28.358"	"27.394"	"26.478"	"26.522"	"26.601"	"26.312"	"25.593"	"24.613"
"1943"	"24.869"	"25.332"	"26.64"	"27.217"	"27.255"	"26.576"	"26.256"	"26.337"	"26.416"	"25.256"	"25.174"	"24.735"
"1944"	"24.899"	"26.017"	"26.432"	"27.601"	"28.077"	"27.168"	"26.958"	"27.005"	"27.133"	"26.954"	"25.483"	"24.458"
"1945"	"24.637"	"25.712"	"26.878"	"27.265"	"27.846"	"27.324"	"26.713"	"26.522"	"26.662"	"26.237"	"25.019"	"24.217"
"1946"	"24.178"	"25.361"	"26.548"	"27.473"	"27.858"	"27.133"	"26.761"	"26.408"	"26.532"	"26.022"	"25.451"	"24.877"
"1947"	"25.183"	"25.69"	"26.571"	"27.578"	"28.415"	"27.281"	"26.78"	"26.725"	"26.276"	"25.51"	"25.48"	"24.758"
"1948"	"25.041"	"25.605"	"26.808"	"27.855"	"28.061"	"26.737"	"26.5"	"26.513"	"26.753"	"26.356"	"25.629"	"24.41"
"1949"	"24.495"	"25.43"	"27.2"	"28.093"	"27.775"	"27.161"	"26.592"	"26.809"	"26.536"	"26.138"	"25.305"	"24.509"
"1950"	"24.446"	"25.694"	"27.108"	"27.569"	"28.542"	"26.973"	"26.217"	"26.093"	"26.319"	"25.685"	"25.352"	"24.772"
"1951"	"24.629"	"24.812"	"27.085"	"27.405"	"28.178"	"26.792"	"26.274"	"26.64"	"26.701"	"26.5"	"25.506"	"24.74"
"1952"	"24.918"	"26.04"	"26.958"	"28.024"	"28.34"	"27.165"	"26.516"	"26.398"	"26.433"	"26.076"	"25.728"	"25.279"
"1953"	"25.526"	"26.03"	"28.035"	"28.305"	"28.733"	"27.842"	"26.563"	"26.761"	"26.662"	"26.092"	"25.41"	"24.604"
"1954"	"24.986"	"25.909"	"26.701"	"27.819"	"28.372"	"27.243"	"26.228"	"26.029"	"26.462"	"25.383"	"25.054"	"24.79"
"1955"	"25.228"	"25.674"	"26.619"	"27.435"	"27.231"	"26.337"	"26.025"	"26.115"	"26.417"	"25.939"	"25.053"	"24.17"
"1956"	"24.425"	"25.361"	"26.769"	"27.557"	"27.031"	"26.391"	"25.65"	"26.23"	"25.911"	"25.283"	"25.189"	"24.519"
"1957"	"24.449"	"25.536"	"26.218"	"27.436"	"27.716"	"27.023"	"26.22"	"25.978"	"26.392"	"25.721"	"24.911"	"24.723"
"1958"	"25.206"	"25.739"	"27.05"	"27.676"	"27.254"	"26.988"	"26.364"	"25.828"	"26.243"	"25.523"	"25.533"	"25.407"
"1959"	"25.531"	"26.293"	"27.192"	"28.043"	"28.289"	"27.069"	"26.452"	"26.667"	"26.628"	"25.973"	"25.289"	"24.789"
