
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1902"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1903"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1904"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1905"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1906"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1907"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1908"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1909"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1910"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1911"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1912"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1913"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1914"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1915"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1916"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1917"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1918"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1919"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1920"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
"1921"	"38.243"	"33.989"	"36.305"	"49.53"	"58.655"	"70.948"	"73.598"	"69.069"	"64.381"	"62.885"	"57.36"	"48.352"
