
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"32.203"	"65.658"	"46.805"	"152.341"	"140.814"	"18.764"	"16.527"	"31.784"	"141.092"	"121.374"	"328.233"	"32.109"
"1902"	"136.362"	"26.801"	"72.174"	"46.947"	"56.634"	"178.164"	"2.704"	"93.935"	"44.56"	"371.821"	"265.56"	"95.101"
"1903"	"34.659"	"9.927"	"0.33"	"44.537"	"159.094"	"34.718"	"28.261"	"71.828"	"131.229"	"148.436"	"261.149"	"137.496"
"1904"	"56.182"	"0.693"	"0.33"	"1.863"	"42.213"	"5.899"	"99.208"	"13.214"	"24.289"	"207.961"	"26.766"	"93.176"
"1905"	"2.106"	"1.484"	"1.189"	"102.348"	"91.897"	"72.93"	"1.888"	"68.345"	"40.975"	"188.92"	"145.725"	"9.355"
"1906"	"18.07"	"10.138"	"26.61"	"29.125"	"25.978"	"18.424"	"36.453"	"104.438"	"21.55"	"276.212"	"282.579"	"77.828"
"1907"	"58.729"	"5.476"	"22.54"	"128.375"	"32.241"	"8.378"	"63.312"	"11.123"	"40.173"	"285.435"	"173.827"	"76.438"
"1908"	"22.899"	"133.193"	"67.864"	"79.476"	"63.912"	"13.911"	"27.779"	"74.315"	"151.258"	"320.514"	"36.614"	"22.587"
"1909"	"96.47"	"93.504"	"4.021"	"24.378"	"150.81"	"14.457"	"4.702"	"194.847"	"75.277"	"119.698"	"183.634"	"40.637"
"1910"	"78.58"	"63.977"	"1.779"	"65.651"	"58.981"	"60.617"	"117.266"	"160.465"	"28.346"	"248.666"	"211.941"	"8.145"
"1911"	"11.659"	"6.485"	"1.023"	"96.436"	"58.319"	"100.899"	"7.47"	"7.611"	"86.434"	"128.202"	"163.704"	"190.775"
"1912"	"7.984"	"2.06"	"5.765"	"41.373"	"94.952"	"180.057"	"2.59"	"97.715"	"122.082"	"465.487"	"265.725"	"39.541"
"1913"	"29.547"	"9.204"	"8.761"	"37.537"	"34.712"	"14.314"	"39.541"	"36.074"	"25.158"	"199.415"	"149.074"	"85.16"
"1914"	"11.768"	"0.703"	"3.759"	"10.194"	"86.012"	"40.521"	"19.223"	"37.876"	"35.727"	"522.331"	"178.892"	"117.887"
"1915"	"20.002"	"21.133"	"3.957"	"74.381"	"64.262"	"24.106"	"56.991"	"81.697"	"128.537"	"55.663"	"276.994"	"71.031"
