
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"24.224"	"23.985"	"25.568"	"28.552"	"29.518"	"28.501"	"27.745"	"27.72"	"27.754"	"27.637"	"26.656"	"24.168"
"1902"	"23.344"	"23.546"	"25.879"	"28.555"	"29.518"	"28.598"	"27.745"	"28.247"	"27.754"	"27.637"	"26.621"	"25.097"
"1903"	"23.517"	"24.006"	"25.082"	"28.591"	"29.518"	"28.501"	"27.839"	"27.72"	"27.754"	"27.637"	"26.319"	"24.32"
"1904"	"22.657"	"22.742"	"24.497"	"28.552"	"29.511"	"27.683"	"27.745"	"27.72"	"27.754"	"27.637"	"26.624"	"24.28"
"1905"	"23.517"	"23.912"	"25.636"	"28.516"	"29.509"	"28.598"	"28.675"	"27.72"	"27.754"	"27.637"	"26.656"	"24.248"
"1906"	"23.517"	"23.893"	"25.603"	"28.555"	"29.544"	"28.626"	"27.745"	"27.72"	"27.754"	"27.637"	"26.656"	"24.371"
"1907"	"23.517"	"24.032"	"25.879"	"28.41"	"29.518"	"28.501"	"27.745"	"26.757"	"27.754"	"27.637"	"26.656"	"24.342"
"1908"	"23.517"	"24.004"	"25.277"	"28.552"	"29.518"	"28.542"	"27.083"	"27.202"	"27.754"	"27.637"	"26.17"	"23.978"
"1909"	"22.778"	"24.01"	"25.879"	"28.552"	"29.518"	"28.626"	"26.266"	"27.026"	"26.577"	"27.659"	"26.652"	"24.534"
"1910"	"23.517"	"23.975"	"25.078"	"28.555"	"29.518"	"28.598"	"27.745"	"27.72"	"27.754"	"27.637"	"26.622"	"23.624"
"1911"	"23.517"	"23.487"	"25.879"	"28.552"	"29.518"	"27.119"	"27.745"	"27.717"	"27.754"	"27.637"	"26.656"	"25.097"
"1912"	"22.449"	"24.01"	"25.879"	"28.555"	"29.518"	"28.542"	"27.745"	"27.65"	"27.754"	"27.637"	"26.656"	"24.539"
"1913"	"22.548"	"24.036"	"25.879"	"28.552"	"29.54"	"28.604"	"27.745"	"27.687"	"27.754"	"27.637"	"26.656"	"25.097"
"1914"	"23.517"	"24.01"	"25.879"	"28.552"	"29.518"	"28.542"	"27.842"	"27.72"	"27.754"	"27.637"	"26.656"	"25.097"
"1915"	"23.517"	"24.01"	"25.879"	"28.552"	"29.861"	"28.501"	"27.745"	"27.72"	"27.754"	"27.637"	"26.66"	"25.097"
"1916"	"22.986"	"23.978"	"25.444"	"28.555"	"29.544"	"28.598"	"27.745"	"27.681"	"27.754"	"27.637"	"26.656"	"23.946"
"1917"	"22.949"	"24.01"	"24.707"	"28.555"	"29.518"	"28.46"	"27.842"	"27.72"	"27.754"	"27.438"	"26.579"	"24.081"
"1918"	"22.728"	"22.67"	"24.783"	"28.555"	"28.382"	"27.143"	"28.872"	"27.659"	"26.635"	"27.637"	"26.656"	"25.097"
"1919"	"23.991"	"24.01"	"25.483"	"28.555"	"29.518"	"28.542"	"27.745"	"27.717"	"27.754"	"27.637"	"26.451"	"25.097"
"1920"	"23.517"	"24.007"	"26.1"	"28.555"	"29.518"	"28.598"	"27.745"	"27.717"	"27.861"	"27.637"	"26.652"	"23.658"
