
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"26.087"	"27.036"	"27.994"	"30.279"	"29.659"	"28.78"	"27.921"	"27.789"	"28.178"	"27.328"	"25.917"	"24.102"
"1902"	"24.809"	"25.495"	"28.495"	"30.301"	"30.227"	"29.258"	"28.09"	"28.406"	"27.431"	"26.637"	"25.725"	"25.08"
"1903"	"25.386"	"26.815"	"28.863"	"30.571"	"29.875"	"28.939"	"27.95"	"27.579"	"27.359"	"26.949"	"25.08"	"23.823"
"1904"	"24.207"	"25.337"	"27.972"	"30.378"	"29.328"	"27.891"	"27.29"	"27.579"	"27.899"	"27.227"	"25.58"	"24.033"
"1905"	"24.656"	"26.773"	"28.874"	"29.79"	"29.974"	"29.08"	"28.644"	"28.078"	"28.029"	"27.039"	"25.948"	"24.47"
"1906"	"25.754"	"27.405"	"28.194"	"31.38"	"31.074"	"28.87"	"28.07"	"27.439"	"27.132"	"26.927"	"25.835"	"24.691"
"1907"	"24.677"	"26.276"	"28.464"	"29.61"	"29.969"	"28.58"	"27.901"	"27.211"	"27.929"	"27.205"	"25.827"	"24.711"
"1908"	"24.986"	"25.826"	"27.792"	"31.08"	"29.885"	"29.028"	"27.391"	"27.549"	"27.456"	"27.205"	"25.496"	"24.179"
"1909"	"24.965"	"26.395"	"28.751"	"30.113"	"29.428"	"28.649"	"27.369"	"27.426"	"26.919"	"27.148"	"26.395"	"25.35"
"1910"	"25.065"	"26.095"	"28.399"	"30.469"	"30.596"	"28.739"	"27.859"	"27.149"	"26.811"	"26.759"	"25.047"	"24.013"
"1911"	"24.906"	"25.158"	"28.272"	"30.189"	"29.748"	"28.358"	"27.58"	"27.601"	"28.1"	"26.816"	"25.938"	"24.77"
"1912"	"24.334"	"27.162"	"29.084"	"30.8"	"30.954"	"28.761"	"27.81"	"27.789"	"27.63"	"26.759"	"25.649"	"24.023"
"1913"	"24.12"	"26.528"	"28.863"	"30.921"	"30.495"	"29.03"	"27.48"	"27.809"	"28.098"	"26.748"	"25.505"	"25.057"
"1914"	"24.377"	"26.642"	"28.842"	"30.379"	"30.407"	"29.548"	"27.801"	"27.547"	"27.867"	"26.805"	"25.826"	"25.237"
"1915"	"25.265"	"26.784"	"28.372"	"30.379"	"30.385"	"29.027"	"28.078"	"28.517"	"27.886"	"27.595"	"26.207"	"24.402"
"1916"	"24.277"	"26.494"	"28.722"	"30.959"	"30.007"	"27.939"	"27.801"	"27.401"	"27.21"	"26.905"	"25.716"	"23.822"
"1917"	"24.028"	"25.425"	"27.673"	"30.111"	"29.326"	"27.739"	"28.181"	"27.669"	"27.19"	"26.339"	"25.897"	"24.248"
"1918"	"24.286"	"24.824"	"27.126"	"29.969"	"28.918"	"28.037"	"28.189"	"27.899"	"27.488"	"27.614"	"26.464"	"24.77"
"1919"	"25.887"	"27.184"	"28.341"	"30.956"	"30.016"	"28.438"	"27.839"	"27.659"	"27.578"	"27.136"	"25.895"	"24.87"
"1920"	"24.678"	"26.725"	"28.973"	"30.292"	"30.416"	"28.97"	"28.2"	"27.938"	"27.799"	"27.328"	"25.897"	"24.1"
"1921"	"25.466"	"26.107"	"28.873"	"30.012"	"30.828"	"29.13"	"27.869"	"27.859"	"27.21"	"26.897"	"25.269"	"24.181"
"1922"	"25.056"	"25.725"	"28.662"	"30.479"	"29.827"	"28.781"	"27.791"	"27.837"	"27.666"	"26.727"	"25.816"	"23.793"
"1923"	"23.95"	"25.746"	"27.683"	"30.064"	"29.903"	"29.159"	"27.512"	"27.77"	"27.411"	"27.017"	"26.128"	"24.67"
"1924"	"24.776"	"26.673"	"28.394"	"31.009"	"30.976"	"28.88"	"27.891"	"27.949"	"27.468"	"27.13"	"25.548"	"24.012"
"1925"	"24.765"	"25.906"	"28.141"	"30.879"	"29.425"	"28.87"	"27.87"	"27.737"	"27.908"	"26.838"	"25.358"	"24.091"
"1926"	"25.087"	"26.295"	"28.952"	"30.311"	"30.575"	"29.528"	"28.669"	"28.146"	"27.619"	"27.058"	"25.505"	"24.781"
"1927"	"25.396"	"26.815"	"29.239"	"30.779"	"30.095"	"28.627"	"27.769"	"28.067"	"27.61"	"26.959"	"25.449"	"24.803"
"1928"	"25.308"	"26.595"	"28.104"	"30.61"	"30.807"	"29.149"	"27.989"	"27.769"	"28.167"	"26.959"	"25.547"	"24.312"
"1929"	"25.356"	"26.383"	"28.094"	"29.431"	"29.817"	"28.549"	"28.1"	"28.205"	"27.998"	"26.949"	"25.569"	"24.79"
"1930"	"25.076"	"26.295"	"28.382"	"30.359"	"29.217"	"28.797"	"28.213"	"27.79"	"27.81"	"26.615"	"25.637"	"24.911"
"1931"	"25.087"	"26.485"	"28.863"	"30.937"	"30.964"	"29.237"	"28.247"	"28.247"	"27.599"	"27.448"	"25.815"	"24.423"
"1932"	"24.229"	"26.108"	"27.845"	"30.548"	"29.506"	"28.579"	"27.68"	"27.967"	"27.52"	"26.986"	"25.958"	"24.403"
"1933"	"24.817"	"26.373"	"28.084"	"30.179"	"29.207"	"28.002"	"27.712"	"27.558"	"27.331"	"26.427"	"26.018"	"24.393"
"1934"	"24.908"	"25.394"	"27.803"	"30.201"	"30.315"	"28.848"	"28.07"	"27.769"	"28.289"	"27.395"	"25.249"	"23.911"
"1935"	"24.996"	"26.363"	"28.462"	"30.4"	"30.796"	"29.118"	"27.633"	"27.459"	"27.31"	"27.027"	"25.169"	"24.702"
"1936"	"25.586"	"26.906"	"28.174"	"30.671"	"30.276"	"27.782"	"27.823"	"27.711"	"27.797"	"27.048"	"25.858"	"25.182"
"1937"	"25.017"	"26.995"	"28.662"	"29.891"	"30.228"	"28.759"	"27.57"	"28.127"	"27.988"	"26.827"	"25.559"	"24.472"
"1938"	"25.297"	"26.962"	"28.972"	"30.379"	"30.404"	"28.258"	"27.611"	"27.389"	"27.332"	"26.49"	"25.538"	"24.67"
"1939"	"24.465"	"25.572"	"27.983"	"29.711"	"29.893"	"28.638"	"27.244"	"27.531"	"27.43"	"27.159"	"25.349"	"24.322"
"1940"	"24.11"	"25.805"	"28.785"	"29.902"	"30.086"	"28.671"	"27.721"	"27.592"	"28.2"	"27.527"	"25.568"	"24.691"
"1941"	"25.317"	"26.426"	"29.032"	"30.821"	"30.585"	"28.571"	"28.37"	"28.201"	"27.599"	"27.227"	"26.036"	"24.792"
"1942"	"25.067"	"26.528"	"28.551"	"30.5"	"30.694"	"29.05"	"27.934"	"27.7"	"27.799"	"27.308"	"25.781"	"24.949"
"1943"	"25.087"	"25.883"	"28.663"	"29.779"	"29.097"	"28.081"	"27.423"	"27.769"	"27.032"	"25.927"	"25.807"	"24.322"
"1944"	"25.15"	"26.396"	"27.675"	"29.692"	"30.365"	"28.76"	"27.701"	"28.237"	"27.89"	"27.559"	"26.028"	"24.413"
"1945"	"25.107"	"26.984"	"28.493"	"29.858"	"30.125"	"29.039"	"28.112"	"27.7"	"27.578"	"27.328"	"25.396"	"24.559"
"1946"	"24.298"	"25.926"	"28.641"	"30.158"	"29.985"	"28.739"	"27.891"	"27.57"	"27.499"	"27.095"	"25.938"	"24.624"
"1947"	"25.408"	"25.948"	"28.383"	"29.732"	"30.755"	"28.972"	"27.721"	"27.939"	"27.201"	"26.547"	"25.637"	"24.701"
"1948"	"25.222"	"26.753"	"28.292"	"30.48"	"29.936"	"28.779"	"27.833"	"27.681"	"27.62"	"27.328"	"26.495"	"24.302"
"1949"	"24.488"	"26.027"	"28.852"	"30.578"	"29.774"	"28.539"	"27.591"	"27.771"	"27.09"	"27.35"	"25.348"	"23.992"
"1950"	"24.656"	"26.506"	"28.583"	"30.448"	"30.595"	"28.548"	"27.392"	"27.538"	"27.041"	"26.437"	"25.449"	"24.393"
"1951"	"24.898"	"25.873"	"28.772"	"30.082"	"30.106"	"28.213"	"27.58"	"28.158"	"28.11"	"27.379"	"26.416"	"24.491"
"1952"	"25.127"	"26.895"	"28.874"	"30.979"	"30.195"	"28.848"	"28.001"	"27.748"	"27.65"	"26.848"	"26.048"	"24.9"
"1953"	"25.508"	"26.308"	"29.773"	"30.255"	"31.195"	"29.539"	"27.822"	"27.911"	"27.531"	"27.097"	"25.547"	"24.46"
"1954"	"25.355"	"26.895"	"28.451"	"30.847"	"30.249"	"28.801"	"27.28"	"27.179"	"27.162"	"26.426"	"25.057"	"24.67"
"1955"	"24.939"	"26.583"	"28.383"	"30.058"	"28.984"	"28.306"	"27.488"	"26.812"	"27.656"	"27.128"	"25.269"	"23.681"
"1956"	"24.597"	"25.905"	"28.771"	"30.777"	"29.484"	"28.028"	"26.781"	"27.429"	"27.088"	"26.217"	"25.536"	"24.1"
"1957"	"24.539"	"26.325"	"27.76"	"29.888"	"30.253"	"28.358"	"27.468"	"27.426"	"27.617"	"27.006"	"25.636"	"25.036"
