
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"29.33"	"25.552"	"27.072"	"39.074"	"49.572"	"70.403"	"78.679"	"71.541"	"63.799"	"60.551"	"51.31"	"40.293"
"1902"	"29.33"	"25.552"	"27.072"	"39.074"	"49.572"	"70.403"	"78.679"	"71.541"	"63.799"	"60.551"	"51.31"	"40.293"
"1903"	"29.33"	"25.552"	"27.072"	"39.074"	"49.572"	"70.403"	"78.679"	"71.541"	"63.799"	"60.551"	"51.31"	"40.293"
"1904"	"29.33"	"25.552"	"27.072"	"39.074"	"49.572"	"70.403"	"78.679"	"71.541"	"63.799"	"60.551"	"51.31"	"40.293"
"1905"	"29.33"	"25.552"	"27.072"	"39.074"	"49.572"	"70.403"	"78.679"	"71.541"	"63.799"	"60.551"	"51.31"	"40.293"
"1906"	"29.33"	"25.552"	"27.072"	"39.074"	"49.572"	"70.403"	"78.679"	"71.541"	"63.799"	"60.551"	"51.31"	"40.293"
"1907"	"29.33"	"25.552"	"27.072"	"39.074"	"49.572"	"70.403"	"78.679"	"71.541"	"63.799"	"60.551"	"51.31"	"40.293"
"1908"	"29.33"	"25.552"	"27.072"	"39.074"	"49.572"	"70.403"	"78.679"	"71.541"	"63.799"	"60.551"	"51.31"	"40.293"
"1909"	"29.33"	"25.552"	"27.072"	"39.074"	"49.572"	"70.403"	"78.679"	"71.541"	"63.799"	"60.551"	"51.31"	"40.293"
"1910"	"29.33"	"25.552"	"27.072"	"39.074"	"49.572"	"70.403"	"78.679"	"71.541"	"63.799"	"60.551"	"51.31"	"40.293"
"1911"	"29.33"	"25.552"	"27.072"	"39.074"	"49.572"	"70.403"	"78.679"	"71.541"	"63.799"	"60.551"	"51.31"	"40.293"
"1912"	"29.33"	"25.552"	"27.072"	"39.074"	"49.572"	"70.403"	"78.679"	"71.541"	"63.799"	"60.551"	"51.31"	"40.293"
"1913"	"29.33"	"25.552"	"27.072"	"39.074"	"49.572"	"70.403"	"78.679"	"71.541"	"63.799"	"60.551"	"51.31"	"40.293"
"1914"	"29.33"	"25.552"	"27.072"	"39.074"	"49.572"	"70.403"	"78.679"	"71.541"	"63.799"	"60.551"	"51.31"	"40.293"
"1915"	"29.33"	"25.552"	"27.072"	"39.074"	"49.572"	"70.403"	"78.679"	"71.541"	"63.799"	"60.551"	"51.31"	"40.293"
"1916"	"29.33"	"25.552"	"27.072"	"39.074"	"49.572"	"70.403"	"78.679"	"71.541"	"63.799"	"60.551"	"51.31"	"40.293"
