
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.07"	"4.79"	"5.44"	"5.8"	"5.67"	"5.18"	"4.97"	"4.97"	"4.93"	"4.32"	"3.79"	"3.5"
"1902"	"3.95"	"4.61"	"5.51"	"5.8"	"5.73"	"5.23"	"4.98"	"5.02"	"4.85"	"4.25"	"3.77"	"3.57"
"1903"	"4.01"	"4.76"	"5.54"	"5.83"	"5.69"	"5.2"	"4.98"	"4.94"	"4.84"	"4.28"	"3.7"	"3.48"
"1904"	"3.92"	"4.6"	"5.43"	"5.8"	"5.63"	"5.08"	"4.9"	"4.94"	"4.91"	"4.31"	"3.76"	"3.5"
"1905"	"3.95"	"4.76"	"5.55"	"5.73"	"5.71"	"5.21"	"5.05"	"4.98"	"4.91"	"4.29"	"3.79"	"3.53"
"1906"	"4.04"	"4.81"	"5.47"	"5.93"	"5.83"	"5.19"	"4.98"	"4.92"	"4.81"	"4.29"	"3.78"	"3.55"
"1907"	"3.95"	"4.7"	"5.5"	"5.7"	"5.71"	"5.15"	"4.96"	"4.9"	"4.91"	"4.3"	"3.78"	"3.55"
"1908"	"3.97"	"4.66"	"5.41"	"5.89"	"5.7"	"5.2"	"4.92"	"4.93"	"4.84"	"4.3"	"3.74"	"3.5"
"1909"	"3.96"	"4.71"	"5.52"	"5.77"	"5.64"	"5.15"	"4.91"	"4.91"	"4.79"	"4.31"	"3.83"	"3.6"
"1910"	"3.98"	"4.68"	"5.5"	"5.82"	"5.77"	"5.17"	"4.96"	"4.9"	"4.79"	"4.27"	"3.7"	"3.49"
"1911"	"3.96"	"4.58"	"5.48"	"5.78"	"5.69"	"5.12"	"4.93"	"4.95"	"4.93"	"4.27"	"3.79"	"3.56"
"1912"	"3.92"	"4.8"	"5.57"	"5.86"	"5.83"	"5.18"	"4.96"	"4.98"	"4.87"	"4.27"	"3.76"	"3.49"
"1913"	"3.91"	"4.73"	"5.55"	"5.88"	"5.77"	"5.21"	"4.92"	"4.98"	"4.93"	"4.26"	"3.74"	"3.58"
"1914"	"3.92"	"4.75"	"5.53"	"5.8"	"5.75"	"5.26"	"4.95"	"4.93"	"4.91"	"4.27"	"3.78"	"3.59"
"1915"	"3.99"	"4.76"	"5.5"	"5.81"	"5.75"	"5.22"	"4.98"	"5.03"	"4.9"	"4.34"	"3.8"	"3.52"
