
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"31.483"	"32.932"	"34.079"	"35.896"	"35.026"	"33.526"	"32.413"	"32.337"	"32.865"	"31.694"	"30.265"	"28.74"
"1902"	"30.204"	"31.388"	"34.579"	"35.938"	"35.621"	"34.007"	"32.57"	"32.954"	"32.119"	"31.005"	"30.073"	"29.717"
"1903"	"30.782"	"32.711"	"34.928"	"36.205"	"35.312"	"33.686"	"32.44"	"32.128"	"32.046"	"31.316"	"29.429"	"28.459"
"1904"	"29.603"	"31.23"	"34.058"	"36.016"	"34.745"	"32.591"	"31.781"	"32.128"	"32.588"	"31.595"	"29.928"	"28.67"
"1905"	"30.051"	"32.668"	"34.96"	"35.427"	"35.411"	"33.827"	"33.134"	"32.628"	"32.72"	"31.405"	"30.297"	"29.107"
"1906"	"31.15"	"33.278"	"34.279"	"37.016"	"36.443"	"33.569"	"32.562"	"31.988"	"31.82"	"31.294"	"30.185"	"29.328"
"1907"	"30.072"	"32.168"	"34.549"	"35.223"	"35.406"	"33.327"	"32.393"	"31.76"	"32.62"	"31.572"	"30.175"	"29.348"
"1908"	"30.383"	"31.72"	"33.858"	"36.695"	"35.301"	"33.775"	"31.872"	"32.096"	"32.145"	"31.572"	"29.844"	"28.815"
"1909"	"30.36"	"32.289"	"34.837"	"35.727"	"34.864"	"33.397"	"31.86"	"31.976"	"31.608"	"31.514"	"30.743"	"29.986"
"1910"	"30.462"	"31.943"	"34.483"	"36.105"	"35.984"	"33.485"	"32.349"	"31.696"	"31.5"	"31.124"	"29.395"	"28.65"
"1911"	"30.302"	"31.052"	"34.337"	"35.825"	"35.163"	"33.059"	"32.071"	"32.149"	"32.767"	"31.184"	"30.285"	"29.406"
"1912"	"29.73"	"33.057"	"35.169"	"36.416"	"36.389"	"33.507"	"32.302"	"32.337"	"32.32"	"31.124"	"29.998"	"28.659"
"1913"	"29.515"	"32.421"	"34.947"	"36.558"	"35.932"	"33.777"	"31.961"	"32.357"	"32.766"	"31.116"	"29.853"	"29.693"
"1914"	"29.774"	"32.537"	"34.906"	"35.995"	"35.842"	"34.295"	"32.292"	"32.095"	"32.555"	"31.173"	"30.176"	"29.873"
"1915"	"30.661"	"32.679"	"34.458"	"36.015"	"35.82"	"33.773"	"32.569"	"33.066"	"32.576"	"31.964"	"30.555"	"29.039"
"1916"	"29.673"	"32.389"	"34.807"	"36.596"	"35.443"	"32.686"	"32.291"	"31.95"	"31.897"	"31.273"	"30.064"	"28.459"
"1917"	"29.423"	"31.32"	"33.758"	"35.726"	"34.741"	"32.486"	"32.661"	"32.219"	"31.877"	"30.705"	"30.244"	"28.885"
"1918"	"29.683"	"30.72"	"33.209"	"35.605"	"34.353"	"32.784"	"32.68"	"32.448"	"32.178"	"31.982"	"30.812"	"29.406"
