
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"20.759"	"21.174"	"21.959"	"24.645"	"24.223"	"24.079"	"23.434"	"23.283"	"23.518"	"22.969"	"21.59"	"19.567"
"1902"	"19.483"	"19.678"	"22.458"	"24.666"	"24.79"	"24.579"	"23.601"	"23.927"	"22.773"	"22.279"	"21.4"	"20.545"
"1903"	"20.061"	"20.953"	"22.828"	"24.934"	"24.506"	"24.259"	"23.461"	"23.122"	"22.691"	"22.59"	"20.754"	"19.217"
"1904"	"18.835"	"19.52"	"21.937"	"24.766"	"23.891"	"23.145"	"22.802"	"23.122"	"23.231"	"22.87"	"21.254"	"19.449"
"1905"	"19.282"	"20.91"	"22.839"	"24.155"	"24.558"	"24.401"	"24.163"	"23.621"	"23.364"	"22.68"	"21.622"	"19.886"
"1906"	"20.43"	"21.567"	"22.159"	"25.745"	"25.638"	"24.143"	"23.583"	"22.981"	"22.463"	"22.559"	"21.509"	"20.134"
"1907"	"19.303"	"20.41"	"22.427"	"23.974"	"24.582"	"23.901"	"23.414"	"22.754"	"23.273"	"22.848"	"21.501"	"20.134"
"1908"	"19.66"	"19.953"	"21.756"	"25.445"	"24.498"	"24.349"	"22.902"	"23.091"	"22.799"	"22.848"	"21.168"	"19.622"
"1909"	"19.64"	"20.568"	"22.715"	"24.478"	"24.039"	"23.97"	"22.89"	"22.97"	"22.261"	"22.789"	"22.068"	"20.812"
"1910"	"19.738"	"20.231"	"22.363"	"24.856"	"25.181"	"24.06"	"23.37"	"22.648"	"22.153"	"22.399"	"20.721"	"19.429"
"1911"	"19.58"	"19.341"	"22.236"	"24.574"	"24.312"	"23.632"	"23.101"	"23.143"	"23.411"	"22.458"	"21.61"	"20.165"
"1912"	"19.009"	"21.299"	"23.07"	"25.165"	"25.537"	"24.06"	"23.324"	"23.263"	"22.974"	"22.399"	"21.322"	"19.438"
"1913"	"18.794"	"20.662"	"22.827"	"25.308"	"25.06"	"24.35"	"22.991"	"23.283"	"23.411"	"22.39"	"21.179"	"20.492"
"1914"	"19.052"	"20.778"	"22.807"	"24.745"	"25.038"	"24.848"	"23.323"	"23.09"	"23.199"	"22.448"	"21.499"	"20.653"
"1915"	"19.939"	"20.911"	"22.337"	"24.745"	"24.996"	"24.328"	"23.59"	"24.039"	"23.228"	"23.238"	"21.879"	"19.846"
"1916"	"18.952"	"20.631"	"22.708"	"25.345"	"24.59"	"23.26"	"23.322"	"22.944"	"22.542"	"22.537"	"21.39"	"19.238"
"1917"	"18.703"	"19.609"	"21.636"	"24.496"	"23.89"	"23.06"	"23.691"	"23.212"	"22.52"	"21.969"	"21.57"	"19.622"
"1918"	"18.96"	"18.999"	"21.09"	"24.355"	"23.529"	"23.358"	"23.7"	"23.441"	"22.831"	"23.257"	"22.138"	"20.165"
"1919"	"20.561"	"21.32"	"22.305"	"25.321"	"24.603"	"23.759"	"23.35"	"23.201"	"22.912"	"22.778"	"21.567"	"20.333"
"1920"	"19.304"	"20.861"	"22.937"	"24.657"	"25.047"	"24.29"	"23.711"	"23.479"	"23.141"	"22.969"	"21.57"	"19.564"
"1921"	"20.139"	"20.234"	"22.838"	"24.378"	"25.392"	"24.45"	"23.391"	"23.401"	"22.551"	"22.537"	"20.943"	"19.622"
"1922"	"19.73"	"19.861"	"22.647"	"24.845"	"24.391"	"24.081"	"23.304"	"23.36"	"23.001"	"22.369"	"21.49"	"19.177"
"1923"	"18.622"	"19.883"	"21.648"	"24.428"	"24.516"	"24.458"	"23.033"	"23.264"	"22.753"	"22.648"	"21.801"	"20.114"
"1924"	"19.45"	"20.799"	"22.358"	"25.375"	"25.539"	"24.153"	"23.403"	"23.489"	"22.802"	"22.77"	"21.223"	"19.428"
"1925"	"19.44"	"20.09"	"22.127"	"25.245"	"24.037"	"24.143"	"23.391"	"23.232"	"23.25"	"22.47"	"21.032"	"19.555"
"1926"	"19.761"	"20.431"	"22.917"	"24.719"	"25.139"	"24.848"	"24.18"	"23.668"	"22.953"	"22.7"	"21.179"	"20.175"
"1927"	"20.07"	"20.951"	"23.205"	"25.143"	"24.68"	"23.928"	"23.282"	"23.611"	"22.953"	"22.601"	"21.122"	"20.218"
"1928"	"19.982"	"20.733"	"22.09"	"24.995"	"25.37"	"24.449"	"23.501"	"23.243"	"23.478"	"22.6"	"21.221"	"19.699"
"1929"	"20.031"	"20.568"	"22.08"	"23.797"	"24.381"	"23.869"	"23.621"	"23.7"	"23.321"	"22.58"	"21.241"	"20.185"
"1930"	"19.75"	"20.431"	"22.347"	"24.724"	"23.781"	"24.069"	"23.732"	"23.284"	"23.142"	"22.258"	"21.311"	"20.376"
"1931"	"19.761"	"20.619"	"22.828"	"25.302"	"25.527"	"24.558"	"23.759"	"23.722"	"22.933"	"23.082"	"21.489"	"19.877"
"1932"	"18.857"	"20.233"	"21.808"	"24.955"	"24.07"	"23.878"	"23.191"	"23.508"	"22.864"	"22.627"	"21.632"	"19.857"
"1933"	"19.491"	"20.547"	"22.07"	"24.543"	"23.77"	"23.324"	"23.234"	"23.1"	"22.661"	"22.059"	"21.69"	"19.856"
"1934"	"19.582"	"19.568"	"21.768"	"24.586"	"24.879"	"24.121"	"23.581"	"23.243"	"23.62"	"23.037"	"20.924"	"19.376"
"1935"	"19.67"	"20.545"	"22.426"	"24.766"	"25.36"	"24.437"	"23.144"	"23.002"	"22.642"	"22.668"	"20.843"	"20.124"
