
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.115"	"14.492"	"2.359"	"41.816"	"98.801"	"41.159"	"48.15"	"121.106"	"159.483"	"112.879"	"145.188"	"36.298"
"1902"	"17.537"	"9.526"	"17.428"	"45.896"	"150.73"	"78.497"	"70.228"	"110.434"	"106.473"	"234.866"	"55.458"	"106.705"
"1903"	"1.193"	"0.874"	"0.003"	"9.608"	"152.27"	"106.82"	"37.417"	"147.812"	"209.257"	"168.454"	"232.8"	"51.178"
"1904"	"10.156"	"0"	"0.003"	"41.985"	"182.357"	"55.292"	"117.614"	"32.41"	"91.528"	"117.266"	"6.28"	"10.572"
"1905"	"3.938"	"1.979"	"17.482"	"67.022"	"93.547"	"58.626"	"39.905"	"108.611"	"61.716"	"180.261"	"35.878"	"1.201"
"1906"	"24.372"	"10.644"	"6.806"	"1.619"	"60.791"	"75.927"	"51.056"	"172.326"	"62.358"	"165.054"	"68.48"	"62.723"
"1907"	"13.311"	"0.145"	"9.492"	"89.562"	"39.87"	"51.546"	"60.97"	"46.378"	"129.572"	"93.661"	"120.381"	"33.038"
"1908"	"7.995"	"22.201"	"8.296"	"51.676"	"103.063"	"55.651"	"54.86"	"38.682"	"151.502"	"120.653"	"5.878"	"3.156"
"1909"	"26.794"	"4.874"	"0.003"	"105.38"	"103.206"	"37.916"	"50.01"	"178.029"	"121.714"	"247.56"	"9.995"	"2.009"
"1910"	"0.039"	"19.973"	"0.003"	"18.954"	"50.984"	"42.504"	"176.198"	"120.896"	"43.968"	"279.438"	"138.163"	"0.572"
"1911"	"0.17"	"0.243"	"41.036"	"39.754"	"89.817"	"37.282"	"53.431"	"33.006"	"72.763"	"192.58"	"66.24"	"35.144"
"1912"	"0.611"	"0.9"	"9.061"	"4.636"	"69.39"	"41.7"	"34.52"	"78.699"	"176.957"	"170.027"	"150.987"	"1.628"
"1913"	"0"	"0"	"1.073"	"25.344"	"73.026"	"33.261"	"82.262"	"63.365"	"117.726"	"162.865"	"74.414"	"29.925"
"1914"	"1.139"	"1.296"	"0.82"	"43.154"	"67.689"	"55.554"	"61.272"	"93.396"	"109.855"	"220.554"	"86.682"	"25.601"
"1915"	"6.368"	"3.732"	"37.465"	"39.876"	"83.9"	"78.498"	"101.55"	"89.787"	"147.001"	"140.555"	"141.121"	"15.259"
"1916"	"0"	"0.107"	"0.003"	"12.92"	"100.647"	"20.568"	"182.325"	"128.911"	"94.292"	"295.604"	"150.049"	"18.638"
"1917"	"1.293"	"26.294"	"4.973"	"16.173"	"84.979"	"94.638"	"42.015"	"171.574"	"156.209"	"109.159"	"123.975"	"13.765"
"1918"	"23.703"	"3.482"	"11.215"	"23.488"	"111.688"	"46.195"	"17.702"	"65.191"	"41.841"	"33.989"	"161.217"	"39.644"
