
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.427"	"21.858"	"23.42"	"26.928"	"28.507"	"27.589"	"27.18"	"27.567"	"27.521"	"26.992"	"25.055"	"22.56"
"1902"	"21.429"	"21.063"	"24.006"	"26.919"	"28.507"	"27.722"	"27.18"	"28.634"	"27.521"	"26.992"	"24.734"	"22.906"
"1903"	"21.429"	"21.906"	"23.696"	"26.995"	"28.507"	"27.589"	"27.202"	"27.567"	"27.521"	"26.992"	"24.056"	"22.108"
"1904"	"20.579"	"20.785"	"22.696"	"26.975"	"26.896"	"27.155"	"27.18"	"27.567"	"27.521"	"26.992"	"24.555"	"22.818"
"1905"	"21.337"	"21.796"	"23.497"	"25.717"	"28.554"	"27.858"	"28.669"	"27.567"	"27.945"	"26.992"	"25.065"	"22.349"
"1906"	"21.405"	"21.807"	"23.306"	"26.995"	"28.596"	"27.589"	"27.18"	"27.567"	"27.521"	"26.992"	"25.055"	"22.894"
"1907"	"21.427"	"22.116"	"24.006"	"25.685"	"28.507"	"27.589"	"27.18"	"27.367"	"27.521"	"26.992"	"25.065"	"22.807"
"1908"	"21.427"	"20.929"	"22.798"	"26.995"	"28.485"	"27.676"	"26.593"	"27.558"	"27.521"	"26.992"	"24.256"	"22.039"
"1909"	"20.677"	"22.116"	"24.006"	"26.615"	"28.507"	"27.445"	"27.188"	"27.567"	"27.22"	"26.992"	"24.745"	"22.874"
"1910"	"21.429"	"21.726"	"22.726"	"26.995"	"28.554"	"27.589"	"27.18"	"27.567"	"27.521"	"26.992"	"24.513"	"22.219"
"1911"	"21.427"	"20.948"	"24.006"	"26.919"	"28.507"	"27.548"	"27.18"	"27.567"	"27.521"	"26.992"	"25.055"	"22.906"
"1912"	"20.894"	"22.116"	"24.006"	"26.919"	"28.476"	"27.58"	"27.247"	"27.567"	"27.521"	"26.992"	"25.012"	"22.53"
"1913"	"20.536"	"22.118"	"24.006"	"26.928"	"28.476"	"27.589"	"27.18"	"27.599"	"27.521"	"26.992"	"25.065"	"22.906"
"1914"	"21.448"	"22.116"	"24.006"	"26.458"	"28.476"	"27.589"	"27.281"	"27.567"	"27.521"	"26.992"	"25.065"	"22.906"
"1915"	"21.405"	"21.807"	"24.006"	"26.975"	"28.507"	"27.589"	"27.18"	"27.567"	"27.521"	"26.992"	"25.087"	"22.731"
"1916"	"20.557"	"21.906"	"23.098"	"26.986"	"28.507"	"27.454"	"27.2"	"27.567"	"27.521"	"26.992"	"25.034"	"22.642"
"1917"	"20.28"	"21.097"	"22.607"	"26.697"	"27.059"	"26.771"	"27.18"	"27.567"	"27.033"	"26.305"	"24.646"	"22.61"
"1918"	"21.429"	"20.886"	"22.707"	"26.615"	"26.887"	"27.38"	"27.631"	"27.567"	"26.952"	"26.992"	"25.482"	"22.906"
"1919"	"21.956"	"22.096"	"23.297"	"26.939"	"28.554"	"27.444"	"27.271"	"27.567"	"27.521"	"26.992"	"25.034"	"22.906"
"1920"	"21.337"	"21.827"	"24.099"	"26.975"	"28.498"	"27.58"	"27.302"	"27.567"	"27.932"	"26.992"	"25.034"	"22.117"
"1921"	"21.448"	"21.285"	"24.006"	"26.919"	"28.507"	"27.676"	"27.18"	"27.567"	"27.521"	"26.992"	"24.423"	"22.498"
"1922"	"21.405"	"21.173"	"24.006"	"26.966"	"28.554"	"27.532"	"27.18"	"27.567"	"27.521"	"26.992"	"25.065"	"21.575"
"1923"	"20.127"	"21.418"	"22.696"	"26.946"	"28.508"	"27.667"	"27.202"	"27.608"	"27.521"	"26.992"	"25.065"	"22.906"
"1924"	"20.825"	"22.116"	"24.006"	"26.919"	"28.428"	"27.571"	"27.18"	"27.567"	"27.521"	"26.992"	"24.366"	"22.577"
"1925"	"20.815"	"20.948"	"23.376"	"26.986"	"28.364"	"27.632"	"27.18"	"27.567"	"27.521"	"26.992"	"25.065"	"22.116"
"1926"	"21.429"	"22.096"	"24.006"	"26.939"	"28.476"	"27.589"	"27.528"	"27.567"	"27.521"	"26.992"	"24.786"	"22.906"
"1927"	"21.357"	"22.096"	"24.006"	"26.975"	"28.488"	"27.58"	"27.18"	"27.567"	"27.521"	"26.992"	"24.755"	"22.906"
"1928"	"21.357"	"22.116"	"23.276"	"26.975"	"28.476"	"27.629"	"27.18"	"27.546"	"27.521"	"26.992"	"24.923"	"22.906"
"1929"	"21.448"	"21.706"	"23.428"	"25.231"	"28.545"	"27.62"	"27.18"	"27.567"	"27.521"	"26.992"	"24.933"	"22.906"
"1930"	"21.136"	"21.507"	"24.006"	"26.995"	"27.317"	"27.589"	"27.2"	"27.567"	"27.521"	"26.881"	"24.735"	"22.906"
"1931"	"21.156"	"22.116"	"24.006"	"26.928"	"28.485"	"27.58"	"27.2"	"27.587"	"27.521"	"26.992"	"24.834"	"22.906"
"1932"	"20.39"	"21.025"	"22.928"	"26.975"	"27.286"	"27.58"	"27.18"	"27.567"	"27.521"	"26.971"	"25.065"	"22.865"
"1933"	"21.427"	"22.116"	"23.368"	"26.908"	"26.796"	"26.957"	"27.249"	"27.567"	"27.521"	"26.983"	"25.034"	"22.906"
"1934"	"21.079"	"20.787"	"22.627"	"26.848"	"28.507"	"27.359"	"27.2"	"27.546"	"27.521"	"26.992"	"24.068"	"22.294"
"1935"	"21.429"	"21.627"	"24.006"	"26.538"	"28.476"	"27.532"	"27.2"	"27.567"	"27.521"	"26.992"	"23.988"	"22.906"
"1936"	"21.356"	"21.906"	"23.42"	"26.986"	"28.555"	"27.248"	"27.271"	"27.567"	"27.521"	"26.992"	"25.034"	"22.906"
