
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.69"	"4.24"	"4.65"	"4.76"	"4.6"	"4.28"	"4.26"	"4.27"	"4.23"	"3.93"	"3.45"	"3.26"
"1902"	"3.62"	"4.08"	"4.66"	"4.82"	"4.63"	"4.31"	"4.24"	"4.3"	"4.23"	"3.87"	"3.46"	"3.29"
"1903"	"3.66"	"4.21"	"4.7"	"4.83"	"4.62"	"4.31"	"4.25"	"4.26"	"4.23"	"3.92"	"3.47"	"3.22"
"1904"	"3.56"	"4.08"	"4.59"	"4.8"	"4.61"	"4.23"	"4.22"	"4.22"	"4.26"	"3.92"	"3.49"	"3.22"
"1905"	"3.58"	"4.19"	"4.74"	"4.73"	"4.6"	"4.3"	"4.34"	"4.29"	"4.27"	"3.93"	"3.48"	"3.26"
"1906"	"3.65"	"4.23"	"4.68"	"4.87"	"4.64"	"4.29"	"4.28"	"4.22"	"4.26"	"3.91"	"3.44"	"3.28"
"1907"	"3.59"	"4.16"	"4.67"	"4.74"	"4.62"	"4.28"	"4.25"	"4.19"	"4.26"	"3.91"	"3.48"	"3.27"
"1908"	"3.6"	"4.11"	"4.63"	"4.86"	"4.61"	"4.26"	"4.19"	"4.23"	"4.2"	"3.91"	"3.43"	"3.21"
"1909"	"3.58"	"4.14"	"4.67"	"4.79"	"4.57"	"4.25"	"4.17"	"4.19"	"4.18"	"3.9"	"3.49"	"3.28"
"1910"	"3.6"	"4.11"	"4.62"	"4.74"	"4.63"	"4.27"	"4.22"	"4.19"	"4.18"	"3.89"	"3.44"	"3.23"
"1911"	"3.58"	"4.1"	"4.64"	"4.76"	"4.56"	"4.19"	"4.2"	"4.23"	"4.24"	"3.87"	"3.46"	"3.26"
"1912"	"3.54"	"4.2"	"4.72"	"4.83"	"4.63"	"4.26"	"4.24"	"4.26"	"4.22"	"3.89"	"3.5"	"3.25"
"1913"	"3.54"	"4.18"	"4.69"	"4.84"	"4.66"	"4.33"	"4.21"	"4.24"	"4.22"	"3.9"	"3.44"	"3.26"
"1914"	"3.59"	"4.17"	"4.67"	"4.81"	"4.62"	"4.3"	"4.22"	"4.22"	"4.23"	"3.87"	"3.46"	"3.27"
"1915"	"3.6"	"4.17"	"4.62"	"4.77"	"4.62"	"4.29"	"4.23"	"4.3"	"4.24"	"3.94"	"3.51"	"3.27"
"1916"	"3.58"	"4.17"	"4.7"	"4.83"	"4.62"	"4.2"	"4.22"	"4.23"	"4.17"	"3.89"	"3.47"	"3.2"
"1917"	"3.53"	"4.09"	"4.57"	"4.76"	"4.56"	"4.21"	"4.26"	"4.26"	"4.18"	"3.87"	"3.45"	"3.21"
"1918"	"3.54"	"4.02"	"4.52"	"4.76"	"4.53"	"4.19"	"4.21"	"4.23"	"4.17"	"3.9"	"3.46"	"3.26"
"1919"	"3.66"	"4.23"	"4.63"	"4.81"	"4.63"	"4.24"	"4.22"	"4.21"	"4.2"	"3.89"	"3.44"	"3.26"
"1920"	"3.6"	"4.19"	"4.71"	"4.79"	"4.62"	"4.29"	"4.27"	"4.27"	"4.24"	"3.93"	"3.45"	"3.21"
"1921"	"3.6"	"4.17"	"4.71"	"4.8"	"4.66"	"4.33"	"4.24"	"4.27"	"4.22"	"3.91"	"3.46"	"3.23"
"1922"	"3.59"	"4.11"	"4.63"	"4.77"	"4.59"	"4.28"	"4.24"	"4.25"	"4.2"	"3.89"	"3.47"	"3.22"
"1923"	"3.54"	"4.13"	"4.63"	"4.82"	"4.62"	"4.29"	"4.21"	"4.22"	"4.23"	"3.91"	"3.49"	"3.25"
"1924"	"3.58"	"4.19"	"4.7"	"4.83"	"4.73"	"4.29"	"4.26"	"4.26"	"4.23"	"3.93"	"3.48"	"3.23"
"1925"	"3.55"	"4.14"	"4.64"	"4.85"	"4.61"	"4.29"	"4.23"	"4.23"	"4.24"	"3.93"	"3.45"	"3.22"
"1926"	"3.6"	"4.16"	"4.71"	"4.81"	"4.62"	"4.3"	"4.27"	"4.29"	"4.23"	"3.92"	"3.43"	"3.27"
"1927"	"3.61"	"4.18"	"4.71"	"4.76"	"4.55"	"4.23"	"4.24"	"4.27"	"4.22"	"3.91"	"3.47"	"3.29"
"1928"	"3.62"	"4.21"	"4.62"	"4.79"	"4.64"	"4.29"	"4.24"	"4.26"	"4.26"	"3.92"	"3.45"	"3.26"
"1929"	"3.62"	"4.18"	"4.66"	"4.69"	"4.58"	"4.23"	"4.24"	"4.26"	"4.22"	"3.91"	"3.46"	"3.26"
"1930"	"3.59"	"4.21"	"4.67"	"4.78"	"4.53"	"4.26"	"4.29"	"4.24"	"4.24"	"3.86"	"3.5"	"3.29"
