
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"30.738"	"31.853"	"32.289"	"33.03"	"32.921"	"31.811"	"31.257"	"31.157"	"31.246"	"30.859"	"29.587"	"28.998"
"1902"	"29.95"	"30.258"	"32.35"	"33.646"	"33.303"	"32.146"	"30.96"	"31.388"	"31.145"	"30.231"	"29.592"	"29.465"
"1903"	"30.382"	"31.654"	"32.668"	"33.698"	"33.124"	"32.162"	"31.127"	"30.935"	"31.048"	"30.918"	"29.685"	"28.534"
"1904"	"29.269"	"30.153"	"31.672"	"33.4"	"32.931"	"31.169"	"30.693"	"30.515"	"31.48"	"30.959"	"29.921"	"28.588"
"1905"	"29.459"	"31.191"	"33.097"	"32.854"	"32.932"	"31.894"	"32.07"	"31.257"	"31.653"	"30.8"	"29.885"	"29.159"
"1906"	"30.27"	"31.76"	"32.592"	"34.105"	"33.402"	"31.763"	"31.397"	"30.589"	"31.31"	"30.583"	"29.354"	"29.259"
"1907"	"29.628"	"30.93"	"32.527"	"32.965"	"33.189"	"31.802"	"31.127"	"30.326"	"31.457"	"30.568"	"29.711"	"29.21"
"1908"	"29.785"	"30.554"	"31.96"	"34.01"	"32.966"	"31.498"	"30.489"	"30.657"	"30.72"	"30.568"	"29.288"	"28.5"
"1909"	"29.489"	"30.815"	"32.494"	"33.308"	"32.67"	"31.395"	"30.287"	"30.216"	"30.586"	"30.518"	"29.799"	"29.377"
"1910"	"29.785"	"30.489"	"31.853"	"32.842"	"33.335"	"31.632"	"30.785"	"30.349"	"30.718"	"30.359"	"29.491"	"28.7"
"1911"	"29.494"	"30.455"	"32.159"	"33.072"	"32.655"	"30.803"	"30.487"	"30.63"	"31.32"	"30.197"	"29.616"	"29"
"1912"	"29.061"	"31.423"	"32.987"	"33.767"	"33.367"	"31.472"	"31.051"	"30.915"	"30.943"	"30.382"	"29.995"	"28.798"
"1913"	"29.123"	"31.18"	"32.732"	"33.875"	"33.505"	"32.164"	"30.725"	"30.779"	"31.079"	"30.534"	"29.224"	"29.13"
"1914"	"29.501"	"31.088"	"32.494"	"33.564"	"33.064"	"32.007"	"30.873"	"30.589"	"31.144"	"30.27"	"29.574"	"29.234"
"1915"	"29.794"	"31.023"	"31.995"	"33.107"	"33.064"	"31.731"	"30.918"	"31.369"	"31.212"	"31.017"	"30.157"	"29.299"
"1916"	"29.351"	"30.965"	"32.66"	"33.767"	"33.198"	"30.859"	"30.823"	"30.653"	"30.535"	"30.359"	"29.753"	"28.288"
"1917"	"28.957"	"30.282"	"31.56"	"33.03"	"32.571"	"31.002"	"31.215"	"30.987"	"30.779"	"30.125"	"29.587"	"28.435"
"1918"	"29.058"	"29.411"	"31.065"	"33.072"	"32.258"	"30.732"	"30.732"	"30.756"	"30.51"	"30.59"	"29.718"	"28.932"
