
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.22"	"5.82"	"6.19"	"5.98"	"5.65"	"5.1"	"5.02"	"5.14"	"5.23"	"4.96"	"4.63"	"4.62"
"1902"	"5.18"	"5.73"	"6.15"	"5.99"	"5.68"	"5.13"	"5.02"	"5.17"	"5.25"	"4.92"	"4.6"	"4.62"
"1903"	"5.18"	"5.78"	"6.19"	"6.01"	"5.68"	"5.13"	"5.05"	"5.14"	"5.21"	"4.95"	"4.64"	"4.63"
"1904"	"5.15"	"5.73"	"6.12"	"5.99"	"5.7"	"5.08"	"5.01"	"5.1"	"5.21"	"4.95"	"4.65"	"4.63"
"1905"	"5.14"	"5.74"	"6.21"	"6.01"	"5.65"	"5.07"	"5.07"	"5.17"	"5.25"	"4.96"	"4.64"	"4.62"
"1906"	"5.15"	"5.79"	"6.16"	"6.01"	"5.7"	"5.12"	"5.04"	"5.14"	"5.24"	"4.95"	"4.6"	"4.63"
"1907"	"5.15"	"5.74"	"6.17"	"5.98"	"5.67"	"5.11"	"5.05"	"5.11"	"5.22"	"4.94"	"4.64"	"4.63"
"1908"	"5.17"	"5.75"	"6.13"	"6.01"	"5.71"	"5.11"	"5"	"5.13"	"5.21"	"4.94"	"4.63"	"4.62"
"1909"	"5.15"	"5.73"	"6.16"	"6.01"	"5.66"	"5.1"	"5"	"5.1"	"5.2"	"4.9"	"4.63"	"4.64"
"1910"	"5.17"	"5.75"	"6.15"	"5.95"	"5.68"	"5.11"	"5.02"	"5.13"	"5.2"	"4.91"	"4.63"	"4.62"
"1911"	"5.15"	"5.73"	"6.17"	"5.98"	"5.68"	"5.07"	"4.98"	"5.11"	"5.23"	"4.93"	"4.63"	"4.65"
"1912"	"5.12"	"5.73"	"6.18"	"6.01"	"5.7"	"5.11"	"5.02"	"5.14"	"5.24"	"4.91"	"4.64"	"4.65"
"1913"	"5.12"	"5.73"	"6.17"	"6.01"	"5.7"	"5.14"	"5.02"	"5.14"	"5.22"	"4.94"	"4.62"	"4.62"
"1914"	"5.15"	"5.74"	"6.16"	"6.01"	"5.69"	"5.12"	"5.03"	"5.13"	"5.23"	"4.94"	"4.61"	"4.64"
"1915"	"5.17"	"5.76"	"6.16"	"5.98"	"5.68"	"5.12"	"5.01"	"5.16"	"5.24"	"4.94"	"4.66"	"4.66"
"1916"	"5.15"	"5.73"	"6.17"	"6.01"	"5.72"	"5.08"	"5"	"5.14"	"5.2"	"4.91"	"4.64"	"4.63"
"1917"	"5.13"	"5.73"	"6.12"	"5.97"	"5.68"	"5.06"	"5.01"	"5.16"	"5.23"	"4.9"	"4.63"	"4.62"
"1918"	"5.15"	"5.72"	"6.07"	"5.97"	"5.68"	"5.06"	"4.98"	"5.14"	"5.2"	"4.91"	"4.63"	"4.61"
"1919"	"5.15"	"5.82"	"6.17"	"5.98"	"5.69"	"5.11"	"5.01"	"5.12"	"5.21"	"4.94"	"4.61"	"4.62"
"1920"	"5.15"	"5.75"	"6.19"	"6.01"	"5.68"	"5.11"	"5.03"	"5.15"	"5.23"	"4.96"	"4.65"	"4.61"
"1921"	"5.15"	"5.74"	"6.18"	"5.98"	"5.68"	"5.14"	"5.05"	"5.15"	"5.23"	"4.94"	"4.64"	"4.62"
"1922"	"5.15"	"5.74"	"6.15"	"5.98"	"5.65"	"5.11"	"5.02"	"5.14"	"5.22"	"4.91"	"4.64"	"4.63"
"1923"	"5.13"	"5.73"	"6.14"	"6"	"5.7"	"5.12"	"5.02"	"5.12"	"5.22"	"4.93"	"4.64"	"4.64"
"1924"	"5.14"	"5.75"	"6.17"	"5.98"	"5.72"	"5.14"	"5.03"	"5.14"	"5.22"	"4.95"	"4.64"	"4.63"
"1925"	"5.13"	"5.73"	"6.13"	"6.01"	"5.69"	"5.12"	"5.02"	"5.13"	"5.22"	"4.96"	"4.64"	"4.62"
"1926"	"5.15"	"5.74"	"6.17"	"6.01"	"5.68"	"5.12"	"5.04"	"5.16"	"5.23"	"4.96"	"4.63"	"4.62"
"1927"	"5.15"	"5.76"	"6.2"	"6.01"	"5.66"	"5.07"	"5"	"5.14"	"5.23"	"4.94"	"4.63"	"4.63"
"1928"	"5.15"	"5.8"	"6.16"	"5.98"	"5.69"	"5.12"	"5.03"	"5.13"	"5.25"	"4.97"	"4.63"	"4.62"
"1929"	"5.15"	"5.76"	"6.2"	"5.96"	"5.65"	"5.08"	"5.01"	"5.14"	"5.22"	"4.94"	"4.63"	"4.63"
