
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"21.644"	"57.021"	"30.259"	"102.457"	"91.042"	"33.748"	"31.62"	"34.713"	"182.198"	"136.322"	"275.377"	"35.634"
"1902"	"71.923"	"41.282"	"53.142"	"36.115"	"53.023"	"129.937"	"7.915"	"93.628"	"50.433"	"329.061"	"212.486"	"96.222"
"1903"	"17.381"	"8.047"	"0.296"	"25.732"	"132.354"	"23.857"	"34.804"	"121.847"	"172.339"	"116.342"	"224.503"	"164.415"
"1904"	"30.369"	"0.426"	"0.296"	"0.935"	"62.893"	"11.969"	"55.685"	"23.337"	"34.251"	"165.474"	"32.453"	"66.225"
"1905"	"1.235"	"0.472"	"3.841"	"87.984"	"63.156"	"56.986"	"11.322"	"61.577"	"59.48"	"196.013"	"148.326"	"10.56"
"1906"	"20.99"	"22.925"	"33.448"	"12.091"	"28.137"	"28.092"	"35.748"	"119.725"	"16.887"	"279.601"	"230.057"	"64.201"
"1907"	"24.281"	"10.147"	"17.134"	"127.282"	"46.195"	"28.145"	"79.43"	"21.641"	"51.721"	"231.122"	"196.512"	"52.894"
"1908"	"8.625"	"142.011"	"55.412"	"61.96"	"43.571"	"39.114"	"51.075"	"71.655"	"158.59"	"299.391"	"15.207"	"16.603"
"1909"	"54.63"	"92.254"	"4.282"	"33.323"	"135.19"	"13.432"	"7.788"	"157.611"	"74.998"	"121.524"	"124.604"	"30.806"
"1910"	"37.568"	"110.509"	"0.296"	"49.838"	"49.89"	"46.305"	"137.475"	"154.378"	"30.453"	"217.065"	"168.306"	"2.007"
"1911"	"3.546"	"22.327"	"0.296"	"75.383"	"48.464"	"85.411"	"22.572"	"9.369"	"90.431"	"105.704"	"155.829"	"145.859"
"1912"	"3.018"	"0.528"	"5.806"	"18.137"	"58.962"	"153.321"	"7.649"	"83.862"	"124.418"	"355.181"	"214.568"	"30.85"
"1913"	"7.956"	"2.782"	"0.296"	"41.205"	"28.141"	"13.393"	"44.71"	"35.465"	"39.523"	"259.312"	"172.786"	"70.898"
"1914"	"5.187"	"0.212"	"1.871"	"24.968"	"41.257"	"34.017"	"19.859"	"62.486"	"50.851"	"401.81"	"117.307"	"112.185"
"1915"	"11.301"	"30.494"	"9.246"	"105.723"	"65.469"	"17.504"	"81.71"	"92.229"	"110.32"	"90.673"	"289.823"	"65.302"
"1916"	"0.084"	"5.793"	"5.022"	"12.744"	"79.213"	"7.619"	"236.621"	"91.761"	"135.412"	"164.124"	"160.021"	"38.988"
"1917"	"7.027"	"26.967"	"80.29"	"1.865"	"92.962"	"38.438"	"26.422"	"197.148"	"99.604"	"65.387"	"163.267"	"36.592"
"1918"	"37.88"	"34.156"	"51.477"	"11.409"	"43.971"	"25.129"	"58.4"	"50.914"	"19.873"	"69.012"	"323.603"	"116.651"
"1919"	"10.646"	"2.803"	"18.026"	"10.491"	"52.729"	"67.706"	"57.944"	"25.066"	"107.206"	"182.699"	"260.858"	"145.526"
"1920"	"96.113"	"1.286"	"2.085"	"111.197"	"32.492"	"40.092"	"7.052"	"53.303"	"90.957"	"196.216"	"494.734"	"9.362"
"1921"	"91.672"	"0.212"	"0.422"	"93.877"	"21.412"	"111.658"	"67.801"	"93.111"	"127.279"	"213.883"	"229.349"	"102.278"
