
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"25.577"	"25.244"	"26.776"	"29.972"	"31.152"	"30.012"	"29.346"	"29.285"	"29.318"	"29.046"	"27.883"	"25.504"
"1902"	"24.631"	"24.546"	"27.135"	"29.963"	"31.152"	"30.105"	"29.346"	"29.915"	"29.318"	"29.046"	"27.783"	"26.176"
"1903"	"24.654"	"25.253"	"26.446"	"29.972"	"31.152"	"30.012"	"29.447"	"29.285"	"29.318"	"29.046"	"27.317"	"25.471"
"1904"	"23.95"	"23.815"	"25.733"	"29.972"	"30.956"	"29.367"	"29.346"	"29.285"	"29.318"	"29.046"	"27.748"	"25.734"
"1905"	"24.654"	"25.151"	"26.825"	"29.668"	"31.151"	"30.183"	"30.515"	"29.285"	"29.379"	"29.046"	"27.883"	"25.38"
"1906"	"24.654"	"25.153"	"26.731"	"29.972"	"31.175"	"30.183"	"29.346"	"29.285"	"29.318"	"29.046"	"27.883"	"25.406"
"1907"	"24.654"	"25.285"	"27.135"	"29.624"	"31.152"	"30.021"	"29.346"	"28.428"	"29.318"	"29.046"	"27.883"	"25.514"
"1908"	"24.654"	"25.215"	"26.391"	"29.972"	"31.152"	"30.012"	"28.69"	"28.859"	"29.318"	"29.046"	"27.354"	"24.92"
"1909"	"23.915"	"25.285"	"27.135"	"29.972"	"31.152"	"30.183"	"27.922"	"28.82"	"28.287"	"29.046"	"27.816"	"25.679"
"1910"	"24.654"	"25.186"	"26.19"	"29.972"	"31.152"	"30.105"	"29.346"	"29.285"	"29.318"	"29.046"	"27.781"	"24.764"
"1911"	"24.654"	"24.687"	"27.135"	"29.972"	"31.152"	"28.818"	"29.346"	"29.284"	"29.318"	"29.046"	"27.883"	"26.176"
"1912"	"23.723"	"25.285"	"27.135"	"29.972"	"31.152"	"30.012"	"29.346"	"29.242"	"29.318"	"29.046"	"27.883"	"25.579"
"1913"	"23.641"	"25.316"	"27.135"	"29.972"	"31.152"	"30.183"	"29.346"	"29.285"	"29.318"	"29.046"	"27.883"	"26.176"
"1914"	"24.654"	"25.285"	"27.135"	"29.972"	"31.152"	"30.012"	"29.447"	"29.285"	"29.318"	"29.046"	"27.883"	"26.176"
"1915"	"24.654"	"25.25"	"27.135"	"29.972"	"31.24"	"30.021"	"29.346"	"29.285"	"29.318"	"29.046"	"27.906"	"26.176"
"1916"	"24.069"	"25.177"	"26.599"	"29.972"	"31.175"	"30.105"	"29.346"	"29.285"	"29.318"	"29.046"	"27.883"	"24.848"
"1917"	"23.981"	"25.215"	"25.788"	"29.963"	"31.126"	"29.783"	"29.447"	"29.294"	"29.291"	"28.715"	"27.748"	"25.484"
"1918"	"24.147"	"23.919"	"25.826"	"29.972"	"29.486"	"28.833"	"30.604"	"29.285"	"28.28"	"29.046"	"27.883"	"26.176"
"1919"	"25.282"	"25.285"	"26.63"	"29.972"	"31.152"	"30.012"	"29.355"	"29.284"	"29.318"	"29.046"	"27.771"	"26.176"
"1920"	"24.654"	"25.25"	"27.339"	"29.972"	"31.152"	"30.105"	"29.346"	"29.284"	"29.489"	"29.046"	"27.859"	"24.833"
"1921"	"24.654"	"24.847"	"27.135"	"29.963"	"31.152"	"30.105"	"29.346"	"29.285"	"29.318"	"29.004"	"27.671"	"25.346"
"1922"	"24.654"	"24.845"	"27.135"	"29.972"	"31.174"	"29.989"	"29.346"	"29.294"	"29.318"	"29.046"	"27.883"	"24.686"
"1923"	"23.975"	"25.06"	"26.031"	"29.972"	"31.175"	"29.989"	"29.346"	"29.285"	"29.318"	"29.078"	"27.883"	"26.092"
"1924"	"24.068"	"25.285"	"27.135"	"29.972"	"32.227"	"29.655"	"29.346"	"29.285"	"29.318"	"29.046"	"27.548"	"25.104"
"1925"	"23.845"	"25.18"	"26.689"	"29.972"	"31.175"	"30.183"	"29.346"	"29.285"	"29.318"	"29.046"	"27.883"	"25.335"
"1926"	"24.654"	"25.285"	"27.135"	"29.972"	"31.152"	"30.105"	"29.346"	"29.285"	"29.318"	"29.046"	"27.783"	"26.176"
"1927"	"24.654"	"25.285"	"27.135"	"29.972"	"30.194"	"29.658"	"29.346"	"29.285"	"29.318"	"29.046"	"27.875"	"26.176"
"1928"	"24.654"	"25.285"	"26.662"	"29.972"	"31.152"	"30.183"	"29.378"	"29.284"	"29.318"	"29.046"	"27.815"	"26.176"
"1929"	"24.654"	"25.285"	"26.855"	"28.919"	"31.152"	"29.655"	"29.346"	"29.284"	"29.317"	"29.046"	"27.857"	"25.877"
"1930"	"24.722"	"25.05"	"27.135"	"29.972"	"31.001"	"29.989"	"29.346"	"29.285"	"29.318"	"27.808"	"27.757"	"26.176"
"1931"	"24.643"	"25.285"	"27.135"	"29.972"	"31.175"	"30.012"	"29.346"	"29.285"	"29.318"	"29.046"	"27.883"	"25.974"
