
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.6962"	"2.5228"	"2.6181"	"2.9594"	"2.8354"	"2.0124"	"2.0928"	"1.8375"	"5.4966"	"6.3237"	"10.5059"	"4.2735"
"1902"	"2.9777"	"3.0871"	"2.8808"	"2.3212"	"2.2659"	"4.5572"	"1.8304"	"2.9941"	"4.1289"	"10.9263"	"7.7603"	"4.3769"
"1903"	"1.146"	"1.675"	"0.2968"	"1.591"	"4.6742"	"2.6533"	"2.4362"	"5.9675"	"6.122"	"8.0693"	"8.0776"	"5.5074"
"1904"	"1.6818"	"0.4258"	"0.2968"	"0.9345"	"2.5246"	"2.8722"	"5.0759"	"2.477"	"2.3476"	"7.0696"	"2.1941"	"4.1883"
"1905"	"0.811"	"0.4263"	"1.4783"	"4.8059"	"3.7565"	"2.4443"	"2.6048"	"3.079"	"3.0397"	"9.4302"	"7.2288"	"1.2199"
"1906"	"2.3245"	"1.0665"	"2.5514"	"1.5124"	"2.5087"	"2.5688"	"2.9003"	"3.8757"	"2.7518"	"8.5376"	"8.9387"	"6.712"
"1907"	"1.1281"	"1.0665"	"2.2614"	"4.3993"	"2.4907"	"3.5718"	"2.8445"	"3.2703"	"4.4778"	"9.7942"	"7.8312"	"4.4903"
"1908"	"1.7059"	"2.3509"	"2.6633"	"2.557"	"2.6225"	"1.3464"	"2.9362"	"3.0759"	"6.7384"	"10.3092"	"3.9547"	"3.1578"
"1909"	"2.4055"	"2.0397"	"1.2598"	"4.0787"	"4.7086"	"2.6169"	"1.3965"	"7.1419"	"4.2349"	"7.9573"	"6.3199"	"2.7952"
"1910"	"1.6601"	"2.5793"	"0.2968"	"3.0934"	"1.8381"	"2.6005"	"4.1244"	"6.197"	"2.7123"	"9.8632"	"6.9356"	"1.1598"
"1911"	"1.0703"	"1.0665"	"0.2968"	"1.8204"	"1.9855"	"3.1951"	"2.7128"	"1.6949"	"3.9107"	"7.3919"	"8.1004"	"5.9943"
"1912"	"1.0313"	"0.5276"	"1.7449"	"2.5456"	"2.3543"	"3.958"	"1.5738"	"3.2531"	"4.6552"	"9.7316"	"8.2624"	"2.3475"
"1913"	"1.5829"	"1.1744"	"0.2968"	"1.4776"	"2.0189"	"2.1804"	"5.8764"	"2.5128"	"2.2696"	"8.5441"	"9.0601"	"4.7294"
"1914"	"1.0314"	"0.2125"	"0.6449"	"3.6741"	"3.05"	"1.8147"	"1.651"	"2.2086"	"4.7333"	"12.3197"	"7.1083"	"5.6675"
"1915"	"1.7738"	"1.462"	"2.4573"	"3.7612"	"3.1425"	"2.2152"	"3.6044"	"3.0726"	"6.8353"	"4.8289"	"8.6567"	"3.233"
"1916"	"0.084"	"0.7591"	"1.2878"	"2.8343"	"3.1574"	"2.2563"	"5.5028"	"4.3149"	"3.909"	"7.4343"	"7.2257"	"3.0476"
"1917"	"1.2772"	"1.775"	"2.8344"	"1.554"	"2.9898"	"3.3276"	"5.2513"	"4.7973"	"5.9551"	"6.101"	"8.0415"	"4.1022"
"1918"	"2.8591"	"1.8098"	"1.4146"	"2.042"	"3.4673"	"1.2267"	"1.9356"	"1.5179"	"2.2588"	"6.6915"	"11.18"	"5.2653"
"1919"	"2.1328"	"0.812"	"2.5148"	"2.0289"	"3.8062"	"5.412"	"3.6819"	"2.6505"	"5.1255"	"8.3851"	"10.235"	"5.5995"
"1920"	"3.6333"	"0.8817"	"0.6665"	"4.3926"	"1.2361"	"2.7581"	"1.2718"	"2.8884"	"3.914"	"6.1506"	"12.1578"	"1.9396"
"1921"	"3.6362"	"0.2125"	"0.423"	"4.3027"	"1.2007"	"3.3818"	"3.4222"	"3.9722"	"3.1742"	"9.0042"	"6.3494"	"3.7037"
"1922"	"1.2721"	"2.4027"	"0.2968"	"2.6039"	"3.7768"	"2.5098"	"1.8315"	"2.8484"	"2.9473"	"9.3507"	"10.2851"	"4.2879"
"1923"	"3.4156"	"1.0665"	"3.6088"	"1.9494"	"1.2044"	"2.3109"	"1.4366"	"3.3033"	"4.886"	"9.2907"	"5.073"	"5.3891"
"1924"	"2.1484"	"0.2125"	"3.5365"	"3.0382"	"2.5208"	"2.5517"	"3.3587"	"3.7906"	"5.4081"	"6.0487"	"7.0662"	"3.363"
"1925"	"2.1823"	"1.6712"	"4.4442"	"2.6839"	"2.567"	"2.3645"	"2.2083"	"4.6338"	"3.3015"	"7.8672"	"9.3751"	"6.1275"
"1926"	"2.302"	"1.0033"	"2.23"	"3.5406"	"3.6868"	"1.6014"	"3.7019"	"2.9405"	"5.7934"	"8.7822"	"7.6968"	"2.7082"
