
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"26.57"	"27.17"	"27.722"	"29.311"	"30.186"	"29.887"	"29.081"	"28.718"	"28.52"	"27.838"	"26.186"	"25.103"
"1902"	"25.605"	"25.392"	"27.809"	"29.892"	"30.515"	"30.106"	"29.02"	"28.882"	"28.364"	"27.073"	"26.128"	"25.638"
"1903"	"25.955"	"27.047"	"28.132"	"29.95"	"30.211"	"29.904"	"29.064"	"28.379"	"28.243"	"27.887"	"26.154"	"24.784"
"1904"	"25.058"	"25.479"	"27.326"	"29.937"	"30.103"	"29.367"	"28.678"	"28.365"	"28.818"	"27.872"	"26.533"	"24.698"
"1905"	"24.973"	"26.65"	"28.739"	"29.199"	"30.103"	"30.061"	"30.186"	"28.878"	"29.023"	"27.673"	"26.414"	"25.325"
"1906"	"25.965"	"27.457"	"27.934"	"30.501"	"30.884"	"29.834"	"29.479"	"28.069"	"28.554"	"27.45"	"26"	"25.491"
"1907"	"25.34"	"26.173"	"28.127"	"29.354"	"30.602"	"29.854"	"29.142"	"28.259"	"28.818"	"27.459"	"26.238"	"25.404"
"1908"	"25.463"	"25.766"	"27.435"	"30.626"	"30.401"	"29.825"	"28.761"	"28.365"	"27.837"	"27.459"	"25.833"	"24.693"
"1909"	"25.354"	"26.25"	"28.048"	"29.736"	"29.91"	"29.365"	"28.355"	"27.756"	"27.701"	"27.581"	"26.694"	"25.795"
"1910"	"25.518"	"25.931"	"27.32"	"29.401"	"30.797"	"29.675"	"28.746"	"27.935"	"27.931"	"27.35"	"25.916"	"24.822"
"1911"	"25.253"	"25.689"	"27.71"	"29.421"	"30.007"	"28.947"	"28.85"	"28.375"	"28.59"	"27.173"	"26.143"	"25.194"
"1912"	"24.752"	"26.865"	"28.602"	"30.107"	"30.808"	"29.712"	"29.094"	"28.703"	"28.208"	"27.367"	"26.527"	"24.92"
"1913"	"24.832"	"26.559"	"28.403"	"30.299"	"30.669"	"30.298"	"28.744"	"28.557"	"28.421"	"27.367"	"25.641"	"25.257"
"1914"	"25.146"	"26.381"	"28.032"	"29.823"	"30.377"	"30.16"	"28.873"	"28.158"	"28.23"	"26.987"	"26.027"	"25.47"
"1915"	"25.526"	"26.441"	"27.702"	"29.512"	"30.49"	"29.59"	"28.76"	"29.163"	"28.414"	"28.054"	"26.841"	"25.495"
"1916"	"25.048"	"26.462"	"28.049"	"30.239"	"30.341"	"28.895"	"28.535"	"28.173"	"27.81"	"27.389"	"26.442"	"24.475"
"1917"	"24.548"	"25.48"	"27.054"	"29.416"	"29.707"	"28.71"	"29.047"	"28.369"	"27.918"	"27.141"	"26.323"	"24.693"
"1918"	"24.77"	"24.869"	"26.535"	"29.424"	"29.597"	"28.554"	"28.733"	"28.555"	"27.818"	"27.551"	"26.212"	"25.111"
"1919"	"26.246"	"27.243"	"27.595"	"29.93"	"30.608"	"29.369"	"28.678"	"28.228"	"28.013"	"27.371"	"26.214"	"25.305"
"1920"	"25.446"	"26.677"	"28.297"	"29.726"	"30.505"	"30.002"	"29.442"	"28.848"	"28.596"	"27.849"	"26.202"	"24.597"
"1921"	"25.573"	"26.199"	"28.232"	"29.812"	"31.192"	"30.386"	"28.862"	"28.769"	"28.239"	"27.395"	"25.964"	"24.897"
"1922"	"25.418"	"25.665"	"27.696"	"29.605"	"30.189"	"29.919"	"29.144"	"28.715"	"28.294"	"27.173"	"26.44"	"24.607"
"1923"	"24.655"	"26.078"	"27.66"	"29.956"	"30.283"	"30.002"	"28.972"	"28.557"	"28.43"	"27.484"	"26.544"	"25.07"
"1924"	"25.042"	"26.54"	"28.062"	"30.214"	"31.6"	"30.17"	"29.202"	"28.736"	"28.243"	"27.775"	"26.427"	"24.724"
"1925"	"24.823"	"25.959"	"27.751"	"30.443"	"30.305"	"29.893"	"28.866"	"28.286"	"28.416"	"27.594"	"26.04"	"24.824"
"1926"	"25.518"	"26.25"	"28.353"	"30.005"	"30.494"	"30.148"	"29.266"	"28.783"	"28.343"	"27.673"	"25.699"	"25.306"
"1927"	"25.526"	"26.567"	"28.424"	"29.516"	"29.96"	"29.382"	"29.15"	"28.736"	"28.216"	"27.669"	"26.317"	"25.42"
