
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"34.25"	"29.943"	"31.553"	"43.841"	"54.055"	"71.704"	"77.368"	"71.166"	"64.811"	"63.464"	"56.21"	"44.984"
"1902"	"34.25"	"29.943"	"31.553"	"43.841"	"54.055"	"71.704"	"77.368"	"71.166"	"64.811"	"63.464"	"56.21"	"44.984"
"1903"	"34.25"	"29.943"	"31.553"	"43.841"	"54.055"	"71.704"	"77.368"	"71.166"	"64.811"	"63.464"	"56.21"	"44.984"
"1904"	"34.25"	"29.943"	"31.553"	"43.841"	"54.055"	"71.704"	"77.368"	"71.166"	"64.811"	"63.464"	"56.21"	"44.984"
"1905"	"34.25"	"29.943"	"31.553"	"43.841"	"54.055"	"71.704"	"77.368"	"71.166"	"64.811"	"63.464"	"56.21"	"44.984"
"1906"	"34.25"	"29.943"	"31.553"	"43.841"	"54.055"	"71.704"	"77.368"	"71.166"	"64.811"	"63.464"	"56.21"	"44.984"
"1907"	"34.25"	"29.943"	"31.553"	"43.841"	"54.055"	"71.704"	"77.368"	"71.166"	"64.811"	"63.464"	"56.21"	"44.984"
"1908"	"34.25"	"29.943"	"31.553"	"43.841"	"54.055"	"71.704"	"77.368"	"71.166"	"64.811"	"63.464"	"56.21"	"44.984"
"1909"	"34.25"	"29.943"	"31.553"	"43.841"	"54.055"	"71.704"	"77.368"	"71.166"	"64.811"	"63.464"	"56.21"	"44.984"
"1910"	"34.25"	"29.943"	"31.553"	"43.841"	"54.055"	"71.704"	"77.368"	"71.166"	"64.811"	"63.464"	"56.21"	"44.984"
"1911"	"34.25"	"29.943"	"31.553"	"43.841"	"54.055"	"71.704"	"77.368"	"71.166"	"64.811"	"63.464"	"56.21"	"44.984"
"1912"	"34.25"	"29.943"	"31.553"	"43.841"	"54.055"	"71.704"	"77.368"	"71.166"	"64.811"	"63.464"	"56.21"	"44.984"
"1913"	"34.25"	"29.943"	"31.553"	"43.841"	"54.055"	"71.704"	"77.368"	"71.166"	"64.811"	"63.464"	"56.21"	"44.984"
"1914"	"34.25"	"29.943"	"31.553"	"43.841"	"54.055"	"71.704"	"77.368"	"71.166"	"64.811"	"63.464"	"56.21"	"44.984"
"1915"	"34.25"	"29.943"	"31.553"	"43.841"	"54.055"	"71.704"	"77.368"	"71.166"	"64.811"	"63.464"	"56.21"	"44.984"
"1916"	"34.25"	"29.943"	"31.553"	"43.841"	"54.055"	"71.704"	"77.368"	"71.166"	"64.811"	"63.464"	"56.21"	"44.984"
"1917"	"34.25"	"29.943"	"31.553"	"43.841"	"54.055"	"71.704"	"77.368"	"71.166"	"64.811"	"63.464"	"56.21"	"44.984"
