
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.49"	"4.08"	"4.6"	"4.79"	"4.98"	"4.87"	"4.75"	"4.69"	"4.51"	"3.98"	"3.38"	"3.07"
"1902"	"3.42"	"3.93"	"4.6"	"4.86"	"5.03"	"4.89"	"4.75"	"4.73"	"4.51"	"3.92"	"3.38"	"3.1"
"1903"	"3.43"	"4.05"	"4.62"	"4.86"	"4.98"	"4.85"	"4.75"	"4.67"	"4.5"	"4"	"3.38"	"3.04"
"1904"	"3.38"	"3.93"	"4.54"	"4.86"	"4.97"	"4.79"	"4.72"	"4.66"	"4.55"	"3.98"	"3.41"	"3.04"
"1905"	"3.37"	"4.02"	"4.7"	"4.78"	"4.97"	"4.89"	"4.85"	"4.73"	"4.56"	"3.96"	"3.42"	"3.07"
"1906"	"3.44"	"4.1"	"4.63"	"4.91"	"5.06"	"4.84"	"4.78"	"4.65"	"4.52"	"3.95"	"3.37"	"3.09"
"1907"	"3.4"	"3.98"	"4.62"	"4.8"	"5.03"	"4.85"	"4.75"	"4.65"	"4.55"	"3.95"	"3.38"	"3.08"
"1908"	"3.41"	"3.95"	"4.56"	"4.91"	"5"	"4.84"	"4.72"	"4.66"	"4.47"	"3.95"	"3.37"	"3.04"
"1909"	"3.4"	"3.99"	"4.62"	"4.84"	"4.95"	"4.79"	"4.67"	"4.6"	"4.45"	"3.96"	"3.42"	"3.1"
"1910"	"3.41"	"3.97"	"4.54"	"4.8"	"5.04"	"4.82"	"4.71"	"4.62"	"4.47"	"3.94"	"3.38"	"3.04"
"1911"	"3.4"	"3.95"	"4.6"	"4.8"	"4.95"	"4.75"	"4.73"	"4.66"	"4.53"	"3.93"	"3.38"	"3.07"
"1912"	"3.36"	"4.04"	"4.69"	"4.87"	"5.04"	"4.83"	"4.75"	"4.69"	"4.49"	"3.94"	"3.41"	"3.05"
"1913"	"3.36"	"4.01"	"4.65"	"4.89"	"5.03"	"4.9"	"4.72"	"4.68"	"4.5"	"3.94"	"3.35"	"3.07"
